cell_line,fold,y_mean,n_records
697,3,1.974975,3
A3KAW,2,2.5673616666666668,3
A4FUK,3,3.355343,3
A549,1,3.21198534442878,4
ABC1,3,4.2638835032938625,4
ALLSIL,4,3.209114,3
AMO1,3,3.9525426666666665,3
BEN,4,5.9741729761363125,4
BL41,1,3.6077806666666667,3
BV173,1,2.211911666666667,3
CA46,2,4.211507666666667,3
CAL12T,5,2.135484004893914,4
CALU3,3,5.5674693333333325,3
CALU6,4,3.3250257895516575,4
CHAGOK1,5,3.976484333333333,3
CMK,1,3.4318225,2
CMLT1,3,2.6071326666666668,3
COLO668,3,4.978528,3
CORL105,4,3.6390393851683456,4
CORL23,5,3.31409810115477,4
CORL279,4,3.7318599999999997,3
CORL311,5,4.752856,1
CORL88,3,5.180651666666667,3
CORL95,1,5.2715815,2
DAUDI,5,4.351261666666667,3
DB,5,2.9536149999999997,3
DMS114,2,5.155760333333333,3
DMS273,1,4.238212150126103,3
DMS53,5,4.859464,3
DMS79,3,5.166673,3
DND41,5,4.124148,3
DOHH2,4,2.6095680000000003,2
EBC1,1,3.1842320698087474,4
EHEB,1,4.388335,2
EJM,1,4.627589666666666,3
EM2,3,3.6172236666666664,3
EPLC272H,3,4.031764,3
GA10,2,3.452249333333333,3
GDM1,1,4.428824333333334,3
GRANTA519,3,4.838349666666667,3
HARA,1,3.932150260873145,4
HCC15,5,3.2958798785253025,4
HCC33,1,3.918038,1
HCC366,2,3.530471161508685,4
HCC44,2,3.5121255196510726,4
HCC78,3,4.28776723938761,4
HCC827,4,3.2198250014713,4
HDLM2,2,3.5897113333333333,3
HEL,4,3.174171,3
HH,2,3.9246993333333333,3
HL60,1,4.376714,3
HT,4,4.071278666666667,3
IALM,1,3.7735563254598175,4
JEKO1,2,2.800860333333333,3
JM1,3,3.572362666666667,3
JURKAT,3,3.1294676666666668,3
JURLMK1,1,3.464525666666667,3
JVM2,2,2.6253306666666667,3
JVM3,2,2.08654,3
K562,4,4.001198,3
KARPAS422,2,4.71887,3
KCL22,3,3.8272326666666667,3
KG1,3,3.232150666666667,3
KMH2,5,4.007202,6
KMS11,3,3.874942666666667,3
KMS12BM,4,3.197517,1
KNS62,2,2.919104666666667,3
KOPN8,2,3.744448666666667,3
KU812,5,3.059322,3
L1236,2,3.639863666666667,3
L363,3,3.7357253333333333,3
L428,4,3.771857666666667,3
L540,4,3.22502,3
LAMA84,5,2.880167,3
LCLC103H,4,3.441314253283477,4
LCLC97TM1,5,3.2851086666666665,3
LOUCY,1,3.0202303333333336,3
LOUNH91,3,4.89639244327594,4
LP1,5,3.753384,3
LU65,5,4.817310333333333,3
LXF289,4,3.0993207865999652,4
ME1,2,4.986284666666666,3
MEG01,1,3.153109,3
MHHCALL2,5,3.3140316666666667,3
MM1S,5,4.443118,2
MOLM13,5,3.4059373333333336,3
MOLM16,2,2.0601943333333335,3
MOLP8,3,4.829674666666667,3
MOLT13,1,3.956948,3
MOLT16,1,2.585777,3
MONOMAC6,4,2.3163983333333333,3
NALM6,2,3.732613333333333,3
NAMALWA,3,3.3641039999999998,3
NB4,3,3.1962239999999995,3
NCIH1048,5,3.5560371875685752,4
NCIH1092,2,5.1116496666666675,3
NCIH1105,2,4.679377333333334,3
NCIH1155,5,4.220214333333334,3
NCIH1341,3,4.300847,3
NCIH1435,4,3.7971491427656052,4
NCIH1436,1,4.2852250000000005,3
NCIH1437,3,3.702410617363925,4
NCIH146,2,3.8675463333333333,3
NCIH1568,4,4.650536475786505,4
NCIH1623,1,4.713057703507003,4
NCIH1648,1,3.103505110253895,4
NCIH1650,4,5.068711333333333,3
NCIH1651,1,4.853343917230925,4
NCIH1781,2,3.9253506666666667,3
NCIH1792,1,3.51143329143284,4
NCIH1793,5,5.189074333333333,3
NCIH1836,1,5.2940890000000005,3
NCIH1876,5,3.6427156666666662,3
NCIH1915,4,3.3673586518910925,4
NCIH1944,2,4.14119603153144,4
NCIH196,5,4.407750666666667,3
NCIH1963,1,4.953087,1
NCIH1975,1,3.6260133657989675,4
NCIH2009,2,3.2370771824960927,4
NCIH2023,2,4.140755636354992,4
NCIH2029,2,5.107440333333334,3
NCIH2030,1,3.407733206943345,4
NCIH2066,2,6.014435333333334,3
NCIH2081,5,4.652669666666666,3
NCIH2085,4,4.931169333333333,3
NCIH2087,2,3.8002755649136626,4
NCIH209,4,2.2996053333333335,3
NCIH211,5,4.330389666666666,3
NCIH2110,5,3.018797102732908,4
NCIH2122,1,2.4234054371561253,4
NCIH2170,2,3.7491671487514373,4
NCIH2171,2,3.459335,1
NCIH2172,4,4.474894943211423,4
NCIH2196,4,4.593579,1
NCIH2227,5,5.084552666666667,3
NCIH2228,4,3.490837808140525,4
NCIH2291,1,6.179829000000001,3
NCIH23,1,3.8693724892940824,4
NCIH2342,1,4.122282666666666,3
NCIH2347,4,4.651791979335855,4
NCIH2405,3,4.664755,3
NCIH2444,1,4.404912341350962,4
NCIH292,4,3.9030099369493696,4
NCIH358,5,2.9451300611231725,4
NCIH441,5,5.323816,3
NCIH446,3,3.3805990802850276,4
NCIH460,1,3.445532741824455,4
NCIH522,5,3.6597260494209403,4
NCIH524,4,3.8783,3
NCIH526,4,4.012971666666666,3
NCIH596,2,4.6009662542846375,4
NCIH647,3,2.038613,3
NCIH650,1,3.9994674760459525,4
NCIH661,5,3.93800783043036,4
NCIH69,5,4.090999333333333,3
NCIH727,2,4.449165,3
NCIH810,2,4.011719666666667,3
NCIH82,5,2.9822976666666663,3
NCIH838,4,4.70114,3
NCIH841,1,3.9843735783513026,4
NCIH929,4,4.0311753333333336,3
NOMO1,3,4.970218666666667,3
NUDUL1,3,3.400496,3
OCIAML2,4,3.3305423333333337,3
OCIAML3,5,4.745538,3
OCIAML5,4,4.501905,3
OCILY19,2,2.4948313333333334,3
OCIM1,5,3.580034,3
OPM2,4,4.080444666666667,3
P12ICHIKAWA,2,3.734039333333333,3
P31FUJ,1,3.8775983333333333,3
PF382,5,3.9209196666666664,3
PL21,2,3.3674573333333337,3
RAJI,4,4.147235333333334,3
RCHACV,3,3.105456333333333,3
REH,4,3.7401850000000003,3
RERFLCKJ,3,3.907729323769865,4
RERFLCMS,5,3.789448,3
