cell_line,fold,y_mean,n_records
697,3,-1.9611695,2
A3KAW,2,0.6165365,2
A4FUK,3,1.2876604999999999,2
A549,1,0.8117814999999999,2
ABC1,5,2.3460669999999997,2
ALLSIL,1,1.7106125,2
AMO1,3,2.4010505,2
BEN,4,1.2849895,2
BL41,1,1.5789974999999998,2
BV173,4,0.09903200000000001,2
CA46,4,3.3885725,2
CAL12T,5,2.8322505,2
CALU3,4,4.82761,2
CALU6,1,2.4892415000000003,2
CHAGOK1,5,3.2218350000000004,2
CMK,5,1.971205,1
CMLT1,1,0.133768,2
COLO668,3,4.025799,2
CORL105,3,2.262088,2
CORL23,3,1.9754745,2
CORL279,4,3.3976775,2
CORL311,3,4.426293,1
CORL88,5,4.8477885,2
CORL95,3,4.3676569999999995,2
DAUDI,1,2.9303999999999997,2
DB,5,0.801939,2
DMS114,1,3.883051,2
DMS273,4,3.4413435,2
DMS53,2,1.836273,2
DMS79,2,4.2315155,2
DND41,5,1.4825409999999999,2
DOHH2,3,0.18413800000000002,2
EBC1,2,1.480321,2
EHEB,4,1.986702,1
EJM,1,3.8504065,2
EM2,2,1.074095,2
EPLC272H,1,3.492993,2
GA10,5,0.4520415,2
GDM1,1,2.601238,2
GRANTA519,2,3.582771,2
HARA,4,0.9061285,2
HCC15,5,4.3286165,2
HCC33,3,4.334063,1
HCC366,1,4.426819,2
HCC44,1,3.2775895,2
HCC78,5,2.7866765,2
HCC827,4,3.7504585,2
HDLM2,2,2.2321735,2
HEL,1,0.587543,2
HH,4,1.0447025,2
HL60,4,0.892126,2
HT,1,2.504631,2
IALM,3,3.6571935,2
JEKO1,2,0.857652,2
JM1,2,1.370558,2
JURKAT,3,1.985223,2
JURLMK1,3,-1.408768,2
JVM2,1,1.365002,2
JVM3,2,0.6567475,2
K562,3,3.3396204999999997,2
KARPAS422,3,1.5143955,2
KCL22,4,1.5309215,2
KG1,4,1.8704335,2
KMH2,5,2.59556525,4
KMS11,5,2.7782345,2
KMS12BM,5,1.267051,1
KNS62,4,2.1592225,2
KOPN8,2,0.15192700000000003,2
KU812,5,1.1007695,2
L1236,2,3.1719615,2
L363,5,1.6365854999999998,2
L428,2,3.2515064999999996,2
L540,1,2.261032,2
LAMA84,4,-0.012146499999999949,2
LCLC103H,3,2.4815755,2
LCLC97TM1,2,2.2700025,2
LOUCY,3,1.577951,2
LOUNH91,3,3.3807995,2
LP1,3,3.9355664999999997,2
LU65,2,4.2798815,2
LXF289,5,1.9718745,2
ME1,4,3.3842925,2
MEG01,5,3.244815,2
MHHCALL2,2,2.614732,2
MM1S,5,2.3437040000000002,2
MOLM13,2,-1.4191194999999999,2
MOLM16,5,0.8805355,2
MOLP8,2,1.9861585000000002,2
MOLT13,5,0.17993800000000004,2
MOLT16,1,-0.7884015,2
MONOMAC6,5,2.1526205000000003,2
NALM6,4,0.544964,2
NAMALWA,1,1.9791685,2
NB4,1,-1.3405565,2
NCIH1048,3,3.974747,2
NCIH1092,5,4.740063,2
NCIH1105,2,4.3277305,2
NCIH1155,1,3.8096385,2
NCIH1341,3,4.2253755,2
NCIH1435,2,4.302251,2
NCIH1436,2,4.4374555,2
NCIH1437,4,1.415395,2
NCIH146,4,2.870911,2
NCIH1568,4,4.1782075,2
NCIH1623,3,3.3722200000000004,2
