cell_line,fold,y_mean,n_records
697,3,2.1414216666666666,3
A3KAW,1,0.7383063333333332,3
A4FUK,3,0.16574599999999995,3
A549,3,-1.131555,3
ABC1,2,3.7636369999999997,3
ALLSIL,2,2.8945366666666668,3
AMO1,1,1.136521,3
BEN,1,4.067427333333334,3
BL41,1,2.981416,3
BV173,1,0.4386633333333334,3
CA46,4,3.9659323333333334,3
CAL12T,3,1.4725063333333335,3
CALU3,5,1.4464303333333335,3
CALU6,4,0.353421,3
CHAGOK1,3,3.83257,3
CMK,4,2.590109,2
CMLT1,4,1.784326,3
COLO668,1,2.004703333333333,3
CORL105,3,1.4032409999999997,3
CORL23,5,2.042797333333333,3
CORL279,2,3.325396,3
CORL311,3,5.064396,1
CORL88,5,4.463834333333334,3
CORL95,1,4.7385866666666665,3
DAUDI,1,3.849102333333333,3
DB,5,4.083096,3
DMS114,3,3.0715160000000004,3
DMS273,3,3.4455753333333337,3
DMS53,1,3.534513,3
DMS79,2,4.823918333333333,3
DND41,4,1.5044676666666668,3
DOHH2,2,3.3414055,2
EBC1,4,-0.7198869999999999,3
EHEB,5,3.6453105,2
EJM,3,3.5888259999999996,3
EM2,2,0.111402,3
EPLC272H,5,0.06194700000000005,3
GA10,1,3.0624933333333337,3
GDM1,3,2.9278669999999996,3
GRANTA519,4,4.4346295,2
HARA,1,1.5535226666666666,3
HCC15,2,-0.7175276666666667,3
HCC33,4,5.396549,1
HCC366,5,2.961510333333333,3
HCC44,3,-0.44874100000000006,3
HCC78,4,1.9720073333333332,3
HCC827,1,2.787596333333333,3
HDLM2,5,4.073554,3
HEL,2,3.5248806666666668,3
HH,3,3.428267333333333,3
HL60,2,-1.0283803333333335,3
HT,4,2.80025,3
IALM,2,2.838941666666667,3
JEKO1,4,3.233339666666667,3
JM1,5,3.5531043333333336,3
JURKAT,3,3.504258333333334,3
JURLMK1,4,-1.920242,3
JVM2,3,2.9713876666666668,3
JVM3,2,1.679969,3
K562,1,1.4950196666666666,3
KARPAS422,4,3.727543333333333,3
KCL22,5,0.7960966666666667,3
KG1,3,1.7234369999999999,3
KMH2,2,0.6929924999999999,6
KMS11,2,2.584941,3
KMS12BM,2,2.891837,1
KNS62,5,0.5483743333333333,3
KOPN8,3,1.1629223333333334,3
KU812,1,-1.6943209999999997,3
L1236,2,3.5828543333333336,3
L363,4,2.821911,3
L428,2,3.9079913333333334,3
L540,2,3.3389336666666662,3
LAMA84,3,0.028340333333333263,3
LCLC103H,1,3.9895089999999995,3
LCLC97TM1,4,0.08161233333333336,3
LOUCY,2,2.6197016666666664,3
LOUNH91,5,2.454761,3
LP1,4,3.9605250000000005,3
LU65,2,1.9509699999999999,3
LXF289,2,1.2032576666666668,3
ME1,4,0.932391,3
MEG01,3,-0.509362,3
MHHCALL2,5,2.0201645,2
MM1S,4,1.385896,2
MOLM13,5,0.279173,3
MOLM16,3,1.446999,3
MOLP8,5,1.1992553333333333,3
MOLT13,5,0.13862633333333332,3
MOLT16,1,2.470544,3
MONOMAC6,1,1.5030339999999998,3
NALM6,4,2.839252666666667,3
NAMALWA,3,3.164854666666667,3
NB4,5,-2.8488476666666664,3
NCIH1048,1,2.9223346666666665,3
NCIH1092,3,4.8839250000000005,3
NCIH1105,1,4.1034646666666665,3
NCIH1155,2,2.9727556666666666,3
NCIH1341,1,2.5336693333333336,3
NCIH1435,4,3.617841,3
NCIH1436,5,4.467634666666666,3
NCIH1437,2,-0.4968675,2
NCIH146,3,4.0505553333333335,3
NCIH1568,3,1.565024,3
NCIH1623,4,1.2815283333333334,3
