cell_line,fold,y_mean,n_records
697,3,-5.909139333333333,3
A3KAW,1,-7.5196656666666675,3
A4FUK,3,-4.9027096666666665,3
A549,1,-2.6543379371474645,3
ABC1,2,-4.869486333333334,3
ALLSIL,3,-6.749702333333333,3
AMO1,5,-3.3313309999999996,2
BEN,1,-0.8282631735809223,4
BL41,3,-6.349359666666667,3
BV173,1,-8.099596,3
CA46,4,-4.654722333333333,3
CAL12T,4,-0.42710173952661024,4
CALU3,3,-4.080751,3
CALU6,4,-4.852029333333333,3
CHAGOK1,4,-1.2837743333333334,3
CMK,4,-6.8397835,2
CMLT1,4,-8.515982,3
COLO668,3,-4.7770486666666665,3
CORL105,4,-0.7016884363241699,4
CORL23,5,-3.0316894476614684,4
CORL279,2,-7.245581666666666,3
CORL311,1,-5.988672,1
CORL88,3,-2.1593286666666667,3
CORL95,4,-2.7281376666666666,3
DAUDI,5,-4.648019333333333,3
DB,5,-7.459318666666667,3
DMS114,3,-3.5948429999999996,3
DMS273,5,-3.4555188227937985,4
DMS53,1,-4.725688666666667,3
DMS79,1,-3.493095333333334,3
DND41,2,-6.107765666666666,3
DOHH2,3,-6.257994,2
EBC1,2,-4.841530809326079,4
EHEB,4,-1.5297105,2
EJM,2,-3.6655,3
EM2,2,-7.108501333333333,3
EPLC272H,1,-3.0321389999999995,3
GA10,5,-4.922493666666667,3
GDM1,4,-5.063991333333333,3
GRANTA519,5,-5.744648333333333,3
HARA,5,-4.266183666666667,3
HCC15,3,-3.3446393333333333,3
HCC33,1,0.929384,1
HCC366,2,-1.652721230123976,4
HCC44,3,-4.198892,3
HCC78,1,-5.8038099999999995,3
HCC827,5,-2.564227666666667,3
HDLM2,1,-3.6568283333333333,3
HEL,4,-4.921711999999999,3
HH,3,-4.233405,3
HL60,2,-4.966133,3
HT,2,-4.360759333333333,3
IALM,1,-2.219102830775178,4
JEKO1,2,-5.703041666666667,3
JM1,4,-6.571375333333333,3
JURKAT,4,-5.641839999999999,3
JURLMK1,5,-4.998695666666666,3
JVM2,2,-8.1579265,2
JVM3,5,-7.83484,3
K562,3,-3.653389,3
KARPAS422,4,-3.4378596666666668,3
KCL22,5,-3.8310150000000003,3
KG1,1,-6.954664666666666,3
KMH2,4,-3.2149191666666668,6
KMS11,2,-3.138043,3
KMS12BM,2,-4.3185185,2
KNS62,5,-2.859421031033588,4
KOPN8,3,-6.272651666666667,3
KU812,2,-4.925147666666667,3
L1236,3,-4.241595,3
L363,2,-2.9037,3
L428,4,-2.2437626666666666,3
L540,4,-6.142441666666667,3
LAMA84,1,-2.802058333333333,3
LCLC103H,3,-2.4308203333333336,3
LCLC97TM1,2,-4.505648,3
LOUCY,3,-5.4559560000000005,3
LOUNH91,2,-4.281271,3
LP1,5,-1.159937,3
LU65,3,-2.149201,2
LXF289,5,-3.018382779516128,4
ME1,3,-2.479477,3
MEG01,4,-4.940320666666667,3
MHHCALL2,3,-6.929123,3
MM1S,1,-5.1705505,2
MOLM13,5,-7.287447,3
MOLM16,5,-4.970747666666667,3
MOLP8,5,-5.990983333333332,3
MOLT13,5,-7.562188333333334,3
MOLT16,2,-8.064106333333333,3
MONOMAC6,5,-6.815263666666667,3
NALM6,1,-5.025369333333334,3
NAMALWA,1,-6.132817,3
NB4,4,-6.0196716666666665,3
NCIH1048,1,-6.583566666666667,3
NCIH1092,1,-3.3823113333333334,3
NCIH1105,2,-6.525676,3
NCIH1155,2,-5.925062,3
NCIH1341,1,-6.736037,3
NCIH1435,2,-1.7422422252039602,4
NCIH1436,5,-0.568348,3
NCIH1437,2,-2.147350713677683,4
NCIH146,4,-2.5427293333333334,3
NCIH1568,3,-2.4417653382268445,4
NCIH1623,1,-5.708497666666666,3
NCIH1648,3,-2.9121949999999996,2
NCIH1650,3,-1.1757279823583904,4
NCIH1651,2,-3.4207214068514222,4
NCIH1781,4,-4.933327,3
NCIH1792,4,-2.3121763930832744,4
NCIH1793,1,-0.5029164347508177,4
NCIH1836,2,-0.6257833333333334,3
NCIH1876,4,-7.735537333333333,3
NCIH1915,1,-2.4967556617270796,4
NCIH1944,2,-3.26795462052587,4
NCIH196,5,-1.5342436666666666,3
NCIH1963,4,-3.5466265,2
NCIH1975,3,-1.5346931545048803,4
NCIH2009,3,-4.881812,3
NCIH2023,2,-2.271487598821,4
NCIH2029,5,-3.2091106666666662,3
NCIH2030,2,-2.104356735219512,4
NCIH2066,3,0.6431903333333334,3
NCIH2081,1,-5.514458666666667,3
NCIH2085,2,-2.1625140000000003,3
NCIH2087,4,-5.430287666666666,3
NCIH209,2,-8.104923,3
NCIH211,5,-5.246320666666667,3
NCIH2110,2,-3.113857801807081,4
NCIH2122,4,-4.538298,3
NCIH2170,1,-3.1120529792602767,3
NCIH2171,1,-3.964748,1
NCIH2172,2,0.5606565654110144,4
NCIH2196,1,-1.971127,1
NCIH2227,4,-4.418944,3
NCIH2228,5,-2.1741063769414226,4
NCIH2291,3,0.13111466666666663,3
NCIH23,5,-3.05171474549482,4
NCIH2342,4,-2.4106793333333334,3
NCIH2347,1,-1.3463663700379962,4
NCIH2405,1,-3.116061666666667,3
NCIH2444,5,-0.336121892072135,4
NCIH292,1,-3.9543522069265182,4
NCIH358,2,-3.1163249132235733,4
NCIH441,2,-3.077401666666667,3
NCIH446,5,-3.8055453333333333,3
NCIH460,1,-3.7231959719716485,4
NCIH522,1,-2.065043980226771,4
NCIH524,1,-3.981584,3
NCIH526,4,-6.3159383333333325,3
NCIH596,2,-0.32406099631035645,4
NCIH647,2,-4.069486,3
NCIH650,4,-2.7355978009516466,4
NCIH661,2,-4.359772333333333,3
NCIH69,5,-3.9639586666666666,3
NCIH727,1,-0.9226506142484174,4
NCIH810,4,-4.474156666666667,3
NCIH82,5,-2.380789666666667,3
NCIH838,4,-3.5795164684052163,4
NCIH841,4,-2.4282493078372047,4
NCIH929,4,-4.796198666666666,3
NOMO1,1,-4.940963666666667,3
NUDUL1,5,-5.555151333333334,3
OCIAML2,3,-7.332552333333333,3
OCIAML3,5,-4.680595333333334,3
OCIAML5,3,-5.329217666666667,3
OCILY19,5,-5.860727999999999,3
OCIM1,1,-4.719396333333333,3
OPM2,3,-2.0688593333333336,3
P12ICHIKAWA,1,-6.496847333333332,3
P31FUJ,2,-5.871845,3
PF382,4,-4.562975000000001,3
PL21,3,-4.000699666666667,3
RAJI,4,-6.657793666666667,3
RCHACV,3,-5.912988666666666,3
REH,5,-7.678746333333333,3
RERFLCKJ,5,-1.3505522655944835,4
RERFLCMS,4,-3.052822355672502,4
RL,3,-3.3854623333333334,3
RPMI8226,5,-4.786621,3
RPMI8402,2,-6.587665,3
RS411,3,-5.846417,3
SBC5,3,-4.874314,3
SHP77,5,-2.0865620000000002,3
SIGM5,3,-3.498589,1
SKLU1,1,-5.0749406666666665,3
SKM1,2,-5.394029333333333,3
SKMES1,2,-2.94207189510143,4
SKMM2,3,-2.620791666666667,3
ST486,4,-5.131747666666667,3
SUDHL1,5,-5.852483,1
SUDHL10,2,-3.9158483333333334,3
SUDHL4,4,-3.5863259999999997,3
SUDHL5,3,-7.890783,3
SUDHL6,1,-6.326962000000001,3
SUDHL8,3,-4.0733369999999995,3
SUPB15,3,-6.8648115,2
SUPM2,5,-6.997455,2
SUPT1,1,-7.7761795,2
SW1271,3,-2.312539683459649,4
SW1573,5,-4.511916,3
THP1,4,-4.266880333333333,3
WSUDLCL2,1,-4.038551333333333,3
