cell_line,fold,y_mean,n_records
697,3,2.7361234999999997,4
A3KAW,1,1.47104525,4
A4FUK,3,1.7239835000000001,4
A549,3,0.14930600000000005,3
ABC1,1,3.94418925,4
ALLSIL,1,3.551738,4
AMO1,3,2.612213,4
BEN,5,3.843451333333333,3
BL41,4,3.1111062499999997,4
BV173,2,1.8655712500000001,4
CA46,4,4.1454205,4
CAL12T,1,1.6773456666666666,3
CALU3,3,4.089288,4
CALU6,4,1.04176625,4
CHAGOK1,5,3.9771140000000003,3
CMK,4,2.6249995000000004,2
CMLT1,1,2.72163875,4
COLO668,4,2.9538349999999998,4
CORL105,4,1.5115699999999999,4
CORL23,4,3.281714,4
CORL279,3,3.4643243333333333,3
CORL311,3,4.5266185,2
CORL88,4,3.854355,3
CORL95,5,4.06229,3
DAUDI,5,3.984844,4
DB,1,3.96071525,4
DMS114,3,4.5226875,4
DMS273,1,4.20183125,4
DMS53,2,4.545995,4
DMS79,5,4.67025175,4
DND41,2,2.7875585,4
DOHH2,4,3.0370826666666666,3
EBC1,2,0.1076085,4
EHEB,1,3.1203035000000003,2
EJM,1,3.9026885,4
EM2,5,1.07845825,4
EPLC272H,2,1.60677475,4
GA10,3,3.9965555,4
GDM1,2,3.3572585,4
GRANTA519,3,4.78213175,4
HARA,1,4.07031525,4
HCC15,3,1.645886,4
HCC33,3,4.100644,1
HCC366,5,3.7224785000000002,4
HCC44,2,1.43546875,4
HCC78,1,3.2567605000000004,4
HCC827,4,2.95916175,4
HDLM2,2,4.393474,4
HEL,4,3.80788075,4
HH,4,4.0417605,4
HL60,4,0.36946833333333334,3
HT,2,3.7828129999999995,3
IALM,3,4.22940075,4
JEKO1,5,3.2629626666666667,3
JM1,3,3.1933260000000003,3
JURKAT,5,3.61042525,4
JURLMK1,2,0.14202475000000003,4
JVM2,2,3.2210075,4
JVM3,5,2.1878715,4
K562,4,2.7313345,4
KARPAS422,2,3.5846215,4
KCL22,5,2.3893382499999998,4
KG1,1,2.2151825,4
KMH2,5,1.4738632857142857,7
KMS11,5,2.9462883333333334,3
KMS12BM,5,4.351910999999999,2
KNS62,4,1.95462675,4
KOPN8,2,2.88454925,4
KU812,1,-1.02306525,4
L1236,1,3.8575850000000003,4
L363,2,3.302705,4
L428,2,4.28426425,4
L540,3,4.0207619999999995,4
LAMA84,3,1.18159475,4
LCLC103H,3,4.7543377499999995,4
LCLC97TM1,4,1.104483,4
LOUCY,3,3.27722275,4
LOUNH91,5,3.605379,4
LP1,2,4.50863575,4
LU65,3,1.6280059999999998,4
LXF289,4,3.2894147499999997,4
ME1,2,2.2539587500000002,4
MEG01,5,1.25097175,4
MHHCALL2,1,3.2428606666666666,3
MM1S,2,3.1961660000000003,3
MOLM13,4,1.90282825,4
MOLM16,5,1.8912213333333334,3
MOLP8,2,2.1990355,4
MOLT13,5,0.82264775,4
MOLT16,3,2.6956187500000004,4
MONOMAC6,4,2.6788483333333333,3
NALM6,5,2.9581205,4
NAMALWA,3,3.493567,4
NB4,5,-1.479932,3
NCIH1048,3,3.98104675,4
NCIH1092,2,5.0376337499999995,4
NCIH1105,1,3.8161833333333335,3
NCIH1155,2,3.1837317499999997,4
NCIH1341,2,3.361762,3
NCIH1435,4,4.3380185,4
NCIH1436,1,4.161246666666667,3
NCIH1437,2,-0.005225666666666684,3
NCIH146,4,3.6811966666666667,3
