cell_line,fold,y_mean,n_records
697,3,-3.8076835000000004,2
A3KAW,3,0.5510079999999999,2
A4FUK,1,1.743175,2
A549,4,1.629887,2
ABC1,3,3.531963,2
ALLSIL,1,0.6905895,2
AMO1,2,3.5991025,2
BEN,3,4.306295,2
BL41,2,0.2167115,2
BV173,1,-2.1752275,2
CA46,5,3.7910325,2
CAL12T,1,3.588914,2
CALU3,5,3.188421,2
CALU6,1,3.356834,2
CHAGOK1,3,3.599873,2
CMK,5,0.525712,1
CMLT1,4,-2.206746,2
COLO668,3,0.861077,2
CORL105,5,4.641374,2
CORL23,4,2.7501785,2
CORL279,1,-1.032977,2
CORL311,2,0.631793,1
CORL88,4,4.287562,2
CORL95,1,3.271356,1
DAUDI,5,1.311829,2
DB,3,2.355109,2
DMS114,3,2.8425995,2
DMS273,2,1.7649735,2
DMS53,2,1.669276,2
DMS79,4,0.735422,2
DND41,2,0.74829,2
DOHH2,5,-4.824148,1
EBC1,5,2.4135619999999998,2
EHEB,3,2.515966,1
EJM,4,4.647781999999999,2
EM2,1,1.8864595,2
EPLC272H,3,3.0663145,2
GA10,3,1.706461,2
GDM1,1,3.0527889999999998,2
GRANTA519,1,0.8891765,2
HARA,3,1.5549135,2
HCC15,4,3.4663135,2
HCC33,1,4.639098,1
HCC366,5,2.940049,2
HCC44,4,1.5166235,2
HCC78,3,0.2435135,2
HCC827,1,4.720298,2
HDLM2,5,3.3904985,2
HEL,5,0.18193950000000003,2
HH,2,4.31178,2
HL60,2,1.9510955,2
HT,5,2.2317085000000003,2
IALM,1,4.7634275,2
JEKO1,4,1.483609,2
JM1,4,-0.3202285,2
JURKAT,5,0.5544505,2
JURLMK1,5,0.723576,1
JVM2,1,-0.244806,2
JVM3,4,-0.109286,2
K562,4,4.43994,2
KARPAS422,3,4.5327395,2
KCL22,3,2.55456,2
KG1,1,2.5875280000000003,2
KMH2,3,2.13811325,4
KMS11,5,3.2543189999999997,2
KMS12BM,3,3.561649,1
KNS62,3,4.793445999999999,2
KOPN8,2,-1.7347075,2
KU812,5,1.2809665,2
L1236,1,3.667045,2
L363,2,3.8932605000000002,2
L428,2,2.367985,2
L540,3,-0.0033155000000000268,2
LAMA84,2,3.508164,2
LCLC103H,2,4.5812314999999995,2
LCLC97TM1,5,3.4009765,2
LOUCY,3,4.058651,2
LOUNH91,2,3.303767,2
LP1,4,4.639484,2
LU65,5,4.2231335,2
LXF289,3,2.3328539999999998,2
ME1,1,4.016728,2
MEG01,5,2.812131,2
MHHCALL2,2,1.9194375,2
MM1S,3,1.330904,1
MOLM13,2,-0.381174,2
MOLM16,5,1.7782780000000002,2
MOLP8,1,1.296351,2
MOLT13,4,1.717268,2
MOLT16,2,-1.5258090000000002,2
MONOMAC6,1,0.862382,2
NALM6,4,0.19927850000000003,2
NAMALWA,2,-0.5117675,2
NB4,5,-0.9134214999999999,2
NCIH1048,5,-0.72797,2
NCIH1092,2,4.158868,2
NCIH1105,2,0.8031665000000001,2
NCIH1155,1,0.5743524999999999,2
NCIH1341,2,1.4477069999999999,2
NCIH1435,4,5.136663,2
NCIH1436,3,4.5051955,2
NCIH1437,5,3.0977885,2
NCIH146,3,2.612655,2
NCIH1568,2,3.8709045,2
NCIH1623,1,-0.458132,2
NCIH1648,4,3.2189509999999997,2
NCIH1650,2,4.330838,1
NCIH1651,4,-0.40780700000000003,2
NCIH1781,1,-1.893034,2
NCIH1792,4,1.0885425000000002,2
NCIH1793,5,5.285795500000001,2
NCIH1836,2,5.052521499999999,2
NCIH1876,2,-2.8791585,2
NCIH1915,2,2.7932795,2
NCIH1944,2,1.9904100000000002,2
NCIH196,2,5.164541,1
NCIH1963,1,3.405869,1
NCIH1975,1,3.1390450000000003,2
NCIH2009,4,2.28873,2
NCIH2023,3,0.5630010000000001,2
NCIH2029,1,4.2852654999999995,2
NCIH2030,1,2.883428,2
NCIH2066,4,5.0406865,2
NCIH2081,4,2.535559,2
NCIH2085,5,4.397261,2
NCIH2087,1,2.4844515,2
NCIH209,1,-3.1417669999999998,2
NCIH211,4,-0.21989550000000002,2
NCIH2110,1,1.3172185,2
NCIH2122,5,2.5527635,2
NCIH2170,3,0.15492850000000002,2
NCIH2171,1,1.970936,1
NCIH2172,4,3.8188925000000005,2
NCIH2196,1,2.32452,1
NCIH2227,3,0.8975080000000001,2
NCIH2228,4,3.021049,1
NCIH2291,5,3.471541,2
NCIH23,4,1.6263015,2
NCIH2342,2,2.626259,2
NCIH2347,1,4.0059515,2
NCIH2405,2,2.595871,2
NCIH2444,5,4.963312999999999,2
NCIH292,1,-1.7425835,2
NCIH358,1,4.5137385000000005,2
NCIH441,2,5.030805,2
NCIH446,2,3.6196345,2
NCIH460,4,-2.385299,2
NCIH522,1,4.4072495,2
NCIH524,5,3.9663155,2
NCIH526,5,2.146812,2
NCIH596,4,4.388068,2
NCIH647,2,3.1044905,2
NCIH650,4,2.3606785,2
NCIH661,3,3.7929425,2
NCIH69,4,2.781569,2
NCIH727,5,6.0235354999999995,2
NCIH810,5,2.7774634999999996,2
NCIH82,4,3.2425414999999997,2
NCIH838,1,2.3651280000000003,2
NCIH841,4,3.459795,2
NCIH929,4,1.8299365,2
NOMO1,5,1.301945,2
NUDUL1,5,0.1999575,2
OCIAML2,1,-0.666073,2
OCIAML3,3,1.8665559999999999,2
OCIAML5,5,1.92806,1
OCILY19,5,-0.632429,2
OCIM1,3,-0.11135600000000001,2
OPM2,4,3.5969775,2
P12ICHIKAWA,2,1.4017739999999999,2
P31FUJ,5,4.525212,2
PF382,4,3.471392,2
PL21,4,3.2957985,2
RAJI,5,-0.32664,2
RCHACV,2,-1.4487395,2
REH,4,0.668784,2
RERFLCKJ,3,3.707413,2
RERFLCMS,2,2.0742205,2
RL,1,1.3812100000000003,2
RPMI8226,3,3.2032235,2
