cell_line,fold,y_mean,n_records
697,3,5.2065695,2
A3KAW,3,4.904813000000001,2
A4FUK,1,3.40977,2
A549,2,6.6274725,2
ABC1,1,6.720403,2
ALLSIL,3,4.5601205,2
AMO1,3,4.360506,2
BEN,4,6.89132,2
BL41,2,4.876926,2
BV173,1,5.5677565,2
CA46,3,5.889261,2
CAL12T,2,6.184326,2
CALU3,3,6.6627295,2
CALU6,3,6.752689500000001,2
CHAGOK1,3,6.1960045,2
CMK,1,4.673586,1
CMLT1,4,4.7769379999999995,2
COLO668,5,5.884455,2
CORL105,5,7.008891500000001,2
CORL23,4,5.6815925,2
CORL279,1,5.237629999999999,2
CORL311,3,5.846322,1
CORL88,3,6.359737,2
CORL95,1,6.537144,2
DAUDI,4,5.795583499999999,2
DB,2,5.1026365,2
DMS114,1,6.0567635,2
DMS273,1,5.5343345,2
DMS53,1,6.4714755,2
DMS79,2,5.8392,2
DND41,5,4.9663975,2
DOHH2,4,3.871613,1
EBC1,2,6.217489499999999,2
EHEB,3,6.117614,1
EJM,1,5.686485,2
EM2,5,5.711076,2
EPLC272H,1,6.248079000000001,2
GA10,3,5.6260505,2
GDM1,4,4.8001055,2
GRANTA519,2,6.019263499999999,2
HARA,3,6.359165,2
HCC15,4,6.3248645,2
HCC33,5,6.63383,1
HCC366,2,6.4072865,2
HCC44,5,5.900536,2
HCC78,5,6.713798,2
HCC827,4,7.058113,1
HDLM2,5,5.159649,2
HEL,4,4.630255,2
HH,3,5.6430005,2
HL60,1,5.2738475000000005,2
HT,2,5.770487,2
IALM,3,6.289035500000001,2
JEKO1,2,4.7160910000000005,2
JM1,5,4.6510485,2
JURKAT,4,5.121822,2
JURLMK1,2,4.3471255,2
JVM2,3,2.9197575000000002,2
JVM3,2,2.5745155,2
K562,2,5.764333000000001,2
KARPAS422,3,5.5653345000000005,2
KCL22,4,5.4002915,2
KG1,2,5.8981595,2
KMH2,2,5.12388325,4
KMS11,3,5.449414000000001,2
KMS12BM,4,3.012136,1
KNS62,2,5.9484815,2
KOPN8,2,4.394814,2
KU812,5,4.2222055,2
L1236,2,5.138418,2
L363,5,5.3973645,2
L428,3,5.925204,2
L540,1,2.281656,2
LAMA84,4,4.924138,2
LCLC103H,1,5.686864,2
LCLC97TM1,4,6.2988325,2
LOUCY,5,5.1645205,2
LOUNH91,4,6.630134999999999,2
LP1,3,5.552922499999999,2
