cell_line,fold,y_mean,n_records
697,3,0.510099,1
A3KAW,3,-0.22378,1
A4FUK,5,-2.676455,2
A549,3,-4.2130860000000006,2
ABC1,2,0.9979899999999999,2
ALLSIL,1,0.778687,2
AMO1,1,-0.441522,2
BEN,3,2.781388,2
BL41,4,1.1942775,2
BV173,4,-1.850968,2
CA46,5,2.0720655,2
CAL12T,1,-0.743607,2
CALU3,5,-0.343497,2
CALU6,5,-4.1718295,2
CHAGOK1,4,2.612658,2
CMK,1,0.723431,1
CMLT1,3,-1.307912,2
COLO668,5,0.5690875,2
CORL105,1,-2.250946,2
CORL23,2,-1.035776,2
CORL279,2,1.9259715000000002,2
CORL311,4,3.006348,1
CORL88,1,2.8718705,2
CORL95,1,2.869375,2
DAUDI,3,1.914541,2
DB,3,1.4635500000000001,2
DMS114,3,1.0139035,2
DMS273,1,1.916787,2
DMS53,5,0.48091300000000003,2
DMS79,2,2.6327949999999998,2
DND41,5,-0.7975399999999999,2
DOHH2,4,0.751101,1
EBC1,3,-4.470131,2
EHEB,1,0.026814,1
EJM,1,2.04012,2
EM2,1,-2.637704,2
EPLC272H,4,-2.8177719999999997,2
GA10,2,1.556638,2
GDM1,4,0.5748665,2
GRANTA519,4,2.1667535,2
HARA,2,-1.0114665,2
HCC15,1,-2.9562855,2
HCC33,3,2.858551,1
HCC366,3,1.7084789999999999,2
HCC44,5,-3.3600085,2
HCC78,2,-0.52069,2
HCC827,1,1.317019,2
HDLM2,3,2.1646004999999997,2
HEL,2,1.6351740000000001,2
HH,2,2.7754839999999996,2
HL60,2,-3.320144,1
HT,3,1.6306935,2
IALM,2,0.9863875,2
JEKO1,2,2.258939,2
JM1,4,1.381173,2
JURKAT,5,1.751179,2
JURLMK1,1,-4.81475,2
JVM2,3,0.6348975,2
JVM3,4,-0.643725,2
K562,2,-1.171528,2
KARPAS422,3,2.1994594999999997,2
KCL22,3,-1.3428675,2
KG1,2,0.24519449999999998,2
KMH2,1,-1.4360422499999999,4
KMS11,2,0.678658,2
KMS12BM,3,1.768844,1
KNS62,5,-3.2027005,2
KOPN8,3,-0.7462610000000001,2
KU812,5,-5.54359,2
L1236,4,2.1967239999999997,2
L363,2,1.6157485,2
L428,5,2.4244060000000003,2
L540,1,2.555146,2
LAMA84,4,-1.7021000000000002,2
LCLC103H,3,2.4428275,2
LCLC97TM1,4,-3.3901019999999997,2
LOUCY,4,0.7244065,2
LOUNH91,2,0.4138505,2
LP1,4,2.617986,2
LU65,4,-1.752045,2
LXF289,5,-1.0625069999999999,2
ME1,5,0.1157485,2
