drug,RMSE_mean,RMSE_std,R2_mean,R2_std,Spearman_mean,Spearman_std,Pearson_mean,Pearson_std,total_samples
Temozolomide,0.7174056785630348,0.09599631779537371,0.4318592610316453,0.10554864209628476,0.6314672533328854,0.08240366430620966,0.6645207073964968,0.08062605807455797,532
Olaparib,0.7476578640057854,0.02820480548407952,0.35023320259871915,0.06784258822880106,0.5873770478037803,0.07060243998656986,0.601873326866148,0.05881998039331944,532
PLX-4720,0.929748891461983,0.04013957805142197,0.33409946807315,0.21406356315892822,0.5455136548241821,0.034296296059058415,0.5976731151405599,0.1623930615558413,532
Nutlin-3a (-),0.945358976470111,0.06701984507508062,0.5363033688681251,0.07771092408793126,0.6915424339370734,0.0288525063317447,0.7413076302772525,0.053663625898721756,532
JQ1,0.9798515516427788,0.06895277718649366,0.3423012805464948,0.03921588470567729,0.5142137804983864,0.030681346176329317,0.6020509110298514,0.033407200587144116,533
AZD7762,1.0197663974213484,0.07404186359088163,0.3750889446229846,0.1364380887589415,0.5880468997097458,0.09821652005214833,0.6191364407745114,0.10752618463622408,532
Palbociclib,1.0564581434369722,0.0832496243692933,0.4003459965566433,0.10146060719290523,0.6281827062218528,0.07652493196813445,0.6459814277614983,0.07640315341238764,532
Selumetinib,1.1642053455322514,0.07355838159246404,0.3964525338107225,0.09261112284642338,0.6287754742171953,0.055020575392209996,0.6384156035524786,0.06681506110857138,532
Refametinib,1.231175959546086,0.14330296345976137,0.4721696005391919,0.09160586889857582,0.6727129673946814,0.08741641954428415,0.6896156621899039,0.06521879802361935,532
Navitoclax,1.3115011732401918,0.12132280004080603,0.42825638818470946,0.0743179834876732,0.5379169538312547,0.08905091693802134,0.6715017177385253,0.048933480680393514,532
SN-38,1.347674928943022,0.13154402069394808,0.37111474549926526,0.08503539126228496,0.6103778343171748,0.07958547766546026,0.6197698851560578,0.06913309709416318,532
PD0325901,1.447560764558485,0.13584840248221453,0.43428969263624156,0.06102244013316256,0.6489860134966818,0.04310517651843251,0.6629949297102309,0.04806309809557484,532
Gemcitabine,1.5227370846648869,0.13018868581837084,0.38796322408578715,0.06988719275921933,0.6249342659534866,0.05210847194997208,0.6327498674631773,0.051744965910665894,533
Talazoparib,1.5536656757994538,0.05142390691359927,0.330067344166457,0.043630429278696925,0.5541994497205218,0.05647680267297115,0.5790544248726738,0.0417379117397949,532
Trametinib,1.657505069746847,0.1972462823229081,0.46207152094869713,0.04988086823686226,0.6765839568061398,0.029821296309331415,0.6803762759021218,0.03653176515801452,532
