標準化名稱,CCLE原始名稱,miRNA原始名稱
DMS273,DMS273_LUNG,DMS273LUNG
CORL23,CORL23_LUNG,CORL23LUNG
SW1573,SW1573_LUNG,SW1573LUNG
NCIH2122,NCIH2122_LUNG,NCIH2122LUNG
LP1,LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LP1HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH1648,NCIH1648_LUNG,NCIH1648LUNG
NCIH524,NCIH524_LUNG,NCIH524LUNG
MOLT16,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLT16HAEMATOPOIETICANDLYMPHOIDTISSUE
SUPT1,SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUPT1HAEMATOPOIETICANDLYMPHOIDTISSUE
NAMALWA,NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NAMALWAHAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH2029,NCIH2029_LUNG,NCIH2029LUNG
NCIH838,NCIH838_LUNG,NCIH838LUNG
JM1,JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JM1HAEMATOPOIETICANDLYMPHOIDTISSUE
OCIAML5,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH1963,NCIH1963_LUNG,NCIH1963LUNG
OPM2,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OPM2HAEMATOPOIETICANDLYMPHOIDTISSUE
EBC1,EBC1_LUNG,EBC1LUNG
NCIH2170,NCIH2170_LUNG,NCIH2170LUNG
NCIH196,NCIH196_LUNG,NCIH196LUNG
NCIH596,NCIH596_LUNG,NCIH596LUNG
MOLT13,MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLT13HAEMATOPOIETICANDLYMPHOIDTISSUE
SKM1,SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1HAEMATOPOIETICANDLYMPHOIDTISSUE
RS411,RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RS411HAEMATOPOIETICANDLYMPHOIDTISSUE
LCLC97TM1,LCLC97TM1_LUNG,LCLC97TM1LUNG
DAUDI,DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DAUDIHAEMATOPOIETICANDLYMPHOIDTISSUE
DMS53,DMS53_LUNG,DMS53LUNG
KCL22,KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KCL22HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH23,NCIH23_LUNG,NCIH23LUNG
NCIH841,NCIH841_LUNG,NCIH841LUNG
CMK,CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CMKHAEMATOPOIETICANDLYMPHOIDTISSUE
LOUCY,LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LOUCYHAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH2023,NCIH2023_LUNG,NCIH2023LUNG
DB,DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DBHAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH2009,NCIH2009_LUNG,NCIH2009LUNG
NCIH211,NCIH211_LUNG,NCIH211LUNG
SUDHL1,SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL1HAEMATOPOIETICANDLYMPHOIDTISSUE
HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HL60HAEMATOPOIETICANDLYMPHOIDTISSUE
HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HELHAEMATOPOIETICANDLYMPHOIDTISSUE
RERFLCMS,RERFLCMS_LUNG,RERFLCMSLUNG
NCIH2228,NCIH2228_LUNG,NCIH2228LUNG
NCIH2196,NCIH2196_LUNG,NCIH2196LUNG
RL,RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RLHAEMATOPOIETICANDLYMPHOIDTISSUE
RPMI8226,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RPMI8226HAEMATOPOIETICANDLYMPHOIDTISSUE
NCIH1341,NCIH1341_LUNG,NCIH1341LUNG
HCC44,HCC44_LUNG,HCC44LUNG
SIGM5,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SIGM5HAEMATOPOIETICANDLYMPHOIDTISSUE
SHP77,SHP77_LUNG,SHP77LUNG
LCLC103H,LCLC103H_LUNG,LCLC103HLUNG
EPLC272H,EPLC272H_LUNG,EPLC272HLUNG
L1236,L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L1236HAEMATOPOIETICANDLYMPHOIDTISSUE
MOLM13,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13HAEMATOPOIETICANDLYMPHOIDTISSUE
