std,Y,n,tissue
697,0.8415035,2,LYMPH
A3KAW,2.5974395,2,LYMPH
A4FUK,1.7074075,2,LYMPH
A549,1.650787,2,LUNG
ABC1,3.2477025,2,LUNG
ALLSIL,2.5339465,2,LYMPH
AMO1,2.12522,2,LYMPH
BEN,3.8823875,2,LUNG
BL41,2.3509265,2,LYMPH
BV173,3.7674185,2,LYMPH
CA46,1.8330285,2,LYMPH
CAL12T,2.214891,2,LUNG
CALU3,4.2645395,2,LUNG
CALU6,4.746024,2,LUNG
CHAGOK1,2.1303325,2,LUNG
CMK,2.315538,1,LYMPH
CMLT1,3.340017,2,LYMPH
COLO668,3.225299,2,LUNG
CORL105,2.190909,2,LUNG
CORL23,2.679287,2,LUNG
CORL279,1.9001700000000001,2,LUNG
CORL311,3.030429,1,LUNG
CORL88,4.328231499999999,2,LUNG
CORL95,2.776865,1,LUNG
DAUDI,2.1665775,2,LYMPH
DB,3.4257514999999996,2,LYMPH
DMS114,3.4755,2,LUNG
DMS273,1.255884,2,LUNG
DMS53,4.4146564999999995,2,LUNG
DMS79,3.934121,2,LUNG
DND41,3.1700365,2,LYMPH
DOHH2,0.314451,1,LYMPH
EBC1,0.43861300000000003,2,LUNG
EHEB,-1.05538,1,LYMPH
EJM,2.723754,2,LYMPH
EM2,2.4345605,2,LYMPH
EPLC272H,1.379673,2,LUNG
GA10,0.500176,2,LYMPH
GDM1,0.21086300000000002,2,LYMPH
GRANTA519,3.5643995,2,LYMPH
HARA,3.1055015,2,LUNG
HCC15,3.1003999999999996,2,LUNG
HCC33,3.714817,1,LUNG
HCC366,2.6199645,2,LUNG
HCC44,0.9996865,2,LUNG
HCC78,0.35917000000000004,2,LUNG
HCC827,3.3488705000000003,2,LUNG
HDLM2,3.3229505,2,LYMPH
HEL,3.5755920000000003,2,LYMPH
HH,0.431111,2,LYMPH
HL60,1.647017,2,LYMPH
HT,-1.0602965,2,LYMPH
IALM,4.0816945,2,LUNG
JEKO1,1.0493955,2,LYMPH
JM1,2.264248,2,LYMPH
JURKAT,1.379221,2,LYMPH
JURLMK1,2.97101,1,LYMPH
JVM2,-0.1567395,2,LYMPH
JVM3,1.7251735,2,LYMPH
K562,4.1612895000000005,2,LYMPH
KARPAS422,0.020630000000000003,2,LYMPH
KCL22,2.9717990000000003,2,LYMPH
KG1,2.8243825,2,LYMPH
KMH2,2.8623545000000004,4,LYMPH
KMS11,1.5974665,2,LYMPH
KMS12BM,2.080789,1,LYMPH
KNS62,3.4643505,2,LUNG
KOPN8,2.1775640000000003,2,LYMPH
KU812,3.616758,2,LYMPH
L1236,2.010943,2,LYMPH
L363,2.027203,2,LYMPH
L428,3.0341449999999996,2,LYMPH
L540,3.510357,2,LYMPH
LAMA84,3.5247550000000003,2,LYMPH
LCLC103H,3.37365,2,LUNG
LCLC97TM1,2.676019,2,LUNG
LOUCY,3.142221,2,LYMPH
LOUNH91,2.4225830000000004,2,LUNG
LP1,3.491002,2,LYMPH
LU65,4.87208,2,LUNG
LXF289,1.4756795,2,LUNG
ME1,4.2479665,2,LYMPH
MEG01,3.8154189999999994,2,LYMPH
MHHCALL2,2.2422250000000004,2,LYMPH
MM1S,0.885357,1,LYMPH
MOLM13,1.338947,2,LYMPH
MOLM16,0.7585184999999999,2,LYMPH
MOLP8,1.334591,2,LYMPH
MOLT13,3.212967,2,LYMPH
MOLT16,2.2085415,2,LYMPH
MONOMAC6,0.47323149999999997,2,LYMPH
NALM6,0.4771295,2,LYMPH
NAMALWA,1.7399365,2,LYMPH
NB4,1.008723,2,LYMPH
NCIH1048,1.952455,2,LUNG
NCIH1092,4.628054,2,LUNG
NCIH1105,4.1009785,2,LUNG
NCIH1155,2.7112375,2,LUNG
NCIH1341,1.7137615,2,LUNG
NCIH1435,2.481164,2,LUNG
NCIH1436,3.2118195,2,LUNG
NCIH1437,3.026858,2,LUNG
NCIH146,3.767285,2,LUNG
NCIH1568,2.3248955,2,LUNG
NCIH1623,2.1868425,2,LUNG
NCIH1648,0.9330305,2,LUNG
NCIH1650,1.5699605,2,LUNG
NCIH1651,3.3331679999999997,2,LUNG
NCIH1781,2.489759,2,LUNG
NCIH1792,2.352007,2,LUNG
NCIH1793,2.5634975,2,LUNG
NCIH1836,3.8592375,2,LUNG
NCIH1876,2.5316465,2,LUNG
NCIH1915,4.3661805000000005,2,LUNG
NCIH1944,1.4420540000000002,2,LUNG
NCIH196,2.413815,2,LUNG
NCIH1963,4.472643,1,LUNG
NCIH1975,1.4676705,2,LUNG
NCIH2009,2.8821684999999997,2,LUNG
NCIH2023,2.158281,2,LUNG
NCIH2029,4.244915,2,LUNG
NCIH2030,1.2671185,2,LUNG
NCIH2066,2.9624955,2,LUNG
NCIH2081,2.7077815000000003,2,LUNG
NCIH2085,0.14362599999999992,2,LUNG
NCIH2087,4.101547,2,LUNG
NCIH209,4.2949325,2,LUNG
NCIH211,3.0775045,2,LUNG
NCIH2110,2.1905195,2,LUNG
NCIH2122,2.399037,2,LUNG
NCIH2170,2.2146455,2,LUNG
NCIH2171,1.376525,1,LUNG
NCIH2172,4.4666635,2,LUNG
NCIH2196,2.43024,1,LUNG
NCIH2227,4.049191,2,LUNG
NCIH2228,1.9875995,2,LUNG
NCIH2291,1.0764055,2,LUNG
NCIH23,3.4515789999999997,2,LUNG
NCIH2342,2.364599,2,LUNG
NCIH2347,2.9417595000000003,2,LUNG
NCIH2405,2.8177600000000003,2,LUNG
NCIH2444,3.62852,2,LUNG
NCIH292,0.631131,2,LUNG
NCIH358,3.129829,2,LUNG
NCIH441,4.1999585,2,LUNG
NCIH446,0.42913999999999997,2,LUNG
NCIH460,2.015266,2,LUNG
NCIH522,4.325349,2,LUNG
NCIH524,3.5060694999999997,2,LUNG
NCIH526,3.4747364999999997,2,LUNG
NCIH596,3.0189950000000003,2,LUNG
NCIH647,1.001368,2,LUNG
NCIH650,4.4770865,2,LUNG
NCIH661,2.732035,2,LUNG
NCIH69,1.7562365,2,LUNG
NCIH727,5.3796995,2,LUNG
NCIH810,4.4921955,2,LUNG
NCIH82,3.9783090000000003,2,LUNG
NCIH838,1.518307,2,LUNG
NCIH841,3.2029085,2,LUNG
NCIH929,0.1372945,2,LYMPH
NOMO1,2.0686850000000003,2,LYMPH
