std,Y,n,tissue
697,3.9416070000000003,2,LYMPH
A3KAW,3.907192,2,LYMPH
A4FUK,3.9376565,2,LYMPH
A549,5.363219,2,LUNG
ABC1,4.7325445,2,LUNG
ALLSIL,3.7508775,2,LYMPH
AMO1,4.254080999999999,2,LYMPH
BEN,5.373843,2,LUNG
BL41,3.5128155,2,LYMPH
BV173,4.1714955,2,LYMPH
CA46,4.444094,2,LYMPH
CAL12T,3.8257655,2,LUNG
CALU3,5.5887519999999995,2,LUNG
CALU6,4.2696385,2,LUNG
CHAGOK1,3.0548655,2,LUNG
CMK,2.957292,1,LYMPH
CMLT1,4.021917,2,LYMPH
COLO668,4.6478325,2,LUNG
CORL105,4.552808,2,LUNG
CORL23,4.9484925,2,LUNG
CORL279,4.0392685,2,LUNG
CORL311,2.891952,1,LUNG
CORL88,5.340654000000001,2,LUNG
CORL95,5.278544500000001,2,LUNG
DAUDI,4.016521,2,LYMPH
DB,5.254435,1,LYMPH
DMS114,5.110306,2,LUNG
DMS273,4.8128195,2,LUNG
DMS53,4.8863615,2,LUNG
DMS79,5.2238975,2,LUNG
DND41,4.0583985,2,LYMPH
DOHH2,2.841147,1,LYMPH
EBC1,5.153332,2,LUNG
EHEB,4.691428,1,LYMPH
EJM,4.380675,2,LYMPH
EM2,4.711073000000001,2,LYMPH
EPLC272H,5.070694,2,LUNG
GA10,4.493374,2,LYMPH
GDM1,4.8123715,2,LYMPH
GRANTA519,4.7552585,2,LYMPH
HARA,4.6695955,2,LUNG
HCC15,4.8619075,2,LUNG
HCC33,4.374689,1,LUNG
HCC366,4.6585085,2,LUNG
HCC44,4.133321,1,LUNG
HCC78,4.8037205,2,LUNG
HCC827,5.311762,2,LUNG
HDLM2,4.660563,2,LYMPH
HEL,3.7356,2,LYMPH
HH,4.5357075,2,LYMPH
HL60,4.3237895,2,LYMPH
HT,4.642699,2,LYMPH
IALM,5.447354,2,LUNG
JEKO1,3.804945,2,LYMPH
JM1,3.4496235,2,LYMPH
JURKAT,4.132302,2,LYMPH
JURLMK1,3.1819024999999996,2,LYMPH
JVM2,5.229119000000001,2,LYMPH
JVM3,4.6061575,2,LYMPH
K562,4.794238,2,LYMPH
KARPAS422,4.9934855,2,LYMPH
KCL22,3.988474,2,LYMPH
KG1,4.4264115,2,LYMPH
KMH2,4.0228304999999995,4,LYMPH
KMS11,4.1425105,2,LYMPH
KMS12BM,3.7636145,2,LYMPH
KNS62,4.6714095,2,LUNG
KOPN8,4.326795,2,LYMPH
KU812,4.1564625,2,LYMPH
L1236,4.449137,2,LYMPH
L363,4.1242015,2,LYMPH
L428,4.4378465,2,LYMPH
L540,4.5025395,2,LYMPH
LAMA84,3.685032,2,LYMPH
LCLC103H,5.2800765,2,LUNG
LCLC97TM1,3.9326865,2,LUNG
LOUCY,3.5162185,2,LYMPH
LOUNH91,5.3620280000000005,2,LUNG
LP1,4.061012,2,LYMPH
LU65,5.3511264999999995,2,LUNG
LXF289,4.6801185,2,LUNG
ME1,4.5487895,2,LYMPH
MEG01,4.770575,2,LYMPH
MHHCALL2,2.892663,1,LYMPH
MM1S,4.0910985,2,LYMPH
MOLM13,3.233194,2,LYMPH
MOLM16,3.015701,2,LYMPH
MOLP8,4.0763005,2,LYMPH
MOLT13,4.0246955,2,LYMPH
MOLT16,4.110215,1,LYMPH
MONOMAC6,4.577422,2,LYMPH
NALM6,3.6394385000000002,2,LYMPH
NAMALWA,4.0908370000000005,2,LYMPH
NB4,3.1661455,2,LYMPH
NCIH1048,4.084685,2,LUNG
NCIH1092,5.750356,2,LUNG
NCIH1105,3.8315764999999997,2,LUNG
NCIH1155,4.3653189999999995,2,LUNG
NCIH1341,4.482039,2,LUNG
NCIH1435,4.340705,2,LUNG
NCIH1436,5.03096,2,LUNG
NCIH1437,2.8983615,2,LUNG
NCIH146,4.468383,2,LUNG
NCIH1568,4.6956895,2,LUNG
NCIH1623,4.3354475,2,LUNG
NCIH1648,4.14148,2,LUNG
NCIH1650,5.06682,2,LUNG
NCIH1651,3.8114005000000004,2,LUNG
NCIH1781,4.5592120000000005,2,LUNG
NCIH1792,4.4827795,2,LUNG
NCIH1793,5.490946,2,LUNG
NCIH1836,5.547466,2,LUNG
NCIH1876,4.6267785,2,LUNG
NCIH1915,5.298503,2,LUNG
NCIH1944,5.031596,2,LUNG
NCIH196,5.293245499999999,2,LUNG
NCIH1963,4.5938005,2,LUNG
NCIH1975,5.365114,2,LUNG
NCIH2009,5.0102735,2,LUNG
NCIH2023,4.1634095,2,LUNG
NCIH2029,4.480923000000001,2,LUNG
NCIH2030,4.5838065,2,LUNG
NCIH2066,5.3565375,2,LUNG
NCIH2081,4.871256499999999,2,LUNG
NCIH2085,5.269325,2,LUNG
NCIH2087,4.683918,2,LUNG
NCIH209,4.2319785,2,LUNG
NCIH211,4.275934,1,LUNG
NCIH2110,3.7994395,2,LUNG
NCIH2122,4.700928,2,LUNG
NCIH2170,5.1162469999999995,2,LUNG
NCIH2171,4.009727,1,LUNG
NCIH2172,5.2909965,2,LUNG
NCIH2196,5.848399,1,LUNG
NCIH2227,5.4974620000000005,2,LUNG
NCIH2228,5.387188,2,LUNG
NCIH2291,5.970995500000001,2,LUNG
NCIH23,4.3910455,2,LUNG
NCIH2342,5.494855,1,LUNG
NCIH2347,4.8488715,2,LUNG
NCIH2405,5.4938325,2,LUNG
NCIH2444,5.5507915,2,LUNG
NCIH292,3.6103275000000004,2,LUNG
NCIH358,5.4254405,2,LUNG
NCIH441,6.4296745,2,LUNG
NCIH446,4.4654264999999995,2,LUNG
NCIH460,3.6764425,2,LUNG
NCIH522,3.7442825,2,LUNG
NCIH524,4.4957625,2,LUNG
NCIH526,4.532964,2,LUNG
NCIH596,4.770084499999999,2,LUNG
NCIH647,4.458669,2,LUNG
NCIH650,4.6973555000000005,2,LUNG
NCIH661,3.9559615,2,LUNG
NCIH69,5.068002,2,LUNG
NCIH727,4.676576,2,LUNG
NCIH810,4.208936,2,LUNG
NCIH82,4.756522,2,LUNG
NCIH838,4.22994,2,LUNG
NCIH841,4.447321,1,LUNG
NCIH929,3.8433754999999996,2,LYMPH
NOMO1,3.6219270000000003,2,LYMPH
NUDUL1,4.173524,1,LYMPH
OCIAML2,3.8561284999999996,2,LYMPH
OCIAML3,3.511632,1,LYMPH
OCIAML5,4.299856999999999,2,LYMPH
OCILY19,3.8318675,2,LYMPH
OCIM1,3.7844525,2,LYMPH
OPM2,4.0808965,2,LYMPH
P12ICHIKAWA,3.606447,1,LYMPH
P31FUJ,4.2804605,2,LYMPH
PF382,4.5228405,2,LYMPH
PL21,4.469798,1,LYMPH
RAJI,3.938613,2,LYMPH
RCHACV,3.7421170000000004,2,LYMPH
REH,4.146497,2,LYMPH
RERFLCKJ,4.319158,2,LUNG
RERFLCMS,4.06335,2,LUNG
RL,3.8821019999999997,2,LYMPH
RPMI8226,4.1228215,2,LYMPH
RPMI8402,4.0094745,2,LYMPH
RS411,3.9344675000000002,2,LYMPH
SBC5,3.7322474999999997,2,LUNG
SHP77,4.577151,2,LUNG
SIGM5,3.875045,1,LYMPH
SKLU1,6.177367,2,LUNG
SKM1,3.0161905,2,LYMPH
SKMES1,4.824885,2,LUNG
SKMM2,5.2126265,2,LYMPH
ST486,4.1611345,2,LYMPH
SUDHL1,4.500335,1,LYMPH
SUDHL10,3.5352235,2,LYMPH
SUDHL4,3.6224975,2,LYMPH
SUDHL5,3.4847599999999996,2,LYMPH
SUDHL6,3.723099,2,LYMPH
SUDHL8,4.229053,1,LYMPH
SUPB15,4.237812,2,LYMPH
SUPM2,3.657109,2,LYMPH
SUPT1,4.878239000000001,2,LYMPH
SW1271,6.111414,2,LUNG
SW1573,5.3863005,2,LUNG
THP1,4.1369264999999995,2,LYMPH
WSUDLCL2,3.7233115,2,LYMPH
