std,Y,n,tissue
697,2.33468,3,LYMPH
A3KAW,2.222869,3,LYMPH
A4FUK,1.6005559999999999,2,LYMPH
A549,1.8239145,2,LUNG
ABC1,3.0350686090855,4,LUNG
ALLSIL,1.7859025000000002,2,LYMPH
AMO1,2.771868,3,LYMPH
BEN,4.370939,3,LUNG
BL41,1.344886,2,LYMPH
BV173,2.701848,3,LYMPH
CA46,2.543585,2,LYMPH
CAL12T,1.2953234999999999,2,LUNG
CALU3,1.952925,2,LUNG
CALU6,4.44232,3,LUNG
CHAGOK1,2.4679510000000002,2,LUNG
CMK,0.428834,1,LYMPH
CMLT1,2.622966,3,LYMPH
COLO668,1.29281132176085,3,LUNG
CORL105,-0.428755,3,LUNG
CORL23,3.794117,3,LUNG
CORL279,1.6064130128062573,3,LUNG
CORL311,3.492994,1,LUNG
CORL88,1.682203,2,LUNG
CORL95,2.336499,1,LUNG
DAUDI,1.911402,2,LYMPH
DB,-0.6095565,2,LYMPH
DMS114,2.4654905,2,LUNG
DMS273,2.3359695,2,LUNG
DMS53,2.8653399999999998,2,LUNG
DMS79,2.099901,2,LUNG
DND41,1.591037,2,LYMPH
DOHH2,0.4292325,2,LYMPH
EBC1,4.12211,3,LUNG
EHEB,2.567495,1,LYMPH
EJM,2.0940985000000003,2,LYMPH
EM2,1.7838845,2,LYMPH
EPLC272H,0.735337,2,LUNG
GA10,1.7924954999999998,2,LYMPH
GDM1,2.0410415,2,LYMPH
GRANTA519,2.9184655,2,LYMPH
HARA,0.1988055813241512,3,LUNG
HCC15,2.25175864128651,3,LUNG
HCC33,2.803142,1,LUNG
HCC366,2.5172725,2,LUNG
HCC44,2.7492300522301,3,LUNG
HCC78,4.021238,3,LUNG
HCC827,-1.366212623950342,4,LUNG
HDLM2,2.6041090000000002,2,LYMPH
HEL,2.43961,3,LYMPH
HH,4.200082,3,LYMPH
HL60,2.049673,2,LYMPH
HT,4.168127,3,LYMPH
IALM,4.174299,3,LUNG
JEKO1,1.554921,2,LYMPH
JM1,1.418232,2,LYMPH
JURKAT,2.919397,3,LYMPH
JURLMK1,-0.293613,1,LYMPH
JVM2,1.697173,2,LYMPH
JVM3,1.061116,2,LYMPH
K562,3.057827,3,LYMPH
KARPAS422,1.932169,2,LYMPH
KCL22,2.149535,2,LYMPH
KG1,3.341323,1,LYMPH
KMH2,2.0788335,4,LYMPH
KMS11,1.6914049999999998,2,LYMPH
KMS12BM,1.631278,2,LYMPH
KNS62,2.007604,2,LUNG
KOPN8,3.225476,3,LYMPH
KU812,1.6369925,2,LYMPH
L1236,2.0437285000000003,2,LYMPH
L363,2.676705,3,LYMPH
L428,1.589229,2,LYMPH
L540,1.5547055,2,LYMPH
LAMA84,2.912754,3,LYMPH
LCLC103H,4.477998,3,LUNG
LCLC97TM1,2.639024,2,LUNG
LOUCY,1.5034975,2,LYMPH
LOUNH91,1.416904,3,LUNG
LP1,2.118367,2,LYMPH
LU65,0.955445,2,LUNG
LXF289,3.800499,3,LUNG
ME1,2.369834,2,LYMPH
MEG01,1.6390705,2,LYMPH
MHHCALL2,1.4780545,2,LYMPH
MM1S,1.843223,2,LYMPH
MOLM13,1.053025,3,LYMPH
MOLM16,1.590816,2,LYMPH
MOLP8,2.0961655,2,LYMPH
MOLT13,1.086776,2,LYMPH
MOLT16,1.259207,2,LYMPH
MONOMAC6,0.8507819999999999,2,LYMPH
NALM6,2.680188,3,LYMPH
NAMALWA,1.9271759999999998,2,LYMPH
NB4,1.704419,2,LYMPH
NCIH1048,3.3204523126726198,4,LUNG
NCIH1092,3.529051,3,LUNG
NCIH1105,2.3234835,2,LUNG
NCIH1155,1.9631885,2,LUNG
NCIH1341,2.8375516721113696,3,LUNG
NCIH1435,3.205247,3,LUNG
NCIH1436,2.885316,2,LUNG
NCIH1437,2.271589,3,LUNG
NCIH146,2.308702,2,LUNG
NCIH1568,0.997854103157455,4,LUNG
NCIH1623,0.29270150000000006,2,LUNG
NCIH1648,0.283375,3,LUNG
NCIH1650,2.48169526638831,3,LUNG
NCIH1651,3.047637,3,LUNG
NCIH1781,1.434387,2,LUNG
NCIH1792,1.97909019024474,3,LUNG
NCIH1793,4.35016,3,LUNG
NCIH1836,3.338357,2,LUNG
NCIH1876,2.2307735,2,LUNG
NCIH1915,2.94314199185945,3,LUNG
NCIH1944,1.96389752184391,3,LUNG
NCIH196,2.4786580000000002,2,LUNG
NCIH1963,2.1363440000000002,2,LUNG
NCIH1975,2.2263995,2,LUNG
NCIH2009,2.557657,4,LUNG
NCIH2023,2.5162845000000003,2,LUNG
NCIH2029,1.8094739999999998,2,LUNG
NCIH2030,3.53356115485417,4,LUNG
NCIH2066,3.7520955000000002,2,LUNG
NCIH2081,2.4516489999999997,2,LUNG
NCIH2085,1.7324415,2,LUNG
NCIH2087,2.74957359872091,3,LUNG
NCIH209,2.0011655,2,LUNG
NCIH211,2.2879895,2,LUNG
NCIH2110,0.7920655,2,LUNG
NCIH2122,1.874327,3,LUNG
NCIH2170,0.944738357410705,4,LUNG
NCIH2171,2.683821,1,LUNG
NCIH2172,2.9023434999999997,2,LUNG
