std,Y,n,tissue
697,-1.78198,3,LYMPH
A3KAW,2.226543449989715,3,LYMPH
A4FUK,2.7260875,2,LYMPH
A549,2.171952,4,LUNG
ABC1,2.437618,4,LUNG
ALLSIL,-2.6583069999999998,2,LYMPH
AMO1,3.3735455,2,LYMPH
BEN,-0.44163493804556625,4,LUNG
BL41,1.949316,2,LYMPH
BV173,-3.231868,3,LYMPH
CA46,3.2268615,2,LYMPH
CAL12T,2.581974,3,LUNG
CALU3,0.339366,2,LUNG
CALU6,0.689872,4,LUNG
CHAGOK1,2.5408945000000003,2,LUNG
CMK,-0.663116,1,LYMPH
CMLT1,-1.335271,3,LYMPH
COLO668,0.36298312330442084,4,LUNG
CORL105,1.523464,4,LUNG
CORL23,1.701638,3,LUNG
CORL279,-1.117779,2,LUNG
CORL311,-1.918687,1,LUNG
CORL88,-0.8531580000000001,2,LUNG
CORL95,-1.5506929999999999,2,LUNG
DAUDI,1.959582,2,LYMPH
DB,-0.9773775,2,LYMPH
DMS114,2.709194,2,LUNG
DMS273,2.5496274999999997,4,LUNG
DMS53,-2.069738,3,LUNG
DMS79,-1.310702,3,LUNG
DND41,-1.955125,3,LYMPH
DOHH2,-1.045984,3,LYMPH
EBC1,-0.0549027291946279,4,LUNG
EHEB,-1.037138,1,LYMPH
EJM,1.1251505,2,LYMPH
EM2,-1.7942995000000002,2,LYMPH
EPLC272H,2.140986,2,LUNG
GA10,3.5636725,2,LYMPH
GDM1,-2.633992,2,LYMPH
GRANTA519,-0.639217,3,LYMPH
HARA,3.008707,3,LUNG
HCC15,-0.5703726534787888,4,LUNG
HCC33,1.608624630468371,2,LUNG
HCC366,0.3543508636155444,4,LUNG
HCC44,2.153434913243395,4,LUNG
HCC78,3.0594,4,LUNG
HCC827,2.1101405434987077,4,LUNG
HDLM2,-2.540916,2,LYMPH
HEL,-0.115792,3,LYMPH
HH,0.547841,3,LYMPH
HL60,-2.105695,2,LYMPH
HT,2.15863,3,LYMPH
IALM,1.6249505,4,LUNG
JEKO1,0.0210655820133617,3,LYMPH
JM1,-0.784058,3,LYMPH
JURKAT,0.55643292807243,3,LYMPH
JURLMK1,0.0752328665308115,3,LYMPH
JVM2,1.082252,2,LYMPH
JVM3,-0.308888,3,LYMPH
K562,2.3642279999999998,2,LYMPH
KARPAS422,0.306562,2,LYMPH
KCL22,0.70404,3,LYMPH
KG1,-2.3001735,2,LYMPH
KMH2,2.6510629999999997,4,LYMPH
KMS11,1.9892485,2,LYMPH
KMS12BM,-1.0749508468797582,2,LYMPH
KNS62,2.295171,3,LUNG
KOPN8,-1.16471,3,LYMPH
KU812,0.439867,2,LYMPH
L1236,-2.386298,2,LYMPH
L363,2.410174,3,LYMPH
L428,-0.43666150000000004,2,LYMPH
L540,0.634952,2,LYMPH
LAMA84,-0.046837,3,LYMPH
LCLC103H,2.765387209003685,4,LUNG
LCLC97TM1,3.8776855,2,LUNG
LOUCY,-3.7334395,2,LYMPH
LOUNH91,1.1452085,4,LUNG
LP1,1.4082620000000001,2,LYMPH
LU65,3.9661745,2,LUNG
LXF289,2.7628365479545085,4,LUNG
ME1,-2.9962020000000003,2,LYMPH
MEG01,0.0072583158329998,3,LYMPH
MHHCALL2,2.1714615,2,LYMPH
MM1S,-0.6992925000000001,2,LYMPH
MOLM13,-0.341537,3,LYMPH
MOLM16,0.3209940000000001,2,LYMPH
MOLP8,1.5281995,2,LYMPH
MOLT13,-2.088275,2,LYMPH
MOLT16,-1.7866404999999999,2,LYMPH
MONOMAC6,1.165205,2,LYMPH
NALM6,-1.100036,3,LYMPH
NAMALWA,2.4797545000000003,2,LYMPH
NB4,0.1846325,2,LYMPH
NCIH1048,-0.32163804809119684,4,LUNG
NCIH1092,0.1427063493282688,3,LUNG
NCIH1105,-2.592505,2,LUNG
