std,Y,n,tissue
697,0.695183657668996,4,LYMPH
A3KAW,2.4969551913025914,4,LYMPH
A4FUK,3.630323,3,LYMPH
A549,3.234723,3,LUNG
ABC1,4.85986,3,LUNG
ALLSIL,3.069363,3,LYMPH
AMO1,4.403071,4,LYMPH
BEN,5.086229,3,LUNG
BL41,3.022194,3,LYMPH
BV173,1.306613,3,LYMPH
CA46,4.079376,3,LYMPH
CAL12T,3.714121,3,LUNG
CALU3,4.531649,3,LUNG
CALU6,4.357745,5,LUNG
CHAGOK1,4.549583,3,LUNG
CMK,3.0633395,2,LYMPH
CMLT1,1.416941,4,LYMPH
COLO668,3.925457,4,LUNG
CORL105,3.628635,3,LUNG
CORL23,3.1534674999999996,4,LUNG
CORL279,1.8438439999999998,4,LUNG
CORL311,3.282913,1,LUNG
CORL88,3.705612,3,LUNG
CORL95,4.626766,3,LUNG
DAUDI,2.873485,3,LYMPH
DB,2.959984,3,LYMPH
DMS114,3.711937,3,LUNG
DMS273,2.044478637552901,4,LUNG
DMS53,4.071602,4,LUNG
DMS79,3.240553,3,LUNG
DND41,3.420628,3,LYMPH
DOHH2,0.248627,3,LYMPH
EBC1,4.300568,5,LUNG
EHEB,4.513337,2,LYMPH
EJM,3.865783,3,LYMPH
EM2,3.815643,3,LYMPH
EPLC272H,4.232788,3,LUNG
GA10,3.877859,3,LYMPH
GDM1,4.192355,3,LYMPH
GRANTA519,3.692829,3,LYMPH
HARA,3.780817,4,LUNG
HCC15,4.4888555,4,LUNG
HCC33,4.764309,1,LUNG
HCC366,3.9729185,4,LUNG
HCC44,3.1642885,4,LUNG
HCC78,4.76396,4,LUNG
HCC827,4.050181,4,LUNG
HDLM2,3.536916,3,LYMPH
HEL,3.5988914999999997,4,LYMPH
HH,4.835766,3,LYMPH
HL60,3.47393,3,LYMPH
HT,4.0606145,4,LYMPH
IALM,4.503911,3,LUNG
JEKO1,3.4577175,4,LYMPH
JM1,2.405494,3,LYMPH
JURKAT,2.6650679999999998,4,LYMPH
JURLMK1,3.1844865,4,LYMPH
JVM2,3.151166,3,LYMPH
JVM3,2.2490870000000003,4,LYMPH
K562,4.249224,4,LYMPH
KARPAS422,4.472656,3,LYMPH
KCL22,3.6340345000000003,4,LYMPH
KG1,4.206413,3,LYMPH
KMH2,3.4734175,6,LYMPH
KMS11,4.038886,3,LYMPH
KMS12BM,3.415842,2,LYMPH
KNS62,3.732089,3,LUNG
KOPN8,1.2810115,4,LYMPH
KU812,2.924823,3,LYMPH
L1236,4.149791,3,LYMPH
L363,3.8743365,4,LYMPH
L428,3.886635,3,LYMPH
L540,2.428853,3,LYMPH
LAMA84,3.245034,3,LYMPH
LCLC103H,4.097172,3,LUNG
LCLC97TM1,3.125794,3,LUNG
LOUCY,3.242785,3,LYMPH
LOUNH91,4.4511745000000005,4,LUNG
LP1,3.730889,3,LYMPH
LU65,5.929292,3,LUNG
LXF289,4.084269209764862,4,LUNG
ME1,3.933539,3,LYMPH
MEG01,3.114076,3,LYMPH
MHHCALL2,2.767758,3,LYMPH
MM1S,3.2206455,2,LYMPH
MOLM13,2.276948,4,LYMPH
MOLM16,2.075537,3,LYMPH
MOLP8,3.39208,3,LYMPH
MOLT13,2.249407,3,LYMPH
MOLT16,1.634943,3,LYMPH
MONOMAC6,3.302665,3,LYMPH
NALM6,2.2974350711370475,4,LYMPH
NAMALWA,3.141901,3,LYMPH
NB4,2.349274,3,LYMPH
NCIH1048,1.612944,5,LUNG
NCIH1092,4.87037319854192,4,LUNG
NCIH1105,2.495303,3,LUNG
NCIH1155,2.963237,3,LUNG
NCIH1341,3.462213,3,LUNG
NCIH1435,3.704982,3,LUNG
NCIH1436,4.480845,3,LUNG
NCIH1437,4.663337,3,LUNG
NCIH146,3.061906,3,LUNG
NCIH1568,4.257975500000001,4,LUNG
NCIH1623,3.146623,3,LUNG
NCIH1648,4.809979500000001,4,LUNG
NCIH1650,4.4704310000000005,2,LUNG
NCIH1651,1.596961,5,LUNG
NCIH1781,4.285407,3,LUNG
NCIH1792,3.3917485000000003,4,LUNG
NCIH1793,5.372661,3,LUNG
NCIH1836,4.518641,3,LUNG
NCIH1876,1.380119,3,LUNG
NCIH1915,3.93993,3,LUNG
NCIH1944,4.5339495,4,LUNG
NCIH196,4.58059,3,LUNG
NCIH1963,3.6879215,2,LUNG
NCIH1975,4.496392,3,LUNG
NCIH2009,3.603775,5,LUNG
NCIH2023,3.167039,3,LUNG
NCIH2029,4.03973,3,LUNG
NCIH2030,4.026553884107556,4,LUNG
NCIH2066,5.401173,3,LUNG
NCIH2081,3.33189,3,LUNG
NCIH2085,3.497994,3,LUNG
NCIH2087,3.492071,5,LUNG
NCIH209,0.814492,3,LUNG
NCIH211,2.1639925,4,LUNG
NCIH2110,3.834649,3,LUNG
NCIH2122,3.2415505,4,LUNG
NCIH2170,4.501125,4,LUNG
NCIH2171,2.882058,1,LUNG
NCIH2172,5.027032191011135,4,LUNG
NCIH2196,3.702559,1,LUNG
NCIH2227,3.596898,3,LUNG
NCIH2228,4.738546,3,LUNG
NCIH2291,5.356496,3,LUNG
NCIH23,2.598694,5,LUNG
NCIH2342,4.269072,3,LUNG
NCIH2347,3.695079,5,LUNG
NCIH2405,4.284059,3,LUNG
NCIH2444,4.853650999999999,4,LUNG
NCIH292,2.8764355,4,LUNG
NCIH358,4.723379,3,LUNG
NCIH441,5.296687,3,LUNG
NCIH446,3.7075575,4,LUNG
NCIH460,2.793156,5,LUNG
NCIH522,6.11764859260877,4,LUNG
NCIH524,3.035475,3,LUNG
NCIH526,2.855201,3,LUNG
NCIH596,3.9631185,4,LUNG
NCIH647,2.7222705,4,LUNG
NCIH650,4.849461,3,LUNG
NCIH661,5.217539,5,LUNG
NCIH69,3.819582,3,LUNG
NCIH727,4.363998,3,LUNG
NCIH810,3.683519,3,LUNG
NCIH82,4.2428125,4,LUNG
NCIH838,4.158122,3,LUNG
NCIH841,3.996635,5,LUNG
NCIH929,3.72754,3,LYMPH
NOMO1,3.370598,3,LYMPH
NUDUL1,2.265811,3,LYMPH
OCIAML2,1.778429,3,LYMPH
OCIAML3,3.812368,3,LYMPH
OCIAML5,2.7755975,4,LYMPH
OCILY19,1.495225,3,LYMPH
OCIM1,2.8607285,4,LYMPH
OPM2,3.790218,3,LYMPH
P12ICHIKAWA,3.0477567289693175,4,LYMPH
P31FUJ,3.285975,3,LYMPH
PF382,3.837263,3,LYMPH
PL21,4.57031,3,LYMPH
RAJI,3.707018,3,LYMPH
RCHACV,1.5713475,4,LYMPH
REH,2.408996,3,LYMPH
RERFLCKJ,5.036984,3,LUNG
RERFLCMS,3.42795,5,LUNG
RL,3.760346,4,LYMPH
RPMI8226,3.100375,3,LYMPH
RPMI8402,2.9499,4,LYMPH
RS411,2.036402,3,LYMPH
SBC5,3.4794885,4,LUNG
SHP77,3.80626,3,LUNG
SIGM5,2.630454,1,LYMPH
SKLU1,3.4527875,4,LUNG
SKM1,3.0276375,4,LYMPH
SKMES1,4.334651,3,LUNG
SKMM2,4.79771,3,LYMPH
ST486,3.482469,3,LYMPH
SUDHL1,4.284554934951216,2,LYMPH
SUDHL10,3.1031945,2,LYMPH
SUDHL4,3.273994,3,LYMPH
SUDHL5,1.016432,3,LYMPH
SUDHL6,3.010509,3,LYMPH
SUDHL8,1.463456,3,LYMPH
SUPB15,0.334013,2,LYMPH
SUPM2,1.302433,3,LYMPH
SUPT1,3.2643,3,LYMPH
SW1271,4.535502,3,LUNG
SW1573,3.743605,3,LUNG
THP1,3.860685,3,LYMPH
WSUDLCL2,2.5167605,4,LYMPH
