std,Y,n,tissue
697,2.922269,3,LYMPH
A3KAW,3.0792765,2,LYMPH
A4FUK,3.906645,2,LYMPH
A549,4.7926805,2,LUNG
ABC1,4.842124,2,LUNG
ALLSIL,3.4561005,2,LYMPH
AMO1,4.1955345,2,LYMPH
BEN,4.106698,2,LUNG
BL41,3.2223875,2,LYMPH
BV173,2.731776,2,LYMPH
CA46,4.851024000000001,2,LYMPH
CAL12T,4.483192,2,LUNG
CALU3,4.7289905,2,LUNG
CALU6,5.2132179999999995,2,LUNG
CHAGOK1,5.005345,2,LUNG
CMK,3.244075,1,LYMPH
CMLT1,3.918445,2,LYMPH
COLO668,3.8920965,2,LUNG
CORL105,4.5988735,2,LUNG
CORL23,4.901491,2,LUNG
CORL279,3.7320530000000005,2,LUNG
CORL311,4.952917,1,LUNG
CORL88,4.397685,2,LUNG
CORL95,4.689152,2,LUNG
DAUDI,3.9112199999999997,2,LYMPH
DB,3.7569755000000002,2,LYMPH
DMS114,4.6167335000000005,2,LUNG
DMS273,4.819576,2,LUNG
DMS53,4.88025,2,LUNG
DMS79,4.96505,2,LUNG
DND41,3.9192585,2,LYMPH
DOHH2,2.8689270000000002,2,LYMPH
EBC1,4.5515285,2,LUNG
EHEB,4.13502,1,LYMPH
EJM,4.3179405,2,LYMPH
EM2,4.1440215,2,LYMPH
EPLC272H,5.020322500000001,2,LUNG
GA10,4.3668595,2,LYMPH
GDM1,4.648961,2,LYMPH
GRANTA519,4.6545975,2,LYMPH
HARA,3.861918,2,LUNG
HCC15,4.4853315,2,LUNG
HCC33,5.317461,1,LUNG
HCC366,5.3331415,2,LUNG
HCC44,4.474837,2,LUNG
HCC78,4.693053,2,LUNG
HCC827,5.174093,2,LUNG
HDLM2,4.219219,2,LYMPH
HEL,3.829483,2,LYMPH
HH,4.9851955,2,LYMPH
HL60,3.826258,2,LYMPH
HT,4.5005605,2,LYMPH
IALM,5.1911985000000005,2,LUNG
JEKO1,3.9205235,2,LYMPH
JM1,3.7871900000000003,2,LYMPH
JURKAT,3.6862475,2,LYMPH
JURLMK1,3.4240795,2,LYMPH
JVM2,4.225973,2,LYMPH
JVM3,3.318429,2,LYMPH
K562,4.7062185,2,LYMPH
KARPAS422,4.349485,2,LYMPH
KCL22,4.0684745,2,LYMPH
KG1,3.566275,2,LYMPH
KMH2,3.6298395,4,LYMPH
KMS11,4.037008,2,LYMPH
KMS12BM,3.7816045000000003,2,LYMPH
KNS62,4.5394835,2,LUNG
KOPN8,4.050905,3,LYMPH
KU812,3.6473025000000003,2,LYMPH
L1236,4.279866999999999,2,LYMPH
L363,3.260163,2,LYMPH
L428,4.01973,2,LYMPH
L540,3.554713,2,LYMPH
LAMA84,3.253033,2,LYMPH
LCLC103H,4.628929,2,LUNG
LCLC97TM1,4.5184215000000005,2,LUNG
LOUCY,3.5786285,2,LYMPH
LOUNH91,5.0094259999999995,2,LUNG
LP1,4.4475715000000005,2,LYMPH
LU65,5.0343990000000005,2,LUNG
LXF289,4.24278,2,LUNG
ME1,4.3943795,2,LYMPH
MEG01,4.6996675,2,LYMPH
MHHCALL2,2.731794,1,LYMPH
MM1S,3.8398554999999996,2,LYMPH
MOLM13,3.1870475000000003,2,LYMPH
MOLM16,3.038622,2,LYMPH
MOLP8,3.9892320000000003,2,LYMPH
MOLT13,3.3465705,2,LYMPH
MOLT16,3.2118254999999998,2,LYMPH
MONOMAC6,3.8841954999999997,2,LYMPH
NALM6,3.8763544999999997,2,LYMPH
NAMALWA,3.419163,2,LYMPH
NB4,3.170505,2,LYMPH
NCIH1048,5.629053,3,LUNG
NCIH1092,5.439545,2,LUNG
NCIH1105,4.6272614999999995,2,LUNG
NCIH1155,3.8834020000000002,2,LUNG
NCIH1341,4.1988625,2,LUNG
NCIH1435,4.1797675,2,LUNG
NCIH1436,4.5260225,2,LUNG
NCIH1437,4.837676,2,LUNG
NCIH146,4.454763,2,LUNG
NCIH1568,5.17226,2,LUNG
NCIH1623,5.0497615,2,LUNG
NCIH1648,4.796941,2,LUNG
NCIH1650,5.5826785,2,LUNG
NCIH1651,4.3440885,2,LUNG
NCIH1781,5.144594,2,LUNG
NCIH1792,4.3637445,2,LUNG
NCIH1793,5.698672500000001,2,LUNG
NCIH1836,5.6689685,2,LUNG
NCIH1876,4.0039245,2,LUNG
NCIH1915,4.226165,2,LUNG
NCIH1944,5.1470575,2,LUNG
NCIH196,4.3680985,2,LUNG
NCIH1963,4.070657499999999,2,LUNG
NCIH1975,5.1100025,2,LUNG
NCIH2009,4.5271015,2,LUNG
NCIH2023,4.2245845,2,LUNG
NCIH2029,3.9392685,2,LUNG
NCIH2030,4.871286,2,LUNG
NCIH2066,6.16477,2,LUNG
NCIH2081,4.691893,2,LUNG
