std,Y,n,tissue
697,3.0647795,2,LYMPH
A3KAW,3.817895,2,LYMPH
A4FUK,3.654466,2,LYMPH
A549,4.047748,3,LUNG
ABC1,4.583012999999999,2,LUNG
ALLSIL,3.644445,2,LYMPH
AMO1,3.2880225,2,LYMPH
BEN,5.262209,2,LUNG
BL41,2.5855485,2,LYMPH
BV173,3.230684,2,LYMPH
CA46,5.0264975,2,LYMPH
CAL12T,4.122566,2,LUNG
CALU3,4.673170000000001,2,LUNG
CALU6,5.0090765,2,LUNG
CHAGOK1,4.6941155000000006,2,LUNG
CMK,3.781236,1,LYMPH
CMLT1,3.255684,2,LYMPH
COLO668,4.812422,2,LUNG
CORL105,5.089479,2,LUNG
CORL23,4.865041,2,LUNG
CORL279,4.306483,2,LUNG
CORL311,4.522597,1,LUNG
CORL88,4.2304115,2,LUNG
CORL95,4.896542500000001,2,LUNG
DAUDI,3.9426930000000002,2,LYMPH
DB,3.513006,2,LYMPH
DMS114,4.7099685000000004,2,LUNG
DMS273,3.4793165000000004,2,LUNG
DMS53,4.807786,2,LUNG
DMS79,5.193422999999999,2,LUNG
DND41,3.3765185,2,LYMPH
DOHH2,2.8840715,2,LYMPH
EBC1,4.9380445,2,LUNG
EHEB,5.358943,1,LYMPH
EJM,4.525727,2,LYMPH
EM2,4.5761495,2,LYMPH
EPLC272H,5.3632405,2,LUNG
GA10,3.851514,2,LYMPH
GDM1,5.061389,2,LYMPH
GRANTA519,4.99419,2,LYMPH
HARA,5.1801575,2,LUNG
HCC15,4.863236000000001,2,LUNG
HCC33,3.791304,1,LUNG
HCC366,5.073975,2,LUNG
HCC44,3.9590945,2,LUNG
HCC78,5.085156,2,LUNG
HCC827,5.526762,2,LUNG
HDLM2,4.527547,2,LYMPH
HEL,3.9827175,2,LYMPH
HH,4.3705305,2,LYMPH
HL60,3.819495,2,LYMPH
HT,5.0223245,2,LYMPH
IALM,4.851528500000001,2,LUNG
JEKO1,3.6868480000000003,2,LYMPH
JM1,3.803331,2,LYMPH
JURKAT,3.8297309999999998,2,LYMPH
JURLMK1,3.339761,2,LYMPH
JVM2,5.2145125,2,LYMPH
JVM3,3.9141715,2,LYMPH
K562,3.9419570000000004,2,LYMPH
KARPAS422,4.2299915,2,LYMPH
KCL22,4.4231584999999995,2,LYMPH
KG1,3.8477455,2,LYMPH
KMH2,4.1293869999999995,4,LYMPH
KMS11,4.3554765,2,LYMPH
KMS12BM,2.836231,2,LYMPH
KNS62,5.0752375,2,LUNG
KOPN8,3.5228175000000004,2,LYMPH
KU812,3.6309855,2,LYMPH
L1236,3.8397055,2,LYMPH
L363,3.664264,2,LYMPH
L428,4.536873,2,LYMPH
L540,3.3123335000000003,2,LYMPH
LAMA84,3.1548685,2,LYMPH
LCLC103H,4.9172335,2,LUNG
LCLC97TM1,4.081115499999999,2,LUNG
LOUCY,3.328135,2,LYMPH
LOUNH91,5.4773925,2,LUNG
LP1,4.0772675,2,LYMPH
LU65,5.2399755,2,LUNG
LXF289,4.563053,2,LUNG
ME1,4.7215155,2,LYMPH
MEG01,3.9131915,2,LYMPH
MHHCALL2,3.687992,1,LYMPH
MM1S,4.0842855,2,LYMPH
MOLM13,3.8240175,2,LYMPH
MOLM16,3.7146295,2,LYMPH
MOLP8,4.1940375,2,LYMPH
MOLT13,3.440665,2,LYMPH
MOLT16,3.053847,2,LYMPH
MONOMAC6,4.0898455,2,LYMPH
NALM6,3.347335,2,LYMPH
NAMALWA,3.2869555,2,LYMPH
NB4,3.362056,3,LYMPH
NCIH1048,4.754067,2,LUNG
NCIH1092,5.4885255,2,LUNG
NCIH1105,4.1119705,2,LUNG
NCIH1155,3.25845,2,LUNG
NCIH1341,4.252137,2,LUNG
NCIH1435,4.9828525,2,LUNG
NCIH1436,5.2763835,2,LUNG
NCIH1437,4.744863499999999,2,LUNG
NCIH146,4.847504499999999,2,LUNG
NCIH1568,6.500522,3,LUNG
NCIH1623,5.5594725,2,LUNG
NCIH1648,4.435548,3,LUNG
NCIH1650,5.0558309999999995,2,LUNG
NCIH1651,4.3818675,2,LUNG
NCIH1781,5.280017,2,LUNG
NCIH1792,4.62375080068222,3,LUNG
NCIH1793,5.9432605,2,LUNG
NCIH1836,5.5968795,2,LUNG
NCIH1876,4.233155,2,LUNG
NCIH1915,4.816924500000001,2,LUNG
NCIH1944,5.5147745,2,LUNG
NCIH196,4.796003,2,LUNG
NCIH1963,4.6937265,2,LUNG
NCIH1975,4.9288170000000004,2,LUNG
NCIH2009,4.798223,2,LUNG
NCIH2023,4.5183235,2,LUNG
NCIH2029,4.486274,2,LUNG
NCIH2030,4.5813505,2,LUNG
NCIH2066,6.085737,2,LUNG
NCIH2081,4.354838,2,LUNG
NCIH2085,4.8074245,2,LUNG
NCIH2087,4.899173,3,LUNG
NCIH209,5.05597,2,LUNG
NCIH211,3.9646134999999996,2,LUNG
NCIH2110,4.724734,2,LUNG
NCIH2122,4.5588075,2,LUNG
NCIH2170,5.117316499999999,2,LUNG
NCIH2171,3.957578,1,LUNG
NCIH2172,5.4636960000000006,2,LUNG
NCIH2196,5.95674,1,LUNG
NCIH2227,5.7614730000000005,2,LUNG
NCIH2228,6.0583575,2,LUNG
NCIH2291,6.5727595,2,LUNG
NCIH23,4.364891,2,LUNG
NCIH2342,5.3210014999999995,2,LUNG
NCIH2347,5.9997445,2,LUNG
NCIH2405,5.99928,2,LUNG
NCIH2444,5.8307765,2,LUNG
NCIH292,3.705355,2,LUNG
NCIH358,5.7034365000000005,2,LUNG
NCIH441,6.4528695,2,LUNG
NCIH446,4.290342,3,LUNG
NCIH460,5.087391,3,LUNG
NCIH522,5.409842,1,LUNG
NCIH524,3.553814,2,LUNG
NCIH526,4.0316244999999995,2,LUNG
NCIH596,5.1801185,2,LUNG
NCIH647,4.8986625,2,LUNG
NCIH650,4.86599,2,LUNG
NCIH661,5.142423,2,LUNG
NCIH69,4.2141875,2,LUNG
NCIH727,4.9214590000000005,2,LUNG
NCIH810,4.694823,2,LUNG
NCIH82,4.042686,2,LUNG
NCIH838,5.247965000000001,2,LUNG
NCIH841,3.8598755000000002,2,LUNG
NCIH929,3.764404,2,LYMPH
NOMO1,3.6888294999999998,2,LYMPH
NUDUL1,3.512973,2,LYMPH
OCIAML2,3.7533760000000003,2,LYMPH
OCIAML3,4.115363,2,LYMPH
OCIAML5,3.7721999999999998,2,LYMPH
OCILY19,3.6055635,2,LYMPH
OCIM1,3.735554,2,LYMPH
OPM2,3.749804,2,LYMPH
P12ICHIKAWA,3.066786,1,LYMPH
P31FUJ,4.512817500000001,2,LYMPH
PF382,4.203583,2,LYMPH
PL21,4.6770075,2,LYMPH
RAJI,3.4800820000000003,2,LYMPH
RCHACV,3.6489105,2,LYMPH
REH,3.3219145,2,LYMPH
RERFLCKJ,5.234026500000001,2,LUNG
RERFLCMS,4.863823,3,LUNG
RL,4.7948830000000005,2,LYMPH
RPMI8226,3.4830674999999998,2,LYMPH
RPMI8402,3.681184,2,LYMPH
RS411,3.3602425,2,LYMPH
SBC5,4.841653,3,LUNG
SHP77,3.6040915,2,LUNG
SIGM5,0.182622,1,LYMPH
SKLU1,4.967252,1,LUNG
SKM1,3.277557,2,LYMPH
SKMES1,5.076294,2,LUNG
