std,Y,n,tissue
697,0.840293,3,LYMPH
A3KAW,0.849486,3,LYMPH
A4FUK,1.526998,3,LYMPH
A549,0.980552,3,LUNG
ABC1,3.0832955,4,LUNG
ALLSIL,0.805042,3,LYMPH
AMO1,1.532017,3,LYMPH
BEN,3.902555014330855,4,LUNG
BL41,1.058129,3,LYMPH
BV173,0.576239,3,LYMPH
CA46,1.960309,3,LYMPH
CAL12T,1.026648,3,LUNG
CALU3,-0.608788,3,LUNG
CALU6,2.265253,3,LUNG
CHAGOK1,2.878743,3,LUNG
CMK,1.9618645,2,LYMPH
CMLT1,1.260652,3,LYMPH
COLO668,2.2162635,4,LUNG
CORL105,-1.7695625,4,LUNG
CORL23,3.2055510000000003,4,LUNG
CORL279,1.005124,3,LUNG
CORL311,1.501244,1,LUNG
CORL88,2.025918,3,LUNG
CORL95,2.225272,3,LUNG
DAUDI,1.466058,3,LYMPH
DB,1.173775,3,LYMPH
DMS114,2.21515,3,LUNG
DMS273,1.285663,3,LUNG
DMS53,2.597171,3,LUNG
DMS79,3.031082,3,LUNG
DND41,0.945492,3,LYMPH
DOHH2,0.853952,2,LYMPH
EBC1,2.7493455,4,LUNG
EHEB,4.039714,2,LYMPH
EJM,1.773421,3,LYMPH
EM2,1.762432,3,LYMPH
EPLC272H,0.229596,3,LUNG
GA10,1.494885,3,LYMPH
GDM1,1.98191,3,LYMPH
GRANTA519,3.167539,3,LYMPH
HARA,0.411820567013651,4,LUNG
HCC15,2.682286669107015,4,LUNG
HCC33,1.00459,1,LUNG
HCC366,3.2931359999999996,4,LUNG
HCC44,2.6762325,4,LUNG
HCC78,1.13192,3,LUNG
HCC827,-3.65435,4,LUNG
HDLM2,1.637327,3,LYMPH
HEL,1.815947,3,LYMPH
HH,2.153276,3,LYMPH
HL60,1.518484,3,LYMPH
HT,1.832436,3,LYMPH
IALM,3.1093645,4,LUNG
JEKO1,1.020687,3,LYMPH
JM1,1.869284,3,LYMPH
JURKAT,1.176094,3,LYMPH
JURLMK1,1.082421,3,LYMPH
JVM2,1.643336,3,LYMPH
JVM3,1.587897,3,LYMPH
K562,2.039521,3,LYMPH
KARPAS422,1.837942,3,LYMPH
KCL22,1.278999,3,LYMPH
KG1,1.662314,3,LYMPH
KMH2,1.7836495,6,LYMPH
KMS11,1.413856,3,LYMPH
KMS12BM,1.1434085,2,LYMPH
KNS62,2.309061,3,LUNG
KOPN8,1.173313,3,LYMPH
KU812,0.943904,3,LYMPH
L1236,1.471184,3,LYMPH
L363,1.502708,3,LYMPH
L428,1.810253,3,LYMPH
L540,1.33832,3,LYMPH
LAMA84,0.937189,3,LYMPH
LCLC103H,2.75628552328123,4,LUNG
LCLC97TM1,1.160413,3,LUNG
LOUCY,1.249587,3,LYMPH
LOUNH91,0.0998068757711467,3,LUNG
LP1,3.688778,3,LYMPH
LU65,1.85723,3,LUNG
LXF289,2.517791,4,LUNG
ME1,2.101089,3,LYMPH
MEG01,1.158524,3,LYMPH
MHHCALL2,1.477495,3,LYMPH
MM1S,1.4644555000000001,2,LYMPH
MOLM13,1.513238,3,LYMPH
MOLM16,-0.073362,3,LYMPH
MOLP8,1.284768,3,LYMPH
MOLT13,0.53809,3,LYMPH
MOLT16,0.648148,3,LYMPH
MONOMAC6,1.572399,3,LYMPH
NALM6,1.131049,3,LYMPH
NAMALWA,1.243076,3,LYMPH
NB4,1.004316,3,LYMPH
NCIH1048,2.185585,3,LUNG
NCIH1092,3.132601,3,LUNG
NCIH1105,3.019823,3,LUNG
NCIH1155,1.555654,3,LUNG
NCIH1341,1.864366,3,LUNG
NCIH1435,1.531175,3,LUNG
NCIH1436,3.293998,3,LUNG
NCIH1437,3.9053005,4,LUNG
NCIH146,1.744032,3,LUNG
NCIH1568,-0.09985400000000003,4,LUNG
NCIH1623,-1.318135,4,LUNG
NCIH1648,-0.178815,4,LUNG
NCIH1650,0.901655,3,LUNG
NCIH1651,3.318885,4,LUNG
NCIH1781,-0.541766,3,LUNG
NCIH1792,2.53443,4,LUNG
NCIH1793,3.452984,3,LUNG
NCIH1836,2.607629,3,LUNG
NCIH1876,1.533848,3,LUNG
NCIH1915,1.7933810332619098,4,LUNG
NCIH1944,2.3331415,4,LUNG
NCIH196,2.555251,3,LUNG
NCIH1963,1.4693635,2,LUNG
NCIH1975,-0.10283800000000004,4,LUNG
NCIH2009,1.747846,4,LUNG
NCIH2023,1.4721935,4,LUNG
NCIH2029,2.308708,3,LUNG
NCIH2030,1.7584095,4,LUNG
NCIH2066,2.968683,3,LUNG
