std,Y,n,tissue
697,-2.325587,3,LYMPH
A3KAW,-1.891792,3,LYMPH
A4FUK,-2.388882,3,LYMPH
A549,-0.1273055,4,LUNG
ABC1,-0.16224593360539402,4,LUNG
ALLSIL,-1.82543,3,LYMPH
AMO1,-1.252849,3,LYMPH
BEN,1.0605855,4,LUNG
BL41,-2.598511,3,LYMPH
BV173,-2.203557,3,LYMPH
CA46,0.362209,3,LYMPH
CAL12T,-0.663185,3,LUNG
CALU3,1.997559,3,LUNG
CALU6,-0.17445202856258016,4,LUNG
CHAGOK1,0.7022,3,LUNG
CMK,-0.9871765,2,LYMPH
CMLT1,-2.097275,3,LYMPH
COLO668,0.2616297670062985,4,LUNG
CORL105,0.3001917518890905,4,LUNG
CORL23,-0.9286245,4,LUNG
CORL279,-0.02459,3,LUNG
CORL311,0.789939,1,LUNG
CORL88,0.167508,3,LUNG
CORL95,1.269585,2,LUNG
DAUDI,-0.921247,3,LYMPH
DB,0.312131,3,LYMPH
DMS114,1.358786,3,LUNG
DMS273,0.04295497972273705,4,LUNG
DMS53,2.674165,3,LUNG
DMS79,1.200042,3,LUNG
DND41,-1.970254,3,LYMPH
DOHH2,-2.015196,2,LYMPH
EBC1,1.120971,4,LUNG
EHEB,0.6107095,2,LYMPH
EJM,-1.585132,3,LYMPH
EM2,-2.143894,3,LYMPH
EPLC272H,-1.974506,3,LUNG
GA10,-2.238074,3,LYMPH
GDM1,-3.693323,3,LYMPH
GRANTA519,-0.658382,3,LYMPH
HARA,-2.3105935,4,LUNG
HCC15,0.904186,4,LUNG
HCC33,-0.995314,1,LUNG
HCC366,0.7503520830264825,4,LUNG
HCC44,0.069264,4,LUNG
HCC78,-0.434869,4,LUNG
HCC827,-0.4816285,4,LUNG
HDLM2,0.110167,3,LYMPH
HEL,-1.451111,3,LYMPH
HH,-0.383486,3,LYMPH
HL60,-0.110079,3,LYMPH
HT,-0.806357,3,LYMPH
IALM,1.1114405,4,LUNG
JEKO1,-3.358135,3,LYMPH
JM1,-1.769924,3,LYMPH
JURKAT,-1.166584,3,LYMPH
JURLMK1,-2.963195,2,LYMPH
JVM2,-2.335457,3,LYMPH
JVM3,-2.201729,3,LYMPH
K562,-0.882195,3,LYMPH
KARPAS422,-1.03218,3,LYMPH
KCL22,-1.923032,3,LYMPH
KG1,-0.033386,3,LYMPH
KMH2,-0.069697,6,LYMPH
KMS11,-1.21802,3,LYMPH
KMS12BM,-1.7175189999999998,2,LYMPH
KNS62,0.084494590513866,4,LUNG
KOPN8,-1.674856,3,LYMPH
KU812,-2.099844,3,LYMPH
L1236,-1.020179,3,LYMPH
L363,-2.292671,3,LYMPH
L428,-0.605396,3,LYMPH
L540,-1.800716,3,LYMPH
LAMA84,-1.991655,3,LYMPH
LCLC103H,0.3800985,4,LUNG
LCLC97TM1,-1.058854,3,LUNG
LOUCY,-1.584376,3,LYMPH
LOUNH91,-0.900261,4,LUNG
LP1,2.670421,3,LYMPH
LU65,2.165774,3,LUNG
LXF289,-0.210951,4,LUNG
ME1,1.266903,3,LYMPH
MEG01,-2.181415,3,LYMPH
