std,Y,n,tissue
697,0.79823,2,LYMPH
A3KAW,1.6754915000000001,2,LYMPH
A4FUK,0.55991,2,LYMPH
A549,3.9945935,2,LUNG
ABC1,4.7147695,2,LUNG
ALLSIL,2.468864,2,LYMPH
AMO1,2.7944335000000002,2,LYMPH
BEN,3.055382,2,LUNG
BL41,2.345345,2,LYMPH
BV173,0.8476535000000001,2,LYMPH
CA46,3.167103,2,LYMPH
CAL12T,3.580785,2,LUNG
CALU3,4.3525295,2,LUNG
CALU6,4.2709095,2,LUNG
CHAGOK1,4.0040145,2,LUNG
CMK,1.684003,1,LYMPH
CMLT1,2.642988,2,LYMPH
COLO668,3.2096625000000003,2,LUNG
CORL105,4.0522975,2,LUNG
CORL23,3.831386,2,LUNG
CORL279,3.0527645,2,LUNG
CORL311,5.156472,1,LUNG
CORL88,2.6291705,2,LUNG
CORL95,4.1817515,2,LUNG
DAUDI,2.706864,2,LYMPH
DB,2.105936,2,LYMPH
DMS114,1.299393,2,LUNG
DMS273,2.8319905,2,LUNG
DMS53,3.8200484999999995,2,LUNG
DMS79,4.4897075,2,LUNG
DND41,2.746592,2,LYMPH
DOHH2,2.294685,2,LYMPH
EBC1,4.1117745,2,LUNG
EHEB,2.834042,1,LYMPH
EJM,3.5264785,2,LYMPH
EM2,3.3643075000000002,2,LYMPH
EPLC272H,2.8306614999999997,2,LUNG
GA10,2.61229,2,LYMPH
GDM1,2.415219,2,LYMPH
GRANTA519,4.591899,2,LYMPH
HARA,2.3773584999999997,2,LUNG
HCC15,4.3904015,2,LUNG
HCC33,3.786713,1,LUNG
HCC366,4.521291,2,LUNG
HCC44,2.5497825,2,LUNG
HCC78,3.261771,2,LUNG
HCC827,3.8992055,2,LUNG
HDLM2,2.053922,2,LYMPH
HEL,2.6833235,2,LYMPH
HH,2.538902,2,LYMPH
HL60,3.097894,2,LYMPH
HT,3.868107,2,LYMPH
IALM,2.8497705,2,LUNG
JEKO1,1.911379,2,LYMPH
JM1,2.8075715,2,LYMPH
JURKAT,2.7339265,2,LYMPH
JURLMK1,1.696525,2,LYMPH
JVM2,2.245044,2,LYMPH
JVM3,1.925247,2,LYMPH
