std,Y,n,tissue
697,2.008967,3,LYMPH
A3KAW,0.27874,3,LYMPH
A4FUK,0.308614,3,LYMPH
A549,-0.7372175000000001,4,LUNG
ABC1,4.3270765,4,LUNG
ALLSIL,2.845806,3,LYMPH
AMO1,1.085629,3,LYMPH
BEN,4.1428425,4,LUNG
BL41,3.022194,3,LYMPH
BV173,0.257823,3,LYMPH
CA46,4.209005,3,LYMPH
CAL12T,1.352236,3,LUNG
CALU3,1.52865,3,LUNG
CALU6,0.6490175,4,LUNG
CHAGOK1,3.964881,3,LUNG
CMK,2.590109,2,LYMPH
CMLT1,1.699423,3,LYMPH
COLO668,2.2131895,4,LUNG
CORL105,1.7187149998290852,4,LUNG
CORL23,1.308252,3,LUNG
CORL279,3.143126,3,LUNG
CORL311,5.064396,1,LUNG
CORL88,4.393481,3,LUNG
CORL95,4.459516,3,LUNG
DAUDI,3.819899,3,LYMPH
DB,4.098886,3,LYMPH
DMS114,2.823042,3,LUNG
DMS273,3.504228,3,LUNG
DMS53,3.518581,3,LUNG
DMS79,4.955769,3,LUNG
DND41,1.377541,3,LYMPH
DOHH2,3.3414055,2,LYMPH
EBC1,-0.778096,3,LUNG
EHEB,3.6453105,2,LYMPH
EJM,3.669839,3,LYMPH
EM2,0.068303,3,LYMPH
EPLC272H,0.513565,3,LUNG
GA10,2.86465,3,LYMPH
GDM1,2.497941,3,LYMPH
GRANTA519,4.4346295,2,LYMPH
HARA,1.601687,4,LUNG
HCC15,-0.027880499999999975,4,LUNG
HCC33,5.396549,1,LUNG
HCC366,2.986259,3,LUNG
HCC44,-0.010404499999999983,4,LUNG
HCC78,2.2528605,4,LUNG
HCC827,3.0487666217830203,4,LUNG
HDLM2,3.952277,3,LYMPH
HEL,3.452122,3,LYMPH
HH,3.555604,3,LYMPH
HL60,-1.163567,3,LYMPH
HT,3.142481,3,LYMPH
IALM,2.4024219024965,4,LUNG
JEKO1,3.312056,3,LYMPH
JM1,3.56465,3,LYMPH
JURKAT,3.438105,3,LYMPH
JURLMK1,-2.046922,3,LYMPH
JVM2,2.745954,3,LYMPH
JVM3,1.783503,3,LYMPH
K562,1.658211,3,LYMPH
KARPAS422,3.981069,3,LYMPH
KCL22,0.70161,3,LYMPH
KG1,2.029264,3,LYMPH
KMH2,0.9224460000000001,6,LYMPH
KMS11,2.623285,3,LYMPH
KMS12BM,2.891837,1,LYMPH
KNS62,0.9643839999999999,4,LUNG
KOPN8,1.079792,3,LYMPH
KU812,-1.402633,3,LYMPH
L1236,3.055294,3,LYMPH
L363,2.674924,3,LYMPH
L428,4.034765,3,LYMPH
L540,3.442636,3,LYMPH
LAMA84,-1.092918,3,LYMPH
