std,Y,n,tissue
697,1.881131,2,LYMPH
A3KAW,2.479763,2,LYMPH
A4FUK,1.8891229999999999,2,LYMPH
A549,3.862704,2,LUNG
ABC1,3.108394,3,LUNG
ALLSIL,2.486408,2,LYMPH
AMO1,1.0357015,2,LYMPH
BEN,2.9444925,2,LUNG
BL41,2.615809,2,LYMPH
BV173,0.599389,2,LYMPH
CA46,3.5308219999999997,2,LYMPH
CAL12T,4.107211,2,LUNG
CALU3,3.267993,2,LUNG
CALU6,3.976513,2,LUNG
CHAGOK1,3.3070440000000003,2,LUNG
CMK,3.129619,1,LYMPH
CMLT1,1.554584,2,LYMPH
COLO668,3.115045,3,LUNG
CORL105,3.048135,3,LUNG
CORL23,3.1564764999999997,2,LUNG
CORL279,3.036984,2,LUNG
CORL311,3.379393,1,LUNG
CORL88,3.7969675,2,LUNG
CORL95,3.0658255,2,LUNG
DAUDI,2.4798505000000004,2,LYMPH
DB,2.3039295,2,LYMPH
DMS114,3.9311175,2,LUNG
DMS273,3.0262219999999997,2,LUNG
DMS53,3.7192309999999997,2,LUNG
DMS79,2.47612,2,LUNG
DND41,2.326203,2,LYMPH
DOHH2,1.455503,1,LYMPH
EBC1,3.1022095,2,LUNG
EHEB,1.771356,1,LYMPH
EJM,3.056452,2,LYMPH
EM2,2.8679335000000004,2,LYMPH
EPLC272H,2.6024245,2,LUNG
GA10,2.5499834999999997,2,LYMPH
GDM1,3.1714659999999997,2,LYMPH
GRANTA519,2.5222315,2,LYMPH
HARA,2.09736,2,LUNG
HCC15,3.418561,3,LUNG
HCC33,3.608947,1,LUNG
HCC366,2.845926,3,LUNG
HCC44,2.9092675000000003,2,LUNG
HCC78,2.8699975,2,LUNG
HCC827,2.790271,3,LUNG
HDLM2,2.4377595,2,LYMPH
HEL,2.2432545,2,LYMPH
HH,3.214168,2,LYMPH
HL60,3.4552305,2,LYMPH
HT,3.4053065,2,LYMPH
IALM,3.132958,3,LUNG
JEKO1,2.8047994999999997,2,LYMPH
JM1,2.181382,2,LYMPH
JURKAT,3.4636215000000004,2,LYMPH
JURLMK1,1.2780675000000001,2,LYMPH
JVM2,1.194662,2,LYMPH
JVM3,0.8946805,2,LYMPH
K562,2.6357865,2,LYMPH
KARPAS422,4.2052895,2,LYMPH
KCL22,1.829698,2,LYMPH
KG1,3.9911695,2,LYMPH
KMH2,3.046281,4,LYMPH
KMS11,3.1154384999999998,2,LYMPH
KMS12BM,1.7845805000000001,2,LYMPH
KNS62,2.808217,3,LUNG
KOPN8,2.345001,1,LYMPH
KU812,2.2502820000000003,2,LYMPH
L1236,3.902526,2,LYMPH
L363,2.044241,2,LYMPH
L428,3.6238795,2,LYMPH
L540,2.5663985,2,LYMPH
LAMA84,2.055619,2,LYMPH
LCLC103H,2.26847929566769,3,LUNG
LCLC97TM1,3.3128195,2,LUNG
LOUCY,2.273412,2,LYMPH
LOUNH91,4.2806995,2,LUNG
LP1,3.5112335,2,LYMPH
LU65,3.6662055000000002,2,LUNG
LXF289,3.0846109999999998,2,LUNG
ME1,4.437317500000001,2,LYMPH
MEG01,2.583563,2,LYMPH
MHHCALL2,2.999984,1,LYMPH
MM1S,1.8395105,2,LYMPH
MOLM13,0.136118,2,LYMPH
MOLM16,1.9736915000000002,2,LYMPH
MOLP8,2.490998,2,LYMPH
MOLT13,2.66861,2,LYMPH
MOLT16,-0.22613599999999995,2,LYMPH
MONOMAC6,1.9994675,2,LYMPH
NALM6,2.9968295,2,LYMPH
NAMALWA,2.912384,2,LYMPH
NB4,1.6461165,2,LYMPH
NCIH1048,2.427811,3,LUNG
NCIH1092,4.764313,2,LUNG
NCIH1105,3.613253,1,LUNG
NCIH1155,2.904691,2,LUNG
NCIH1341,3.3283240000000003,2,LUNG
NCIH1435,4.2348035,2,LUNG
NCIH1436,5.119483000000001,2,LUNG
NCIH1437,2.623813,2,LUNG
NCIH146,3.354793,2,LUNG
NCIH1568,2.56283444857087,3,LUNG
NCIH1623,3.7810122539112,3,LUNG
NCIH1648,2.43244,3,LUNG
NCIH1650,6.827746,3,LUNG
NCIH1651,1.380449,3,LUNG
NCIH1781,3.5912815,2,LUNG
NCIH1792,2.531443,3,LUNG
NCIH1793,5.1595275,2,LUNG
NCIH1836,5.320161,2,LUNG
NCIH1876,4.5568480000000005,2,LUNG
NCIH1915,2.55874376562232,3,LUNG
NCIH1944,2.242047,3,LUNG
NCIH196,4.6788264999999996,2,LUNG
NCIH1963,3.7818695,2,LUNG
NCIH1975,4.0200745,2,LUNG
NCIH2009,2.377731,3,LUNG
NCIH2023,3.3780165,2,LUNG
NCIH2029,3.0399605,2,LUNG
NCIH2030,3.313871,3,LUNG
NCIH2066,5.0649865,2,LUNG
NCIH2081,4.83819,2,LUNG
NCIH2085,4.489559,2,LUNG
NCIH2087,2.263594867231,3,LUNG
NCIH209,1.367586,2,LUNG
NCIH211,3.6396429999999995,2,LUNG
NCIH2110,3.093285,3,LUNG
NCIH2122,3.433961,2,LUNG
NCIH2170,3.256734,3,LUNG
NCIH2171,3.661765,1,LUNG
NCIH2172,2.33202554866411,3,LUNG
NCIH2196,2.241382,1,LUNG
NCIH2227,4.6282905,2,LUNG
NCIH2228,2.600928,3,LUNG
NCIH2291,3.5031535,2,LUNG
NCIH23,3.6375425,2,LUNG
NCIH2342,3.0333525000000003,2,LUNG
