std,Y,n,tissue
697,2.720731,2,LYMPH
A3KAW,2.445899,2,LYMPH
A4FUK,3.764277,2,LYMPH
A549,4.0470265,2,LUNG
ABC1,4.8422985,2,LUNG
ALLSIL,3.100577,2,LYMPH
AMO1,2.316744,2,LYMPH
BEN,4.1537429999999995,2,LUNG
BL41,2.5733110000000003,2,LYMPH
BV173,2.7760135000000004,2,LYMPH
CA46,3.3005975000000003,2,LYMPH
CAL12T,4.6815560000000005,2,LUNG
CALU3,2.966157,2,LUNG
CALU6,4.832364999999999,2,LUNG
CHAGOK1,4.3629725,2,LUNG
CMK,2.641157,1,LYMPH
CMLT1,3.280551,2,LYMPH
COLO668,4.189705999999999,2,LUNG
CORL105,3.3157845,2,LUNG
CORL23,3.3348579999999997,2,LUNG
CORL279,3.075885,2,LUNG
CORL311,4.550532,1,LUNG
CORL88,3.8250314999999997,2,LUNG
CORL95,4.171957,1,LUNG
DAUDI,3.5466365,2,LYMPH
DB,2.7669245,2,LYMPH
DMS114,3.83214,2,LUNG
DMS273,3.2192125000000003,2,LUNG
DMS53,3.9467135000000004,2,LUNG
DMS79,4.873733,2,LUNG
DND41,1.9415475,2,LYMPH
DOHH2,2.510649,1,LYMPH
EBC1,2.957218,2,LUNG
EHEB,0.558553,1,LYMPH
EJM,4.3311720000000005,2,LYMPH
EM2,3.2357215,2,LYMPH
EPLC272H,4.08516,2,LUNG
GA10,3.1169385,2,LYMPH
GDM1,2.4195305,2,LYMPH
GRANTA519,4.123764,2,LYMPH
HARA,3.3653515,2,LUNG
HCC15,3.4662815,2,LUNG
HCC33,5.029394,1,LUNG
HCC366,4.613423,2,LUNG
HCC44,3.664152,2,LUNG
HCC78,2.490339,3,LUNG
HCC827,3.6928029999999996,2,LUNG
HDLM2,3.2090075000000002,2,LYMPH
HEL,3.8196805,2,LYMPH
HH,3.0492875,2,LYMPH
HL60,3.0013955,2,LYMPH
HT,4.4879405000000006,2,LYMPH
IALM,4.468203,2,LUNG
JEKO1,3.3149534999999997,2,LYMPH
JM1,3.6114315,2,LYMPH
JURKAT,2.4783334999999997,2,LYMPH
JURLMK1,2.914305,1,LYMPH
JVM2,3.5002459999999997,2,LYMPH
JVM3,3.016966,2,LYMPH
K562,3.0172689999999998,2,LYMPH
KARPAS422,3.438548,2,LYMPH
KCL22,3.1479685,2,LYMPH
KG1,3.533687,2,LYMPH
KMH2,3.7814595,4,LYMPH
KMS11,3.6418844999999997,2,LYMPH
KMS12BM,2.11709,1,LYMPH
KNS62,3.1028140000000004,2,LUNG
KOPN8,2.8503404999999997,2,LYMPH
KU812,2.8742590000000003,2,LYMPH
L1236,3.2980305,2,LYMPH
L363,2.6479895,2,LYMPH
L428,3.036125,2,LYMPH
L540,3.3554385,2,LYMPH
LAMA84,2.801952,2,LYMPH
LCLC103H,4.1212555,2,LUNG
LCLC97TM1,4.303527,2,LUNG
LOUCY,2.3577155,2,LYMPH
LOUNH91,4.7341675,2,LUNG
LP1,4.0021945,2,LYMPH
LU65,4.917864,2,LUNG
LXF289,2.6868730000000003,2,LUNG
ME1,3.813418,2,LYMPH
MEG01,3.5425839999999997,2,LYMPH
MHHCALL2,2.0580049999999996,2,LYMPH
MM1S,2.846914,1,LYMPH
MOLM13,2.656223,2,LYMPH
MOLM16,3.4656409999999997,2,LYMPH
MOLP8,3.596476,2,LYMPH
MOLT13,2.4049895,2,LYMPH
MOLT16,1.6640069999999998,2,LYMPH
MONOMAC6,2.7217405,2,LYMPH
NALM6,2.542967,2,LYMPH
NAMALWA,3.034929,2,LYMPH
NB4,3.141988,2,LYMPH
NCIH1048,3.391832,2,LUNG
NCIH1092,4.406886500000001,2,LUNG
NCIH1105,4.9043399999999995,2,LUNG
NCIH1155,3.041155,2,LUNG
NCIH1341,3.135161,2,LUNG
NCIH1435,4.268184,3,LUNG
NCIH1436,3.5986625,2,LUNG
NCIH1437,4.30091,2,LUNG
NCIH146,3.9095685,2,LUNG
NCIH1568,3.997301,2,LUNG
NCIH1623,4.4032195,2,LUNG
NCIH1648,3.323687,2,LUNG
NCIH1650,3.836215,2,LUNG
NCIH1651,3.8997070000000003,2,LUNG
NCIH1781,4.246480999999999,2,LUNG
NCIH1792,3.4088805,2,LUNG
NCIH1793,4.835913,2,LUNG
NCIH1836,5.1163355,2,LUNG
NCIH1876,4.306938000000001,2,LUNG
NCIH1915,4.102361,2,LUNG
NCIH1944,4.082644,2,LUNG
NCIH196,4.0597034999999995,2,LUNG
NCIH1963,2.650676,1,LUNG
NCIH1975,3.2321465,2,LUNG
NCIH2009,3.966482,2,LUNG
NCIH2023,4.7381225,2,LUNG
NCIH2029,4.6225255,2,LUNG
NCIH2030,4.4902725,2,LUNG
NCIH2066,4.9077845,2,LUNG
NCIH2081,4.834334999999999,2,LUNG
NCIH2085,4.3518785,2,LUNG
NCIH2087,4.494968500000001,2,LUNG
NCIH209,3.4318565000000003,2,LUNG
NCIH211,2.4965715,2,LUNG
NCIH2110,4.0673425000000005,2,LUNG
NCIH2122,3.5484285,2,LUNG
NCIH2170,4.139878,2,LUNG
NCIH2171,3.681934,1,LUNG
NCIH2172,4.4542565,2,LUNG
NCIH2196,5.199021,1,LUNG
NCIH2227,4.5986519999999995,2,LUNG
NCIH2228,4.779586,2,LUNG
NCIH2291,5.8438745,2,LUNG
NCIH23,4.1467220000000005,2,LUNG
NCIH2342,3.339004,2,LUNG
NCIH2347,4.789261,2,LUNG
NCIH2405,4.313727,2,LUNG
NCIH2444,5.4783365,2,LUNG
NCIH292,3.4229515,2,LUNG
NCIH358,4.7124375,2,LUNG
NCIH441,5.0459855000000005,2,LUNG
NCIH446,3.124689,2,LUNG
NCIH460,4.5924,2,LUNG
NCIH522,4.5880054999999995,2,LUNG
NCIH524,3.2759055000000004,2,LUNG
NCIH526,3.9198589999999998,2,LUNG
NCIH596,4.984985,2,LUNG
NCIH647,5.008343,1,LUNG
NCIH650,4.5366325,2,LUNG
NCIH661,3.544773,2,LUNG
NCIH69,2.919275,2,LUNG
NCIH727,4.6563485,2,LUNG
NCIH810,3.386214,2,LUNG
NCIH82,3.073064,2,LUNG
NCIH838,4.8790515,2,LUNG
NCIH841,3.6946065,2,LUNG
NCIH929,2.966682,2,LYMPH
NOMO1,2.747468,2,LYMPH
NUDUL1,2.6113295,2,LYMPH
OCIAML2,2.743216,2,LYMPH
OCIAML3,2.78733,2,LYMPH
OCIAML5,2.608322,1,LYMPH
OCILY19,3.5088799999999996,2,LYMPH
OCIM1,2.60841,2,LYMPH
OPM2,3.4591735000000003,2,LYMPH
P12ICHIKAWA,2.7168289999999997,2,LYMPH
P31FUJ,2.9394155,2,LYMPH
PF382,2.9842139999999997,2,LYMPH
PL21,3.4313075,2,LYMPH
RAJI,3.603837,2,LYMPH
RCHACV,3.6276945,2,LYMPH
REH,2.841263,2,LYMPH
RERFLCKJ,3.360643,2,LUNG
RERFLCMS,3.931685,2,LUNG
RL,4.275849,2,LYMPH
RPMI8226,2.8468210000000003,2,LYMPH
RPMI8402,2.464585,2,LYMPH
RS411,2.829517,2,LYMPH
SBC5,2.9595705,2,LUNG
SHP77,3.2340775,2,LUNG
SIGM5,3.153581,1,LYMPH
SKLU1,5.1882850000000005,2,LUNG
SKM1,3.093158,2,LYMPH
SKMES1,4.300204,2,LUNG
SKMM2,3.499492,2,LYMPH
ST486,3.26332,2,LYMPH
SUDHL1,4.833618,1,LYMPH
SUDHL10,2.3940395,2,LYMPH
SUDHL4,3.1344715,2,LYMPH
SUDHL5,1.912997,2,LYMPH
SUDHL6,1.3622385000000001,2,LYMPH
SUDHL8,3.324466,2,LYMPH
SUPB15,3.385981,1,LYMPH
SUPM2,1.996929,2,LYMPH
SUPT1,3.372841,2,LYMPH
