std,Y,n,tissue
697,0.98692,3,LYMPH
A3KAW,0.679174,3,LYMPH
A4FUK,-0.89849,3,LYMPH
A549,0.6117375,2,LUNG
ABC1,1.631331,2,LUNG
ALLSIL,0.310182,3,LYMPH
AMO1,-0.032281,3,LYMPH
BEN,2.8043955,2,LUNG
BL41,1.828808,3,LYMPH
BV173,1.576548,3,LYMPH
CA46,2.175563,3,LYMPH
CAL12T,1.2347540000000001,2,LUNG
CALU3,3.3767775,2,LUNG
CALU6,3.198755,3,LUNG
CHAGOK1,2.7561215,2,LUNG
CMK,3.14083,1,LYMPH
CMLT1,2.5953705,2,LYMPH
COLO668,1.03751,3,LUNG
CORL105,1.269743,2,LUNG
CORL23,1.7698610000000001,2,LUNG
CORL279,2.736694,2,LUNG
CORL311,1.495252,1,LUNG
CORL88,4.626127,3,LUNG
CORL95,1.9306635,2,LUNG
DAUDI,2.006199,3,LYMPH
DB,3.903153,3,LYMPH
DMS114,1.93008,3,LUNG
DMS273,2.7628275,2,LUNG
DMS53,2.8577775,2,LUNG
DMS79,4.442218,3,LUNG
DND41,1.090265,3,LYMPH
DOHH2,1.5479305,2,LYMPH
EBC1,4.0304875,2,LUNG
EHEB,2.7776895,2,LYMPH
EJM,1.94241,3,LYMPH
EM2,2.214301,3,LYMPH
EPLC272H,1.3154785000000002,2,LUNG
GA10,1.868998,3,LYMPH
GDM1,-0.9149160000000001,2,LYMPH
GRANTA519,3.280042,3,LYMPH
HARA,1.2049575,2,LUNG
HCC15,1.6165465,2,LUNG
HCC33,3.7153915,2,LUNG
HCC366,1.8204164999999999,2,LUNG
HCC44,1.014031,2,LUNG
HCC78,0.051592,2,LUNG
HCC827,2.1529845,2,LUNG
HDLM2,1.795787,3,LYMPH
HEL,1.082933,3,LYMPH
HH,2.815191,3,LYMPH
HL60,1.132925,3,LYMPH
HT,3.031292,3,LYMPH
IALM,2.666988,3,LUNG
JEKO1,1.444327,2,LYMPH
JM1,1.91383,3,LYMPH
JURKAT,2.195307,2,LYMPH
JURLMK1,3.708846,1,LYMPH
JVM2,2.959222,3,LYMPH
JVM3,1.827248,3,LYMPH
K562,2.509461,3,LYMPH
KARPAS422,3.975412,3,LYMPH
KCL22,2.262663,3,LYMPH
KG1,1.810141,3,LYMPH
KMH2,1.97661,5,LYMPH
KMS11,-0.5034244999999999,2,LYMPH
KMS12BM,1.055713,2,LYMPH
KNS62,4.20476,2,LUNG
KOPN8,2.057454,3,LYMPH
KU812,1.60995,3,LYMPH
L1236,0.066199,3,LYMPH
L363,-0.730222,3,LYMPH
L428,2.172221,3,LYMPH
L540,1.319536,3,LYMPH
LAMA84,1.633075,3,LYMPH
LCLC103H,3.5132890000000003,2,LUNG
LCLC97TM1,1.1765915,2,LUNG
LOUCY,3.048074,3,LYMPH
LOUNH91,1.8850025000000001,2,LUNG
LP1,1.520343,3,LYMPH
LU65,0.567488,3,LUNG
LXF289,1.555454,3,LUNG
ME1,3.454599,3,LYMPH
MEG01,2.272139,3,LYMPH
MHHCALL2,1.7400855,2,LYMPH
