std,Y,n,tissue
697,2.2852425,2,LYMPH
A3KAW,3.552346,2,LYMPH
A4FUK,3.2622375,2,LYMPH
A549,3.1095075000000003,2,LUNG
ABC1,5.6802585,2,LUNG
ALLSIL,4.263333,2,LYMPH
AMO1,3.84319,2,LYMPH
BEN,4.219606000000001,2,LUNG
BL41,2.6023630000000004,2,LYMPH
BV173,2.732166,2,LYMPH
CA46,4.7844584999999995,2,LYMPH
CAL12T,3.25336,2,LUNG
CALU3,5.915535500000001,2,LUNG
CALU6,5.774765,2,LUNG
CHAGOK1,5.273937,2,LUNG
CMK,3.060721,1,LYMPH
CMLT1,3.8035115,2,LYMPH
COLO668,4.694477,2,LUNG
CORL105,5.679237,2,LUNG
CORL23,4.7713225,2,LUNG
CORL279,4.2319405,2,LUNG
CORL311,4.766599,1,LUNG
CORL88,5.5998685,2,LUNG
CORL95,5.4285499999999995,2,LUNG
DAUDI,4.15649,2,LYMPH
DB,3.3387115,2,LYMPH
DMS114,4.8330325,2,LUNG
DMS273,3.512123,2,LUNG
DMS53,5.4039095,2,LUNG
DMS79,5.300882,2,LUNG
DND41,3.684117,2,LYMPH
DOHH2,3.6520425000000003,2,LYMPH
EBC1,4.0432885,2,LUNG
EHEB,5.230644,1,LYMPH
EJM,4.2049075,2,LYMPH
EM2,3.706175,2,LYMPH
EPLC272H,3.6304735,2,LUNG
GA10,2.568834,2,LYMPH
GDM1,4.638533499999999,2,LYMPH
GRANTA519,4.682156,2,LYMPH
HARA,4.2463335,2,LUNG
HCC15,4.1470965,2,LUNG
HCC33,4.522277,1,LUNG
HCC366,5.658742999999999,2,LUNG
HCC44,3.6657785,2,LUNG
HCC78,4.820505,2,LUNG
HCC827,5.672102000000001,2,LUNG
HDLM2,3.318942,2,LYMPH
HEL,3.9209715,2,LYMPH
HH,3.6637285,2,LYMPH
HL60,4.0945935,2,LYMPH
HT,4.3137615,2,LYMPH
IALM,4.050934,2,LUNG
JEKO1,2.172359,2,LYMPH
JM1,3.5627485,2,LYMPH
JURKAT,3.4079185,2,LYMPH
JURLMK1,4.343932000000001,2,LYMPH
JVM2,3.4997135000000004,2,LYMPH
JVM3,2.510864,1,LYMPH
K562,4.511851,2,LYMPH
KARPAS422,2.6913945000000004,2,LYMPH
KCL22,3.35541,2,LYMPH
KG1,3.6913885,2,LYMPH
KMH2,3.837368,4,LYMPH
KMS11,3.581692,2,LYMPH
KMS12BM,2.897405,1,LYMPH
KNS62,4.4203905,2,LUNG
KOPN8,2.8994394999999997,2,LYMPH
KU812,3.2631455000000003,2,LYMPH
L1236,3.1300945000000002,2,LYMPH
L363,3.624497,2,LYMPH
L428,3.6654255,2,LYMPH
L540,2.100046,2,LYMPH
LAMA84,2.7183705,2,LYMPH
LCLC103H,4.646979,2,LUNG
LCLC97TM1,4.332368,2,LUNG
LOUCY,3.2654915,2,LYMPH
LOUNH91,5.1301305,2,LUNG
LP1,4.517824,2,LYMPH
LU65,5.7456995,2,LUNG
LXF289,3.9972535000000002,2,LUNG
ME1,4.295122,2,LYMPH
MEG01,4.1948665,2,LYMPH
MHHCALL2,2.9292100000000003,2,LYMPH
MM1S,3.789984,2,LYMPH
MOLM13,3.9454205,2,LYMPH
MOLM16,2.654403,2,LYMPH
MOLP8,3.7799484999999997,2,LYMPH
MOLT13,3.457762,2,LYMPH
MOLT16,3.615135,2,LYMPH
MONOMAC6,2.9146655,2,LYMPH
NALM6,3.296625,2,LYMPH
NAMALWA,3.5623695,2,LYMPH
NB4,2.8948840000000002,2,LYMPH
NCIH1048,4.401975,2,LUNG
NCIH1092,5.409823,2,LUNG
NCIH1105,5.1760955,2,LUNG
NCIH1155,4.1526879999999995,2,LUNG
NCIH1341,3.605866,2,LUNG
NCIH1435,3.6057625,2,LUNG
NCIH1436,5.104978,2,LUNG
NCIH1437,3.9377205,2,LUNG
NCIH146,4.61279,2,LUNG
NCIH1568,4.521172,2,LUNG
NCIH1623,4.6917205,2,LUNG
NCIH1648,3.4351785,2,LUNG
NCIH1650,4.486356000000001,2,LUNG
NCIH1651,4.680685,2,LUNG
NCIH1781,5.452607499999999,2,LUNG
NCIH1792,4.1063535,2,LUNG
NCIH1793,4.997088,2,LUNG
NCIH1836,6.0878665000000005,2,LUNG
NCIH1876,4.3478135,2,LUNG
NCIH1915,4.307062,2,LUNG
NCIH1944,4.732125,2,LUNG
