std,Y,n,tissue
697,3.5883065,2,LYMPH
A3KAW,3.997579,2,LYMPH
A4FUK,5.0709230000000005,2,LYMPH
A549,3.760758,2,LUNG
ABC1,5.6753955000000005,2,LUNG
ALLSIL,3.7290435,2,LYMPH
AMO1,4.006234,2,LYMPH
BEN,6.036424,2,LUNG
BL41,2.5566815,2,LYMPH
BV173,2.684216,2,LYMPH
CA46,5.1200225,2,LYMPH
CAL12T,3.9330315000000002,2,LUNG
CALU3,5.7600555,2,LUNG
CALU6,3.7537335,2,LUNG
CHAGOK1,4.883587,2,LUNG
CMK,3.948793,1,LYMPH
CMLT1,4.023,2,LYMPH
COLO668,5.350346500000001,2,LUNG
CORL105,5.681017,2,LUNG
CORL23,5.292382,2,LUNG
CORL279,4.494631,2,LUNG
CORL311,5.060004,1,LUNG
CORL88,5.778162,2,LUNG
CORL95,5.683319,2,LUNG
DAUDI,4.0947000000000005,2,LYMPH
DB,3.793227,2,LYMPH
DMS114,5.4591965,2,LUNG
DMS273,4.3660855000000005,2,LUNG
DMS53,5.552118,1,LUNG
DMS79,5.632886,2,LUNG
DND41,3.879,2,LYMPH
DOHH2,2.973826,2,LYMPH
EBC1,4.4224060000000005,2,LUNG
EHEB,5.589312,1,LYMPH
EJM,4.5377945,2,LYMPH
EM2,3.2987775,2,LYMPH
EPLC272H,5.092069,2,LUNG
GA10,4.3349425,2,LYMPH
GDM1,4.986421999999999,2,LYMPH
GRANTA519,4.7332365,2,LYMPH
HARA,4.362277,1,LUNG
HCC15,5.77031,1,LUNG
HCC33,5.291519,1,LUNG
HCC366,6.663266,1,LUNG
HCC44,4.8458075,2,LUNG
HCC78,5.125031,2,LUNG
HCC827,4.900299,2,LUNG
HDLM2,4.923363,2,LYMPH
HEL,3.2215030000000002,2,LYMPH
HH,5.477159,2,LYMPH
HL60,4.389063999999999,2,LYMPH
HT,5.164877499999999,2,LYMPH
IALM,5.859558,1,LUNG
JEKO1,3.5009989999999998,2,LYMPH
JM1,3.2001670000000004,2,LYMPH
JURKAT,4.016302,2,LYMPH
JURLMK1,4.744105,2,LYMPH
JVM2,5.168019,2,LYMPH
JVM3,3.516736,1,LYMPH
K562,4.7713185,2,LYMPH
KARPAS422,4.8372915,2,LYMPH
KCL22,4.5258345,2,LYMPH
KG1,4.7122945000000005,2,LYMPH
KMH2,3.8630685,4,LYMPH
KMS11,3.7858215,2,LYMPH
KMS12BM,3.9663335,2,LYMPH
KNS62,4.782726,1,LUNG
KOPN8,4.0382685,2,LYMPH
KU812,4.7350235,2,LYMPH
L1236,4.464397999999999,2,LYMPH
L363,4.2611825,2,LYMPH
L428,4.4226345,2,LYMPH
L540,3.782954,2,LYMPH
LAMA84,3.9983565000000003,2,LYMPH
LCLC103H,5.0472335,2,LUNG
LCLC97TM1,4.2852085,2,LUNG
LOUCY,4.4168294999999995,2,LYMPH
LOUNH91,5.970212,1,LUNG
LP1,4.910674500000001,2,LYMPH
LU65,6.141140500000001,2,LUNG
LXF289,4.0781855,2,LUNG
ME1,5.178616,2,LYMPH
MEG01,4.0436464999999995,2,LYMPH
MHHCALL2,3.001223,2,LYMPH
MM1S,3.929648,2,LYMPH
MOLM13,3.9444250000000003,2,LYMPH
MOLM16,2.212292,2,LYMPH
MOLP8,4.566418,2,LYMPH
MOLT13,3.845784,2,LYMPH
MOLT16,3.689495,2,LYMPH
MONOMAC6,3.912839,2,LYMPH
NALM6,3.3028500000000003,2,LYMPH
NAMALWA,4.258065,2,LYMPH
NB4,3.5562405000000004,2,LYMPH
NCIH1048,4.2998545,2,LUNG
NCIH1092,5.619446,2,LUNG
NCIH1105,5.054721499999999,2,LUNG
NCIH1155,4.6175945,2,LUNG
NCIH1341,3.3171295,2,LUNG
NCIH1435,4.566357999999999,2,LUNG
NCIH1436,5.34812,2,LUNG
NCIH1437,4.7679185,2,LUNG
NCIH146,5.3327245,2,LUNG
NCIH1568,5.6169955,2,LUNG
NCIH1623,5.111181500000001,2,LUNG
