std,Y,n,tissue
697,-0.143136,3,LYMPH
A3KAW,-0.640022,3,LYMPH
A4FUK,-0.099736,2,LYMPH
A549,1.3431894080071949,4,LUNG
ABC1,1.3739855,4,LUNG
ALLSIL,-0.1914805,2,LYMPH
AMO1,-0.086533,3,LYMPH
BEN,1.55436744536402,4,LUNG
BL41,0.11790799999999999,2,LYMPH
BV173,-0.171037,3,LYMPH
CA46,0.0722575,2,LYMPH
CAL12T,2.15392628067062,4,LUNG
CALU3,2.185091,2,LUNG
CALU6,2.559901,3,LUNG
CHAGOK1,2.448968,2,LUNG
CMK,0.171344,1,LYMPH
CMLT1,0.082039,3,LYMPH
COLO668,0.775673173631542,4,LUNG
CORL105,1.7614035488366349,4,LUNG
CORL23,0.991435,3,LUNG
CORL279,0.624088,3,LUNG
CORL311,0.442346,1,LUNG
CORL88,0.3762995,2,LUNG
CORL95,2.616441,1,LUNG
DAUDI,0.9317584999999999,2,LYMPH
DB,-0.9397139999999999,2,LYMPH
DMS114,1.5435355,2,LUNG
DMS273,0.9461135,4,LUNG
DMS53,1.869947,3,LUNG
DMS79,1.608995,3,LUNG
DND41,0.642741,3,LYMPH
DOHH2,-0.226204,3,LYMPH
EBC1,1.4817250887083149,4,LUNG
EHEB,-0.033439,1,LYMPH
EJM,0.608956,2,LYMPH
EM2,0.599715,3,LYMPH
EPLC272H,1.8189834999999999,2,LUNG
GA10,-0.101304,2,LYMPH
GDM1,0.454241,2,LYMPH
GRANTA519,1.492423,3,LYMPH
HARA,1.1870916111065313,4,LUNG
HCC15,1.5524423515636347,4,LUNG
HCC33,0.365073,1,LUNG
HCC366,1.8128268498316151,4,LUNG
HCC44,1.3056899999999998,4,LUNG
HCC78,1.2612060315565408,4,LUNG
HCC827,1.53272326522174,4,LUNG
HDLM2,0.587629,2,LYMPH
HEL,-0.041869,3,LYMPH
HH,0.5808005,2,LYMPH
HL60,-0.028166499999999983,2,LYMPH
HT,0.722261,3,LYMPH
IALM,3.023841,3,LUNG
JEKO1,0.097341,3,LYMPH
JM1,0.254358,3,LYMPH
JURKAT,0.026869,3,LYMPH
