std,Y,n,tissue
697,3.625499,3,LYMPH
A3KAW,3.327391,3,LYMPH
A4FUK,3.672736,3,LYMPH
A549,4.355388,3,LUNG
ABC1,4.774717,3,LUNG
ALLSIL,2.819773,3,LYMPH
AMO1,3.814333,3,LYMPH
BEN,4.708735,3,LUNG
BL41,3.360947,3,LYMPH
BV173,3.834143,3,LYMPH
CA46,4.690338,3,LYMPH
CAL12T,3.351639,3,LUNG
CALU3,4.655625,3,LUNG
CALU6,4.157602,3,LUNG
CHAGOK1,4.548039,3,LUNG
CMK,3.358673,1,LYMPH
CMLT1,3.4669045,2,LYMPH
COLO668,4.501302,3,LUNG
CORL105,4.896977,3,LUNG
CORL23,4.195879,3,LUNG
CORL279,3.8075865,2,LUNG
CORL311,4.5124785,2,LUNG
CORL88,4.926861,3,LUNG
CORL95,4.851771,3,LUNG
DAUDI,4.280568,3,LYMPH
DB,4.6256734999999995,2,LYMPH
DMS114,4.846635,3,LUNG
DMS273,4.54898,3,LUNG
DMS53,5.075562,3,LUNG
DMS79,5.281161,3,LUNG
DND41,2.790999,3,LYMPH
DOHH2,2.540202,1,LYMPH
EBC1,4.762914,3,LUNG
EHEB,3.880332,1,LYMPH
EJM,4.029489,3,LYMPH
EM2,4.098009,3,LYMPH
EPLC272H,4.582191,3,LUNG
GA10,3.1880335000000004,2,LYMPH
GDM1,4.866032,3,LYMPH
GRANTA519,4.540915,3,LYMPH
HARA,4.340436,3,LUNG
HCC15,4.98569,3,LUNG
HCC33,4.3496395,2,LUNG
HCC366,4.2105755,2,LUNG
HCC44,4.279164,3,LUNG
HCC78,5.106057,3,LUNG
HCC827,5.204944,3,LUNG
HDLM2,4.811063,3,LYMPH
HEL,3.529375,3,LYMPH
HH,4.344141,3,LYMPH
HL60,3.682234,3,LYMPH
HT,4.189727,3,LYMPH
IALM,5.344538,3,LUNG
JEKO1,2.9338914999999997,2,LYMPH
JM1,3.265024,3,LYMPH
JURKAT,3.4073145,2,LYMPH
JURLMK1,4.179198,3,LYMPH
JVM2,4.824929,3,LYMPH
JVM3,4.350189,3,LYMPH
K562,4.716153,3,LYMPH
KARPAS422,5.048996,3,LYMPH
KCL22,3.53613,3,LYMPH
KG1,3.745757,3,LYMPH
KMH2,3.5162115,6,LYMPH
KMS11,2.934683,3,LYMPH
