std,Y,n,tissue
697,-1.0040685,2,LYMPH
A3KAW,0.136168,2,LYMPH
A4FUK,0.069998,2,LYMPH
A549,1.8148745000000002,2,LUNG
ABC1,2.4197895,2,LUNG
ALLSIL,-2.382524,2,LYMPH
AMO1,1.5346035,2,LYMPH
BEN,3.109048,3,LUNG
BL41,1.039876,2,LYMPH
BV173,-2.670542,2,LYMPH
CA46,1.6625055,2,LYMPH
CAL12T,2.34414763770786,3,LUNG
CALU3,2.77513,2,LUNG
CALU6,4.0747605,2,LUNG
CHAGOK1,3.650842,2,LUNG
CMK,1.808956,1,LYMPH
CMLT1,-2.0043985,2,LYMPH
COLO668,3.1322929999999998,2,LUNG
CORL105,1.79193791950361,3,LUNG
CORL23,3.20909452196779,3,LUNG
CORL279,2.5228479999999998,2,LUNG
CORL311,2.992752,1,LUNG
CORL88,2.6908765,2,LUNG
CORL95,3.957378,2,LUNG
DAUDI,1.2169675,2,LYMPH
DB,1.3843225000000001,2,LYMPH
DMS114,3.696323,2,LUNG
DMS273,3.846276,3,LUNG
DMS53,3.6713415,2,LUNG
DMS79,3.915331,2,LUNG
DND41,1.3500375,2,LYMPH
DOHH2,-0.11050349999999998,2,LYMPH
EBC1,3.738396,3,LUNG
EHEB,1.667888,1,LYMPH
EJM,1.36899,2,LYMPH
EM2,-2.3807605,2,LYMPH
EPLC272H,1.4546810000000001,2,LUNG
GA10,0.026220999999999994,2,LYMPH
GDM1,1.006863,2,LYMPH
GRANTA519,1.388278,2,LYMPH
HARA,1.842726194407,3,LUNG
HCC15,3.0629545,2,LUNG
HCC33,3.222858,1,LUNG
HCC366,2.23871954664191,3,LUNG
HCC44,2.925712,3,LUNG
HCC78,4.54651062204508,3,LUNG
HCC827,-0.147197,3,LUNG
HDLM2,0.9757340000000001,2,LYMPH
HEL,1.2044774999999999,2,LYMPH
HH,3.3038305,2,LYMPH
HL60,1.290198,2,LYMPH
HT,3.286226,2,LYMPH
IALM,3.9872490000000003,2,LUNG
JEKO1,0.32329149999999995,2,LYMPH
JM1,1.5396945,2,LYMPH
JURKAT,1.1066315,2,LYMPH
JURLMK1,-2.7443885,2,LYMPH
JVM2,0.21335199999999988,2,LYMPH
JVM3,-0.144983,2,LYMPH
K562,-0.477748,2,LYMPH
KARPAS422,2.8629455,2,LYMPH
KCL22,-1.275947,2,LYMPH
KG1,1.046666,2,LYMPH
KMH2,2.1859795,4,LYMPH
KMS11,2.381919,2,LYMPH
KMS12BM,0.015027500000000027,2,LYMPH
KNS62,3.1077285,2,LUNG
KOPN8,0.8038855,2,LYMPH
KU812,-3.0978595,2,LYMPH
L1236,1.2691919999999999,2,LYMPH
L363,0.7495634999999999,2,LYMPH
L428,1.6656325,2,LYMPH
L540,1.064626,2,LYMPH
LAMA84,-3.0326239999999998,2,LYMPH
LCLC103H,3.23606638809558,3,LUNG
LCLC97TM1,2.141414,2,LUNG
LOUCY,1.7200309999999999,2,LYMPH
LOUNH91,-0.49312700000000004,2,LUNG
LP1,3.298544,2,LYMPH
LU65,3.3287965,2,LUNG
LXF289,2.685699,3,LUNG
ME1,1.8591989999999998,2,LYMPH
MEG01,-2.8747629999999997,2,LYMPH
MHHCALL2,1.801947,1,LYMPH
MM1S,1.1668980000000002,2,LYMPH
MOLM13,0.2970345,2,LYMPH
MOLM16,0.34987450000000003,2,LYMPH
MOLP8,1.324286,2,LYMPH
MOLT13,1.0207535,2,LYMPH
MOLT16,0.49600099999999997,2,LYMPH
MONOMAC6,0.380325,2,LYMPH
NALM6,1.3025470000000001,2,LYMPH
NAMALWA,1.1178815,2,LYMPH
NB4,0.2470945,2,LYMPH
NCIH1048,2.257283,2,LUNG
NCIH1092,3.5746225000000003,2,LUNG
NCIH1105,2.7356724999999997,2,LUNG
NCIH1155,2.184177,2,LUNG
NCIH1341,3.0579415,2,LUNG
NCIH1435,2.938101,2,LUNG
NCIH1436,3.7370650000000003,2,LUNG
NCIH1437,3.749066,3,LUNG
NCIH146,3.128613,2,LUNG
NCIH1568,2.086738,3,LUNG
NCIH1623,3.5241844999999996,2,LUNG
NCIH1648,2.259236,3,LUNG
NCIH1650,2.0490315,2,LUNG
NCIH1651,3.2274995,2,LUNG
NCIH1781,2.8873480000000002,2,LUNG
NCIH1792,1.150963,2,LUNG
NCIH1793,2.742302,2,LUNG
NCIH1836,4.298698,2,LUNG
NCIH1876,3.4530285000000003,2,LUNG
NCIH1915,3.352343,3,LUNG
NCIH1944,2.133571,3,LUNG
NCIH196,2.3778610000000002,2,LUNG
NCIH1963,2.8856504999999997,2,LUNG
NCIH1975,2.84187239193184,3,LUNG
NCIH2009,2.7977119999999998,2,LUNG
NCIH2023,2.9742550000000003,2,LUNG
NCIH2029,2.4056685,2,LUNG
NCIH2030,1.466909,3,LUNG
NCIH2066,3.68584,2,LUNG
NCIH2081,2.7660929999999997,2,LUNG
NCIH2085,2.3074905,2,LUNG
NCIH2087,3.392405,3,LUNG
NCIH209,0.18524200000000002,2,LUNG
NCIH211,2.21823,2,LUNG
NCIH2110,1.815069,3,LUNG
NCIH2122,2.9092145,2,LUNG
NCIH2170,2.11954042167355,3,LUNG
NCIH2171,2.728917,1,LUNG
NCIH2172,3.825131,3,LUNG
NCIH2196,4.689372,1,LUNG
NCIH2227,4.153347,2,LUNG
NCIH2228,3.344587,3,LUNG
NCIH2291,4.1988335,2,LUNG
