std,Y,n,tissue
697,-0.44365049999999995,2,LYMPH
A3KAW,2.3649865,2,LYMPH
A4FUK,-0.466072,2,LYMPH
A549,1.7522615,2,LUNG
ABC1,0.561640188764755,3,LUNG
ALLSIL,0.9997505,2,LYMPH
AMO1,1.000223,2,LYMPH
BEN,3.831526,3,LUNG
BL41,1.8178925,2,LYMPH
BV173,0.6793255,2,LYMPH
CA46,2.2134295,2,LYMPH
CAL12T,2.334898,3,LUNG
CALU3,1.9872414999999999,2,LUNG
CALU6,3.090916,3,LUNG
CHAGOK1,3.372632,2,LUNG
CMK,3.306726,1,LYMPH
CMLT1,1.8273185,2,LYMPH
COLO668,2.555328,3,LUNG
CORL105,2.416262,3,LUNG
CORL23,2.026394,3,LUNG
CORL279,1.9020105,2,LUNG
CORL311,1.775387,1,LUNG
CORL88,4.0513235000000005,2,LUNG
CORL95,2.029117,2,LUNG
DAUDI,1.359442,2,LYMPH
DB,2.6727095,2,LYMPH
DMS114,2.2212885,2,LUNG
DMS273,0.264865549032358,3,LUNG
DMS53,3.857735,2,LUNG
DMS79,2.7632950000000003,2,LUNG
DND41,2.3267605,2,LYMPH
DOHH2,-0.518389,2,LYMPH
EBC1,1.160674,3,LUNG
EHEB,0.217392,1,LYMPH
EJM,2.221492,2,LYMPH
EM2,1.2120505,2,LYMPH
EPLC272H,0.2700275,2,LUNG
GA10,-0.2925305,2,LYMPH
GDM1,1.2246635000000001,2,LYMPH
GRANTA519,3.615523,2,LYMPH
HARA,1.782829,3,LUNG
HCC15,2.575139,2,LUNG
HCC33,2.261285,1,LUNG
HCC366,1.618463,3,LUNG
HCC44,0.7888846176975025,4,LUNG
HCC78,2.311985,3,LUNG
HCC827,3.569282,3,LUNG
HDLM2,2.9865005,2,LYMPH
HEL,3.2862285,2,LYMPH
HH,0.39052600000000004,2,LYMPH
HL60,2.478974,2,LYMPH
HT,-0.253053,2,LYMPH
IALM,3.3183515670709447,4,LUNG
JEKO1,0.38913749999999997,2,LYMPH
JM1,2.340652,2,LYMPH
JURKAT,0.65679,2,LYMPH
JURLMK1,1.9570435000000002,2,LYMPH
JVM2,1.1955875,2,LYMPH
JVM3,1.701972,2,LYMPH
K562,2.9371825,2,LYMPH
KARPAS422,-0.12891950000000002,2,LYMPH
KCL22,1.870489,2,LYMPH
KG1,3.2135670000000003,2,LYMPH
KMH2,2.5850815,4,LYMPH
KMS11,1.3968935,2,LYMPH
KMS12BM,-0.140751,1,LYMPH
KNS62,1.140078,3,LUNG
KOPN8,2.016889,2,LYMPH
KU812,1.9127,2,LYMPH
