std,Y,n,tissue
697,-6.071027,3,LYMPH
A3KAW,-6.780489,3,LYMPH
A4FUK,-5.063317,3,LYMPH
A549,-3.166961,3,LUNG
ABC1,-4.793378,3,LUNG
ALLSIL,-6.834724,3,LYMPH
AMO1,-3.3313309999999996,2,LYMPH
BEN,-0.7349788471618447,4,LUNG
BL41,-6.361566,3,LYMPH
BV173,-7.07646,3,LYMPH
CA46,-3.082077,3,LYMPH
CAL12T,-0.5200614790532205,4,LUNG
CALU3,-4.208015,3,LUNG
CALU6,-3.807451,3,LUNG
CHAGOK1,-2.071447,3,LUNG
CMK,-6.8397835,2,LYMPH
CMLT1,-7.816985,3,LYMPH
COLO668,-4.625887,3,LUNG
CORL105,-0.401154,4,LUNG
CORL23,-3.5729285,4,LUNG
CORL279,-6.38627,3,LUNG
CORL311,-5.988672,1,LUNG
CORL88,-3.103142,3,LUNG
CORL95,-2.019896,3,LUNG
DAUDI,-4.528104,3,LYMPH
DB,-6.32897,3,LYMPH
DMS114,-3.869995,3,LUNG
DMS273,-4.378852,4,LUNG
DMS53,-4.684046,3,LUNG
DMS79,-3.692903,3,LUNG
DND41,-6.231439,3,LYMPH
DOHH2,-6.257994,2,LYMPH
EBC1,-6.314926,4,LUNG
EHEB,-1.5297105,2,LYMPH
EJM,-3.564965,3,LYMPH
EM2,-5.914795,3,LYMPH
EPLC272H,-2.971805,3,LUNG
GA10,-4.330904,3,LYMPH
GDM1,-4.581752,3,LYMPH
GRANTA519,-5.968767,3,LYMPH
HARA,-4.266701,3,LUNG
HCC15,-3.439649,3,LUNG
HCC33,0.929384,1,LUNG
HCC366,-1.935238,4,LUNG
HCC44,-4.236377,3,LUNG
HCC78,-5.808981,3,LUNG
HCC827,-2.050085,3,LUNG
HDLM2,-3.711219,3,LYMPH
HEL,-4.9848,3,LYMPH
HH,-3.960513,3,LYMPH
HL60,-4.95031,3,LYMPH
HT,-3.459358,3,LYMPH
IALM,-2.512993,4,LUNG
JEKO1,-5.893331,3,LYMPH
JM1,-6.901671,3,LYMPH
JURKAT,-5.724452,3,LYMPH
JURLMK1,-5.136892,3,LYMPH
JVM2,-8.1579265,2,LYMPH
JVM3,-7.215719,3,LYMPH
K562,-3.734942,3,LYMPH
KARPAS422,-3.780444,3,LYMPH
KCL22,-3.592386,3,LYMPH
KG1,-6.49825,3,LYMPH
KMH2,-3.217464,6,LYMPH
KMS11,-3.155784,3,LYMPH
KMS12BM,-4.3185185,2,LYMPH
KNS62,-3.2710160000000004,4,LUNG
KOPN8,-6.301624,3,LYMPH
KU812,-4.163053,3,LYMPH
L1236,-4.713566,3,LYMPH
L363,-2.508288,3,LYMPH
L428,-2.149665,3,LYMPH
L540,-6.174639,3,LYMPH
LAMA84,-3.03871,3,LYMPH
LCLC103H,-2.39488,3,LUNG
LCLC97TM1,-5.034013,3,LUNG
LOUCY,-4.863663,3,LYMPH
LOUNH91,-4.273409,3,LUNG
LP1,-1.392865,3,LYMPH
LU65,-2.149201,2,LUNG
LXF289,-3.7141145,4,LUNG
ME1,-2.199001,3,LYMPH
MEG01,-4.476912,3,LYMPH
MHHCALL2,-5.860063,3,LYMPH
MM1S,-5.1705505,2,LYMPH
MOLM13,-6.537461,3,LYMPH
MOLM16,-4.981479,3,LYMPH
MOLP8,-4.990203,3,LYMPH
MOLT13,-6.510458,3,LYMPH
MOLT16,-7.184233,3,LYMPH
MONOMAC6,-5.37213,3,LYMPH
NALM6,-5.327869,3,LYMPH
NAMALWA,-6.172103,3,LYMPH
NB4,-6.093207,3,LYMPH
NCIH1048,-6.49516,3,LUNG
NCIH1092,-2.431545,3,LUNG
NCIH1105,-6.51828,3,LUNG
NCIH1155,-5.92513,3,LUNG
NCIH1341,-5.355516,3,LUNG
NCIH1435,-1.968479,4,LUNG
NCIH1436,-0.787065,3,LUNG
NCIH1437,-2.5842735,4,LUNG
NCIH146,-2.731923,3,LUNG
NCIH1568,-2.8678109999999997,4,LUNG
NCIH1623,-5.71614,3,LUNG
NCIH1648,-2.9121949999999996,2,LUNG
NCIH1650,-1.1830855,4,LUNG
NCIH1651,-4.3701105,4,LUNG
NCIH1781,-4.925125,3,LUNG
NCIH1792,-2.930221,4,LUNG
NCIH1793,-0.13006799999999996,4,LUNG
NCIH1836,-0.74974,3,LUNG
NCIH1876,-8.044732,3,LUNG
NCIH1915,-2.9754545,4,LUNG
NCIH1944,-4.27909,4,LUNG
NCIH196,-1.593551,3,LUNG
NCIH1963,-3.5466265,2,LUNG
NCIH1975,-1.9592524999999998,4,LUNG
NCIH2009,-4.99335,3,LUNG
NCIH2023,-2.8214129999999997,4,LUNG
NCIH2029,-2.526326,3,LUNG
NCIH2030,-2.3084225,4,LUNG
NCIH2066,0.492088,3,LUNG
NCIH2081,-4.769457,3,LUNG
NCIH2085,-2.146272,3,LUNG
NCIH2087,-5.301943,3,LUNG
NCIH209,-7.351659,3,LUNG
NCIH211,-4.749103,3,LUNG
NCIH2110,-3.947922,4,LUNG
NCIH2122,-4.531559,3,LUNG
NCIH2170,-4.202757,3,LUNG
NCIH2171,-3.964748,1,LUNG
NCIH2172,0.15724213082202884,4,LUNG
NCIH2196,-1.971127,1,LUNG
NCIH2227,-4.847791,3,LUNG
NCIH2228,-2.769044,4,LUNG
NCIH2291,-0.03152,3,LUNG
NCIH23,-3.7548235,4,LUNG
NCIH2342,-2.451892,3,LUNG
NCIH2347,-1.2777877400759923,4,LUNG
NCIH2405,-3.495067,3,LUNG
NCIH2444,-0.4162437841442696,4,LUNG
NCIH292,-4.9809675,4,LUNG
NCIH358,-2.3520155000000003,4,LUNG
NCIH441,-2.932105,3,LUNG
NCIH446,-3.955126,3,LUNG
NCIH460,-4.6065985000000005,4,LUNG
NCIH522,-2.522813,4,LUNG
NCIH524,-3.760394,3,LUNG
NCIH526,-6.520318,3,LUNG
NCIH596,-0.10654799262071285,4,LUNG
NCIH647,-4.44112,3,LUNG
NCIH650,-3.4034215000000003,4,LUNG
NCIH661,-4.034582,3,LUNG
NCIH69,-2.935089,3,LUNG
NCIH727,-1.044108,4,LUNG
NCIH810,-4.32637,3,LUNG
NCIH82,-2.140843,3,LUNG
NCIH838,-2.8119985,4,LUNG
NCIH841,-2.7258655000000003,4,LUNG
NCIH929,-4.836305,3,LYMPH
NOMO1,-5.648195,3,LYMPH
NUDUL1,-5.760294,3,LYMPH
OCIAML2,-6.462465,3,LYMPH
OCIAML3,-4.833768,3,LYMPH
OCIAML5,-5.332466,3,LYMPH
OCILY19,-5.634761,3,LYMPH
OCIM1,-4.719608,3,LYMPH
OPM2,-1.870101,3,LYMPH
P12ICHIKAWA,-6.440539,3,LYMPH
P31FUJ,-4.337361,3,LYMPH
PF382,-5.527195,3,LYMPH
PL21,-4.082837,3,LYMPH
RAJI,-5.714733,3,LYMPH
RCHACV,-5.739604,3,LYMPH
REH,-6.67864,3,LYMPH
RERFLCKJ,-1.4842140000000001,4,LUNG
RERFLCMS,-3.926621,4,LUNG
RL,-3.707117,3,LYMPH
RPMI8226,-4.224858,3,LYMPH
RPMI8402,-6.534287,3,LYMPH
RS411,-5.69938,3,LYMPH
SBC5,-4.829715,3,LUNG
SHP77,-2.042742,3,LUNG
SIGM5,-3.498589,1,LYMPH
SKLU1,-5.0123,3,LUNG
SKM1,-5.674412,3,LYMPH
SKMES1,-3.667544,4,LUNG
SKMM2,-2.519893,3,LYMPH
ST486,-4.422722,3,LYMPH
SUDHL1,-5.852483,1,LYMPH
SUDHL10,-3.785374,3,LYMPH
SUDHL4,-2.847218,3,LYMPH
SUDHL5,-7.601734,3,LYMPH
SUDHL6,-5.507806,3,LYMPH
SUDHL8,-3.633351,3,LYMPH
SUPB15,-6.8648115,2,LYMPH
SUPM2,-6.997455,2,LYMPH
SUPT1,-7.7761795,2,LYMPH
SW1271,-2.554995,4,LUNG
SW1573,-4.526671,3,LUNG
THP1,-4.313282,3,LYMPH
WSUDLCL2,-5.012694,3,LYMPH
