std,Y,n,tissue
697,-0.243311,2,LYMPH
A3KAW,0.5872999999999999,2,LYMPH
A4FUK,0.032501,2,LYMPH
A549,1.184943,2,LUNG
ABC1,1.181043,2,LUNG
ALLSIL,-0.5746615,2,LYMPH
AMO1,-0.1739385,2,LYMPH
BEN,3.062526,2,LUNG
BL41,-0.030721,2,LYMPH
BV173,-0.09711,2,LYMPH
CA46,1.523008,2,LYMPH
CAL12T,1.3535615,2,LUNG
CALU3,3.630496,2,LUNG
CALU6,1.3016995,2,LUNG
CHAGOK1,1.1163985,2,LUNG
CMK,0.704497,1,LYMPH
CMLT1,0.654679,2,LYMPH
COLO668,3.7306205,2,LUNG
CORL105,3.4721195,2,LUNG
CORL23,2.4352530000000003,2,LUNG
CORL279,1.7522525,2,LUNG
CORL311,2.560578,1,LUNG
CORL88,4.7991624999999996,2,LUNG
CORL95,3.997009,1,LUNG
DAUDI,2.0665835,2,LYMPH
DB,0.178957,2,LYMPH
DMS114,1.2273100000000001,2,LUNG
DMS273,1.147095,1,LUNG
DMS53,3.4439145,2,LUNG
DMS79,4.3758025,2,LUNG
DND41,1.5987405,2,LYMPH
DOHH2,-0.439749,1,LYMPH
EBC1,1.67517,2,LUNG
EHEB,5.475888,1,LYMPH
EJM,2.434952,2,LYMPH
EM2,1.539168,2,LYMPH
EPLC272H,1.444836,2,LUNG
GA10,1.1095165,2,LYMPH
GDM1,0.5989825,2,LYMPH
GRANTA519,0.733026,1,LYMPH
HARA,0.7483055000000001,2,LUNG
HCC15,1.300704,1,LUNG
HCC33,1.081988,1,LUNG
HCC366,1.419878,2,LUNG
HCC44,0.749564,2,LUNG
HCC78,1.437774,2,LUNG
HCC827,3.505628,2,LUNG
HDLM2,0.830077,2,LYMPH
HEL,1.6341299999999999,2,LYMPH
HH,2.930895,2,LYMPH
HL60,1.127513,2,LYMPH
HT,1.7437385,2,LYMPH
IALM,4.805028,2,LUNG
JEKO1,0.153439,2,LYMPH
JM1,1.3361295,2,LYMPH
JURKAT,-0.118634,2,LYMPH
JURLMK1,1.711204,1,LYMPH
JVM2,0.47514349999999994,2,LYMPH
JVM3,-0.603712,2,LYMPH
K562,0.1462655,2,LYMPH
KARPAS422,3.3407915,2,LYMPH
KCL22,0.565096,2,LYMPH
KG1,0.4195765,2,LYMPH
KMH2,0.4210975,4,LYMPH
KMS11,0.2541835,2,LYMPH
KMS12BM,-0.154123,1,LYMPH
KNS62,2.3644895,2,LUNG
KOPN8,0.068832,2,LYMPH
KU812,1.096035,2,LYMPH
L1236,2.9847975,2,LYMPH
L363,0.8531679999999999,2,LYMPH
L428,1.5406305,2,LYMPH
L540,0.5624095,2,LYMPH
LAMA84,2.6088865,2,LYMPH
LCLC103H,2.0824735,2,LUNG
LCLC97TM1,1.6962555,2,LUNG
LOUCY,0.9349149999999999,2,LYMPH
LOUNH91,1.5257575,2,LUNG
LP1,2.681404,2,LYMPH
LU65,3.7757300000000003,2,LUNG
LXF289,2.632211,1,LUNG
ME1,3.6273095,2,LYMPH
MEG01,0.6450319999999999,2,LYMPH
MHHCALL2,1.739515,2,LYMPH
MM1S,1.712215,1,LYMPH
MOLM13,0.31817700000000004,2,LYMPH
MOLM16,-0.47507900000000003,2,LYMPH
MOLP8,1.385234,2,LYMPH
MOLT13,0.27138850000000003,2,LYMPH
MOLT16,-0.4914625,2,LYMPH
MONOMAC6,0.9523895,2,LYMPH
NALM6,0.822704,1,LYMPH
NAMALWA,0.702078,2,LYMPH
NB4,-1.0524345,2,LYMPH
NCIH1048,1.268305,2,LUNG
NCIH1092,3.4174415,2,LUNG
NCIH1105,2.2451425,2,LUNG
NCIH1155,0.778262,2,LUNG
NCIH1341,2.1211965,2,LUNG
NCIH1435,5.071025499999999,2,LUNG
NCIH1436,1.585186,2,LUNG
NCIH1437,0.853938,1,LUNG
NCIH146,3.136731,2,LUNG
NCIH1568,3.688659,2,LUNG
NCIH1623,3.322867,2,LUNG
NCIH1648,0.941126,2,LUNG
NCIH1650,3.2554365,2,LUNG
NCIH1651,1.589074,2,LUNG
NCIH1781,2.5817815,2,LUNG
NCIH1792,0.842216,2,LUNG
NCIH1793,3.640224,2,LUNG
NCIH1836,4.0222285,2,LUNG
