std,Y,n,tissue
697,-0.5608565,2,LYMPH
A3KAW,1.2483214999999999,2,LYMPH
A4FUK,0.9225734999999999,2,LYMPH
A549,1.9350135,2,LUNG
ABC1,0.7590669999999999,2,LUNG
ALLSIL,-0.34229149999999997,2,LYMPH
AMO1,1.077622,2,LYMPH
BEN,1.7508805,2,LUNG
BL41,0.10231199999999999,2,LYMPH
BV173,-0.440464,2,LYMPH
CA46,2.860697,2,LYMPH
CAL12T,2.8525435,2,LUNG
CALU3,4.652769,2,LUNG
CALU6,1.6632440000000002,2,LUNG
CHAGOK1,2.3475685,2,LUNG
CMK,2.298441,1,LYMPH
CMLT1,1.608058,2,LYMPH
COLO668,3.9005330000000002,2,LUNG
CORL105,2.942545,2,LUNG
CORL23,3.0170079999999997,2,LUNG
CORL279,1.1209365,2,LUNG
CORL311,0.107779,1,LUNG
CORL88,3.7664855,2,LUNG
CORL95,4.91845,2,LUNG
DAUDI,0.9885520000000001,2,LYMPH
DB,1.6162275,2,LYMPH
DMS114,3.3336965000000003,2,LUNG
DMS273,0.6831160000000001,2,LUNG
DMS53,4.398976,2,LUNG
DMS79,4.0543285000000004,2,LUNG
DND41,1.6486874999999999,2,LYMPH
DOHH2,-0.05379600000000001,2,LYMPH
EBC1,3.2934390000000002,2,LUNG
EHEB,2.375536,1,LYMPH
EJM,3.1089865000000003,2,LYMPH
EM2,-0.396254,2,LYMPH
EPLC272H,2.0362625,2,LUNG
GA10,0.936856,2,LYMPH
GDM1,1.3981085000000002,2,LYMPH
GRANTA519,2.0150235,2,LYMPH
HARA,1.5131294999999998,2,LUNG
HCC15,1.3530550000000001,2,LUNG
HCC33,0.544007,1,LUNG
HCC366,3.2344025,2,LUNG
HCC44,0.99228,1,LUNG
HCC78,2.1652614999999997,2,LUNG
HCC827,2.8590925,2,LUNG
HDLM2,1.6142349999999999,2,LYMPH
HEL,2.0061085,2,LYMPH
HH,2.48386,2,LYMPH
HL60,0.4143905,2,LYMPH
HT,3.517519,2,LYMPH
IALM,3.777451,2,LUNG
JEKO1,0.298411,2,LYMPH
JM1,0.730894,2,LYMPH
JURKAT,2.6236275,2,LYMPH
JURLMK1,1.0231535,2,LYMPH
JVM2,1.4924095000000002,2,LYMPH
JVM3,1.5154269999999999,2,LYMPH
