std,Y,n,tissue
697,-3.987416,2,LYMPH
A3KAW,-3.269991,2,LYMPH
A4FUK,-3.3846925,2,LYMPH
A549,-3.9884435,2,LUNG
ABC1,-0.1609525,2,LUNG
ALLSIL,-1.4912635,2,LYMPH
AMO1,-3.1918315,2,LYMPH
BEN,-3.1491255000000002,2,LUNG
BL41,-2.4052275,2,LYMPH
BV173,-3.487044,2,LYMPH
CA46,-2.0209585,2,LYMPH
CAL12T,-2.6835895,2,LUNG
CALU3,-1.7821699999999998,2,LUNG
CALU6,-0.5539505,2,LUNG
CHAGOK1,-0.520288,2,LUNG
CMK,-1.793757,1,LYMPH
CMLT1,-2.7478025,2,LYMPH
COLO668,-0.6638539999999999,2,LUNG
CORL105,-3.691352,2,LUNG
CORL23,-3.053613,2,LUNG
CORL279,-1.9671669999999999,2,LUNG
CORL311,-0.654129,1,LUNG
CORL88,-0.22616950000000002,2,LUNG
CORL95,0.899893,1,LUNG
DAUDI,-1.5506965,2,LYMPH
DB,-3.6797815,2,LYMPH
DMS114,-1.9685025,2,LUNG
DMS273,-2.5628405,2,LUNG
DMS53,0.23948599999999998,2,LUNG
DMS79,-0.7753395000000001,2,LUNG
DND41,-1.6068245,2,LYMPH
DOHH2,-3.6827864999999997,2,LYMPH
EBC1,-2.836044,2,LUNG
EHEB,-2.577143,1,LYMPH
EJM,-2.237826,2,LYMPH
EM2,-1.59416,2,LYMPH
EPLC272H,-2.963729,2,LUNG
GA10,-4.3646899999999995,2,LYMPH
GDM1,-1.0310825,2,LYMPH
GRANTA519,-1.7185644999999998,2,LYMPH
HARA,-2.3275915,2,LUNG
HCC15,-2.1118685,2,LUNG
HCC33,-0.055645,1,LUNG
HCC366,-1.594875,2,LUNG
HCC44,-2.87025,2,LUNG
HCC78,-2.479157,2,LUNG
HCC827,-1.3395305,2,LUNG
HDLM2,-0.9389115,2,LYMPH
HEL,-2.3965680000000003,2,LYMPH
HH,-1.9325094999999999,2,LYMPH
HL60,-1.6413479999999998,2,LYMPH
HT,-2.679193,2,LYMPH
IALM,-0.722142,2,LUNG
JEKO1,-2.8241835,2,LYMPH
JM1,-1.360622,2,LYMPH
JURKAT,-3.0486285,2,LYMPH
JURLMK1,-2.89415,1,LYMPH
JVM2,-2.7937955,2,LYMPH
JVM3,-3.6148815,2,LYMPH
K562,-1.1263014999999998,2,LYMPH
KARPAS422,-2.6834045,2,LYMPH
KCL22,-3.2402675,2,LYMPH
KG1,-0.9268455,2,LYMPH
KMH2,-2.079186,4,LYMPH
KMS11,-3.0395459999999996,2,LYMPH
KMS12BM,-2.58192,1,LYMPH
KNS62,-1.8272145,2,LUNG
KOPN8,-2.940703,2,LYMPH
KU812,-2.483001,2,LYMPH
L1236,-3.21049,2,LYMPH
L363,-3.4394425,2,LYMPH
L428,-2.386893,2,LYMPH
L540,-2.5392495,2,LYMPH
LAMA84,-3.0332355,2,LYMPH
LCLC103H,-1.4864190000000002,2,LUNG
LCLC97TM1,-1.738502,2,LUNG
LOUCY,-2.18433,2,LYMPH
LOUNH91,-2.036234,2,LUNG
LP1,-1.3596810000000001,2,LYMPH
LU65,-0.7191395,2,LUNG
LXF289,-2.8584050000000003,2,LUNG
ME1,-0.668372,2,LYMPH
MEG01,-2.035173,2,LYMPH
MHHCALL2,-1.7763749999999998,2,LYMPH
MM1S,-3.5176055,2,LYMPH
MOLM13,-3.5855004999999998,2,LYMPH
MOLM16,-2.95616,2,LYMPH
MOLP8,-2.9862754999999996,2,LYMPH
MOLT13,-1.0418745,2,LYMPH
MOLT16,-3.8850295,2,LYMPH
MONOMAC6,-2.5757935,2,LYMPH
NALM6,-2.807625,2,LYMPH
NAMALWA,-3.1646155,2,LYMPH
NB4,-2.8558839999999996,2,LYMPH
NCIH1048,-1.4640995,2,LUNG
NCIH1092,-0.0783045,2,LUNG
NCIH1105,-0.9397185,2,LUNG
NCIH1155,-2.9367099999999997,2,LUNG
NCIH1341,-2.0800835,2,LUNG
NCIH1435,0.5558569999999999,2,LUNG
NCIH1436,-0.4641205,2,LUNG
NCIH1437,-2.4095305,2,LUNG
NCIH146,-2.146463,2,LUNG
NCIH1568,-0.351268,2,LUNG
NCIH1623,-1.7367134999999998,2,LUNG
NCIH1648,-2.438021,2,LUNG
NCIH1650,-0.31557099999999993,2,LUNG
NCIH1651,-1.3076050000000001,2,LUNG
NCIH1781,0.265764,2,LUNG
NCIH1792,-2.8284175,2,LUNG
NCIH1793,-3.2759875,2,LUNG
NCIH1836,1.757751,2,LUNG
NCIH1876,-2.8092924999999997,2,LUNG
NCIH1915,-1.4946155,2,LUNG
NCIH1944,-1.7293150000000002,2,LUNG
NCIH196,0.405361,2,LUNG
NCIH1963,0.294283,1,LUNG
NCIH1975,-3.0665449999999996,2,LUNG
NCIH2009,-2.204494,2,LUNG
NCIH2023,-3.3076065,2,LUNG
NCIH2029,-0.5033434999999999,2,LUNG
NCIH2030,-2.9309545000000004,2,LUNG
NCIH2066,0.30074500000000004,2,LUNG
NCIH2081,-0.8069330000000001,2,LUNG
NCIH2085,-2.2009095,2,LUNG
NCIH2087,-1.0191835,2,LUNG
NCIH209,-3.4687485000000002,2,LUNG
NCIH211,-1.8586515000000001,2,LUNG
NCIH2110,-1.6050695,2,LUNG
NCIH2122,-2.350733,2,LUNG
NCIH2170,-2.309001,2,LUNG
NCIH2171,-2.789058,1,LUNG
NCIH2172,-1.007288,2,LUNG
NCIH2196,-1.99614,1,LUNG
NCIH2227,-1.4052955,2,LUNG
NCIH2228,-2.306279,2,LUNG
NCIH2291,-0.3606665,2,LUNG
NCIH23,-1.2478894999999999,2,LUNG
NCIH2342,-0.0194975,2,LUNG
NCIH2347,-1.1659365000000002,2,LUNG
NCIH2405,-0.9931030000000001,2,LUNG
NCIH2444,0.3247295,2,LUNG
NCIH292,-3.2850755,2,LUNG
NCIH358,-0.848725,2,LUNG
NCIH441,1.2865055,2,LUNG
NCIH446,-2.4222425000000003,2,LUNG
NCIH460,-2.9973205,2,LUNG
