std,Y,n,tissue
697,-3.615277,2,LYMPH
A3KAW,-3.0683165,2,LYMPH
A4FUK,-2.507022,2,LYMPH
A549,-1.20645,3,LUNG
ABC1,1.874664,3,LUNG
ALLSIL,-2.0958115,2,LYMPH
AMO1,-2.047648,2,LYMPH
BEN,1.064208,3,LUNG
BL41,-0.7863519999999999,2,LYMPH
BV173,-3.3814305,2,LYMPH
CA46,0.15544950000000002,2,LYMPH
CAL12T,0.15454199999999998,2,LUNG
CALU3,0.7419075,2,LUNG
CALU6,0.268411678549442,3,LUNG
CHAGOK1,1.6825435,2,LUNG
CMK,-1.590946,1,LYMPH
CMLT1,-1.2238345,2,LYMPH
COLO668,1.29406579312697,3,LUNG
CORL105,0.757211,3,LUNG
CORL23,0.51986005830059,3,LUNG
CORL279,-0.8882335,2,LUNG
CORL311,-1.549161,1,LUNG
CORL88,1.226847,2,LUNG
CORL95,0.8306935,2,LUNG
DAUDI,-1.4846255,2,LYMPH
DB,-0.589295,2,LYMPH
DMS114,1.1508375,2,LUNG
DMS273,0.5869,3,LUNG
DMS53,1.7898800000000001,2,LUNG
DMS79,1.5194735000000001,2,LUNG
DND41,-1.7528365,2,LYMPH
DOHH2,-2.1100125,2,LYMPH
EBC1,1.287431,3,LUNG
EHEB,-0.173208,1,LYMPH
EJM,-1.371848,2,LYMPH
EM2,-1.493583,2,LYMPH
EPLC272H,-1.7836565000000002,2,LUNG
GA10,-2.3671195000000003,2,LYMPH
GDM1,-2.1203955,2,LYMPH
GRANTA519,-1.406523,2,LYMPH
HARA,-0.935604,3,LUNG
HCC15,0.851726926191122,3,LUNG
HCC33,-0.530821,1,LUNG
HCC366,2.25223028094645,3,LUNG
HCC44,-1.213925,3,LUNG
HCC78,0.138375737983916,3,LUNG
HCC827,0.153813,3,LUNG
HDLM2,-0.5354300000000001,2,LYMPH
HEL,-1.122746,2,LYMPH
HH,-0.030504500000000045,2,LYMPH
HL60,-1.4922275,2,LYMPH
HT,-0.048194999999999995,2,LYMPH
IALM,1.3198375,2,LUNG
JEKO1,-2.897649,2,LYMPH
JM1,-1.7061994999999999,2,LYMPH
JURKAT,-1.7477975000000001,2,LYMPH
JURLMK1,-2.540016,2,LYMPH
JVM2,-1.0095999999999998,2,LYMPH
JVM3,-3.3368945,2,LYMPH
K562,0.8539535,2,LYMPH
KARPAS422,-0.47443650000000004,2,LYMPH
KCL22,-0.8497365,2,LYMPH
KG1,-1.4993919999999998,2,LYMPH
KMH2,-0.15647350000000002,4,LYMPH
KMS11,-0.745943,2,LYMPH
KMS12BM,-3.2118235,2,LYMPH
KNS62,0.962048798443156,3,LUNG
KOPN8,-2.4333665,2,LYMPH
KU812,-0.7097945,2,LYMPH
L1236,-3.0812530000000002,2,LYMPH
L363,-1.8444960000000001,2,LYMPH
L428,-0.21087449999999996,2,LYMPH
L540,-2.6391805,2,LYMPH
LAMA84,-2.0431655,2,LYMPH
LCLC103H,0.109565,3,LUNG
LCLC97TM1,-0.719602,2,LUNG
LOUCY,-1.158987,2,LYMPH
LOUNH91,-0.346435,3,LUNG
LP1,2.1839615,2,LYMPH
LU65,1.4367670000000001,2,LUNG
LXF289,-0.926361,3,LUNG
ME1,0.7602260000000001,2,LYMPH
MEG01,-1.7652510000000001,2,LYMPH
MHHCALL2,-0.816852,1,LYMPH
MM1S,-1.576933,2,LYMPH
MOLM13,-5.1177835,2,LYMPH
MOLM16,-4.605397,2,LYMPH
MOLP8,-2.0396495,2,LYMPH
MOLT13,-1.8938375,2,LYMPH
MOLT16,-2.748074,2,LYMPH
MONOMAC6,-4.0678719999999995,2,LYMPH
NALM6,-2.220632,2,LYMPH
NAMALWA,-1.603676,2,LYMPH
NB4,-2.7568200000000003,2,LYMPH
NCIH1048,-1.17128,3,LUNG
NCIH1092,1.5887669999999998,2,LUNG
NCIH1105,-0.337511,2,LUNG
NCIH1155,-1.1041144999999999,2,LUNG
NCIH1341,-1.3157055,2,LUNG
NCIH1435,1.282823,3,LUNG
NCIH1436,0.6553495,2,LUNG
NCIH1437,0.222511,3,LUNG
NCIH146,0.678308,2,LUNG
NCIH1568,0.203259872117587,3,LUNG
NCIH1623,0.471351,2,LUNG
NCIH1648,1.381897,3,LUNG
NCIH1650,1.884557,3,LUNG
NCIH1651,0.823558,3,LUNG
NCIH1781,0.419833,2,LUNG
NCIH1792,0.032345,3,LUNG
NCIH1793,3.219079,3,LUNG
NCIH1836,1.2481915,2,LUNG
NCIH1876,-0.813355,2,LUNG
NCIH1915,0.66446325992258,3,LUNG
NCIH1944,-0.684647,3,LUNG
NCIH196,1.2770934999999999,2,LUNG
NCIH1963,-1.210719,2,LUNG
NCIH1975,0.201547607884083,3,LUNG
NCIH2009,0.32496929390935,3,LUNG
NCIH2023,-0.517001,3,LUNG
NCIH2029,1.088381,2,LUNG
NCIH2030,0.22427607824253,3,LUNG
NCIH2066,2.2298264999999997,2,LUNG
NCIH2081,0.011337,2,LUNG
NCIH2085,0.7270949999999999,2,LUNG
NCIH2087,0.886661,3,LUNG
NCIH209,-1.7017004999999998,2,LUNG
NCIH211,-1.3913834999999999,2,LUNG
NCIH2110,-0.595344,3,LUNG
NCIH2122,-0.47425000000000006,2,LUNG
NCIH2170,0.543801237088919,3,LUNG
NCIH2171,-1.827007,1,LUNG
NCIH2172,3.1335695,2,LUNG
NCIH2196,1.85802,1,LUNG
NCIH2227,-0.3880825,2,LUNG
NCIH2228,1.00003,3,LUNG
NCIH2291,0.592067,2,LUNG
NCIH23,0.49489649999999996,2,LUNG
NCIH2342,1.764433,2,LUNG
NCIH2347,0.969179,3,LUNG
NCIH2405,2.2436375,2,LUNG
NCIH2444,2.154864,2,LUNG
NCIH292,-0.985361,3,LUNG
NCIH358,0.988145,3,LUNG
NCIH441,3.4740485,2,LUNG
NCIH446,-0.07489,3,LUNG
NCIH460,-1.15539,3,LUNG
NCIH522,1.29184311137935,2,LUNG
NCIH524,-1.9268455,2,LUNG
NCIH526,-0.8116005000000001,2,LUNG
NCIH596,1.4825945,2,LUNG
NCIH647,-0.62093,2,LUNG
NCIH650,0.256177,3,LUNG
NCIH661,1.476021,3,LUNG
NCIH69,-0.33433050000000003,2,LUNG
NCIH727,1.84489179100848,3,LUNG
NCIH810,-0.093691,2,LUNG
NCIH82,-0.07746399999999998,2,LUNG
NCIH838,0.519705,3,LUNG
NCIH841,0.358267855580594,3,LUNG
NCIH929,-1.9775165,2,LYMPH
NOMO1,-1.532677,2,LYMPH
NUDUL1,-2.6072230000000003,2,LYMPH
OCIAML2,-3.839988,1,LYMPH
OCIAML3,-1.4932745,2,LYMPH
OCIAML5,-1.820576,2,LYMPH
OCILY19,-3.068096,2,LYMPH
OCIM1,-2.3850425,2,LYMPH
OPM2,-1.171183,2,LYMPH
P12ICHIKAWA,-2.079461,1,LYMPH
P31FUJ,-1.6648774999999998,2,LYMPH
PF382,-1.560763,2,LYMPH
PL21,-2.41829,2,LYMPH
RAJI,0.1299675,2,LYMPH
RCHACV,-2.9848359999999996,2,LYMPH
REH,-0.471715,2,LYMPH
RERFLCKJ,-0.043292,3,LUNG
RERFLCMS,-0.525362,2,LUNG
RL,-1.3180825,2,LYMPH
RPMI8226,-0.8804595,2,LYMPH
RPMI8402,-2.6862605,2,LYMPH
RS411,-2.6038300000000003,2,LYMPH
SBC5,0.327200927229232,3,LUNG
SHP77,0.2051365,2,LUNG
SIGM5,-2.375333,1,LYMPH
SKLU1,-0.6847882731018711,2,LUNG
SKM1,-1.935646,2,LYMPH
SKMES1,-0.932998,3,LUNG
SKMM2,1.5396765000000001,2,LYMPH
ST486,-0.982473,1,LYMPH
SUDHL1,-1.027942,1,LYMPH
SUDHL10,-1.829018,1,LYMPH
SUDHL4,-1.232942,2,LYMPH
SUDHL5,-2.707795,2,LYMPH
SUDHL6,-2.402782,2,LYMPH
SUDHL8,-0.604653,1,LYMPH
SUPB15,-1.5875884999999998,2,LYMPH
SUPM2,-2.3801405,2,LYMPH
SUPT1,-1.0720945,2,LYMPH
SW1271,0.4960715,2,LUNG
SW1573,0.535931230771171,3,LUNG
THP1,-0.449192,2,LYMPH
WSUDLCL2,-1.6131315,2,LYMPH
