std,Y,n,tissue
697,-1.542445,3,LYMPH
A3KAW,0.6165365,2,LYMPH
A4FUK,1.2876604999999999,2,LYMPH
A549,1.4889991299085572,3,LUNG
ABC1,2.3460669999999997,2,LUNG
ALLSIL,1.7106125,2,LYMPH
AMO1,2.24493,3,LYMPH
BEN,1.808119,3,LUNG
BL41,1.5789974999999998,2,LYMPH
BV173,0.09903200000000001,2,LYMPH
CA46,3.3885725,2,LYMPH
CAL12T,3.889413,3,LUNG
CALU3,4.82761,2,LUNG
CALU6,2.4892415000000003,2,LUNG
CHAGOK1,4.558004,3,LUNG
CMK,1.971205,1,LYMPH
CMLT1,0.2045315169752661,3,LYMPH
COLO668,4.025799,2,LUNG
CORL105,0.9424435504128,3,LUNG
CORL23,1.9255143249365887,3,LUNG
CORL279,3.71101,3,LUNG
CORL311,4.426293,1,LUNG
CORL88,4.8477885,2,LUNG
CORL95,4.3676569999999995,2,LUNG
DAUDI,2.9303999999999997,2,LYMPH
DB,0.801939,2,LYMPH
DMS114,3.883051,2,LUNG
DMS273,3.4413435,2,LUNG
DMS53,3.072093961517322,3,LUNG
DMS79,4.2315155,2,LUNG
DND41,1.4825409999999999,2,LYMPH
DOHH2,0.1339409392044422,3,LYMPH
EBC1,1.480321,2,LUNG
EHEB,1.986702,1,LYMPH
EJM,3.8504065,2,LYMPH
EM2,1.074095,2,LYMPH
EPLC272H,3.492993,2,LUNG
GA10,0.4520415,2,LYMPH
GDM1,2.601238,2,LYMPH
GRANTA519,3.582771,2,LYMPH
HARA,1.1465853421913637,4,LUNG
HCC15,4.3286165,2,LUNG
HCC33,4.334063,1,LUNG
HCC366,3.257502,3,LUNG
HCC44,3.2775895,2,LUNG
HCC78,1.072885065560932,4,LUNG
HCC827,3.337792009476484,4,LUNG
HDLM2,2.2321735,2,LYMPH
HEL,0.2314130901865869,3,LYMPH
HH,2.420519,3,LYMPH
HL60,0.892126,2,LYMPH
HT,2.125474,3,LYMPH
IALM,5.082276,3,LUNG
JEKO1,0.5465354884998863,3,LYMPH
JM1,0.519275,3,LYMPH
JURKAT,1.50782,3,LYMPH
JURLMK1,-1.313374,3,LYMPH
JVM2,1.365002,2,LYMPH
JVM3,0.900798,3,LYMPH
K562,2.856861,3,LYMPH
KARPAS422,1.5143955,2,LYMPH
KCL22,1.5309215,2,LYMPH
KG1,1.8704335,2,LYMPH
KMH2,2.4988695,4,LYMPH
KMS11,2.7782345,2,LYMPH
KMS12BM,4.178540813010597,2,LYMPH
KNS62,1.1747258664708256,3,LUNG
KOPN8,0.2958313369456634,3,LYMPH
KU812,1.1007695,2,LYMPH
L1236,3.1719615,2,LYMPH
L363,2.479827,3,LYMPH
L428,3.2515064999999996,2,LYMPH
L540,2.261032,2,LYMPH
LAMA84,1.0392501865675574,3,LYMPH
LCLC103H,2.98396289354615,3,LUNG
LCLC97TM1,2.2700025,2,LUNG
LOUCY,1.577951,2,LYMPH
LOUNH91,3.3807995,2,LUNG
LP1,3.431132,3,LYMPH
LU65,4.2798815,2,LUNG
LXF289,1.82530245326219,4,LUNG
ME1,3.3842925,2,LYMPH
MEG01,3.244815,2,LYMPH
MHHCALL2,2.614732,2,LYMPH
MM1S,2.3437040000000002,2,LYMPH
MOLM13,-1.412694,3,LYMPH
MOLM16,0.8805355,2,LYMPH
MOLP8,1.9861585000000002,2,LYMPH
MOLT13,0.17993800000000004,2,LYMPH
MOLT16,-0.7884015,2,LYMPH
MONOMAC6,2.1526205000000003,2,LYMPH
NALM6,0.39543,3,LYMPH
NAMALWA,1.9791685,2,LYMPH
NB4,-1.205371,3,LYMPH
NCIH1048,3.974747,2,LUNG
NCIH1092,4.243393,3,LUNG
NCIH1105,4.3277305,2,LUNG
NCIH1155,3.8096385,2,LUNG
NCIH1341,3.433405,3,LUNG
NCIH1435,4.287581,3,LUNG
NCIH1436,4.4374555,2,LUNG
NCIH1437,0.99848151325408,4,LUNG
NCIH146,2.870911,2,LUNG
NCIH1568,5.7823,3,LUNG
NCIH1623,3.3722200000000004,2,LUNG
NCIH1648,5.336532452942051,2,LUNG
NCIH1650,3.109393,2,LUNG
NCIH1651,3.748026,2,LUNG
NCIH1781,4.752129500000001,2,LUNG
NCIH1792,1.3918305,2,LUNG
