std,Y,n,tissue
697,2.130648,5,LYMPH
A3KAW,2.280536,5,LYMPH
A4FUK,1.9616980000000002,4,LYMPH
A549,0.523867218860706,5,LUNG
ABC1,3.942736,4,LUNG
ALLSIL,3.414869,4,LYMPH
AMO1,2.6318505,4,LYMPH
BEN,3.432893,3,LUNG
BL41,2.901779,4,LYMPH
BV173,1.912449,5,LYMPH
CA46,3.814857,4,LYMPH
CAL12T,1.9615870000000002,4,LUNG
CALU3,4.0783635,4,LUNG
CALU6,1.454042,6,LUNG
CHAGOK1,3.280014,3,LUNG
CMK,2.6249995000000004,2,LYMPH
CMLT1,2.802164,5,LYMPH
COLO668,2.9715759999999998,4,LUNG
CORL105,1.743334,5,LUNG
CORL23,3.498180464497907,5,LUNG
CORL279,3.096486,3,LUNG
CORL311,4.5266185,2,LUNG
CORL88,3.993111,3,LUNG
CORL95,4.211582,3,LUNG
DAUDI,3.7350005,4,LYMPH
DB,4.2462015,4,LYMPH
DMS114,4.7084155,4,LUNG
DMS273,4.34104,4,LUNG
DMS53,4.2964335,4,LUNG
DMS79,4.621129,4,LUNG
DND41,3.085643,4,LYMPH
DOHH2,3.166113,3,LYMPH
EBC1,0.709112,5,LUNG
EHEB,3.1203035000000003,2,LYMPH
EJM,3.7665135000000003,4,LYMPH
EM2,1.960303,5,LYMPH
EPLC272H,1.6855930000000001,4,LUNG
GA10,4.025159,4,LYMPH
GDM1,3.271951,4,LYMPH
GRANTA519,4.651171,4,LYMPH
HARA,4.02837,5,LUNG
HCC15,2.2770105,4,LUNG
HCC33,4.100644,1,LUNG
HCC366,3.9840305000000003,4,LUNG
HCC44,0.724706,5,LUNG
HCC78,3.1741665,4,LUNG
HCC827,3.35748,5,LUNG
HDLM2,4.2857195,4,LYMPH
HEL,3.7958695000000002,4,LYMPH
HH,4.0631889999999995,4,LYMPH
HL60,0.221309,3,LYMPH
HT,3.604063,3,LYMPH
IALM,4.7356935,4,LUNG
JEKO1,3.632073,3,LYMPH
JM1,3.174529,3,LYMPH
JURKAT,3.6106495,4,LYMPH
JURLMK1,0.237028,5,LYMPH
JVM2,3.1647675,4,LYMPH
JVM3,1.580268,5,LYMPH
K562,3.181073,5,LYMPH
KARPAS422,3.2733735,4,LYMPH
KCL22,2.515524,5,LYMPH
KG1,2.1393940000000002,4,LYMPH
KMH2,2.293618,7,LYMPH
KMS11,3.073687,3,LYMPH
KMS12BM,4.351910999999999,2,LYMPH
KNS62,1.88382179785977,6,LUNG
KOPN8,2.367423,4,LYMPH
KU812,-1.203402,4,LYMPH
L1236,3.5864115,4,LYMPH
L363,3.2766285,4,LYMPH
L428,4.2820990000000005,4,LYMPH
L540,3.819622,4,LYMPH
LAMA84,0.660899,5,LYMPH
LCLC103H,4.572504,4,LUNG
LCLC97TM1,1.3416455,4,LUNG
LOUCY,3.104331,4,LYMPH
LOUNH91,4.0368955,4,LUNG
LP1,4.2060475,4,LYMPH
LU65,1.3098720000000001,4,LUNG
LXF289,4.29284,5,LUNG
ME1,2.411735,4,LYMPH
MEG01,1.382343,5,LYMPH
MHHCALL2,2.822595,3,LYMPH
MM1S,2.725273,3,LYMPH
MOLM13,1.568222,5,LYMPH
MOLM16,1.815591,3,LYMPH
MOLP8,2.513029,4,LYMPH
MOLT13,1.0366165,4,LYMPH
MOLT16,2.5931610000000003,4,LYMPH
MONOMAC6,2.630326,3,LYMPH
NALM6,2.677754,4,LYMPH
