std,Y,n,tissue
697,5.2065695,2,LYMPH
A3KAW,4.904813000000001,2,LYMPH
A4FUK,3.40977,2,LYMPH
A549,6.6274725,2,LUNG
ABC1,6.720403,2,LUNG
ALLSIL,4.5601205,2,LYMPH
AMO1,4.360506,2,LYMPH
BEN,6.89132,2,LUNG
BL41,4.876926,2,LYMPH
BV173,5.5677565,2,LYMPH
CA46,5.889261,2,LYMPH
CAL12T,6.184326,2,LUNG
CALU3,6.6627295,2,LUNG
CALU6,6.752689500000001,2,LUNG
CHAGOK1,6.1960045,2,LUNG
CMK,4.673586,1,LYMPH
CMLT1,4.7769379999999995,2,LYMPH
COLO668,5.884455,2,LUNG
CORL105,7.008891500000001,2,LUNG
CORL23,5.6815925,2,LUNG
CORL279,5.237629999999999,2,LUNG
CORL311,5.846322,1,LUNG
CORL88,6.359737,2,LUNG
CORL95,6.537144,2,LUNG
DAUDI,5.795583499999999,2,LYMPH
DB,5.1026365,2,LYMPH
DMS114,6.0567635,2,LUNG
DMS273,5.5343345,2,LUNG
DMS53,6.4714755,2,LUNG
DMS79,5.8392,2,LUNG
DND41,4.9663975,2,LYMPH
DOHH2,3.871613,1,LYMPH
EBC1,6.217489499999999,2,LUNG
EHEB,6.117614,1,LYMPH
EJM,5.686485,2,LYMPH
EM2,5.711076,2,LYMPH
EPLC272H,6.248079000000001,2,LUNG
GA10,5.6260505,2,LYMPH
GDM1,4.8001055,2,LYMPH
GRANTA519,6.019263499999999,2,LYMPH
HARA,6.359165,2,LUNG
HCC15,6.3248645,2,LUNG
HCC33,6.63383,1,LUNG
HCC366,6.4072865,2,LUNG
HCC44,5.900536,2,LUNG
HCC78,6.713798,2,LUNG
HCC827,7.058113,1,LUNG
HDLM2,5.159649,2,LYMPH
HEL,4.630255,2,LYMPH
HH,5.6430005,2,LYMPH
HL60,5.2738475000000005,2,LYMPH
HT,5.770487,2,LYMPH
IALM,6.289035500000001,2,LUNG
JEKO1,4.7160910000000005,2,LYMPH
JM1,4.6510485,2,LYMPH
JURKAT,5.121822,2,LYMPH
JURLMK1,4.3471255,2,LYMPH
JVM2,2.9197575000000002,2,LYMPH
JVM3,2.5745155,2,LYMPH
K562,5.764333000000001,2,LYMPH
KARPAS422,5.5653345000000005,2,LYMPH
KCL22,5.4002915,2,LYMPH
KG1,5.8981595,2,LYMPH
KMH2,5.2576564999999995,4,LYMPH
KMS11,5.449414000000001,2,LYMPH
KMS12BM,3.012136,1,LYMPH
KNS62,5.9484815,2,LUNG
KOPN8,4.394814,2,LYMPH
KU812,4.2222055,2,LYMPH
L1236,5.138418,2,LYMPH
L363,5.3973645,2,LYMPH
L428,5.925204,2,LYMPH
L540,2.281656,2,LYMPH
LAMA84,4.924138,2,LYMPH
LCLC103H,5.686864,2,LUNG
LCLC97TM1,6.2988325,2,LUNG
LOUCY,5.1645205,2,LYMPH
LOUNH91,6.630134999999999,2,LUNG
LP1,5.552922499999999,2,LYMPH
LU65,7.006933,2,LUNG
LXF289,6.0399055,2,LUNG
ME1,5.5082165,2,LYMPH
MEG01,4.8649755,2,LYMPH
MHHCALL2,4.3470335,2,LYMPH
MM1S,4.901009,1,LYMPH
MOLM13,4.72451,2,LYMPH
MOLM16,3.7083365,2,LYMPH
MOLP8,4.55938,2,LYMPH
MOLT13,4.922065,2,LYMPH
MOLT16,4.227994,2,LYMPH
MONOMAC6,3.7168919999999996,2,LYMPH
NALM6,4.4027695,2,LYMPH
NAMALWA,5.223803,2,LYMPH
NB4,3.954848,2,LYMPH
NCIH1048,5.647361500000001,2,LUNG
NCIH1092,6.576354,2,LUNG
NCIH1105,4.9266695,2,LUNG
NCIH1155,5.4130795,2,LUNG
NCIH1341,5.978311,2,LUNG
NCIH1435,5.310584,2,LUNG
NCIH1436,5.9684945,2,LUNG
NCIH1437,5.781734999999999,2,LUNG
NCIH146,5.2395515,2,LUNG
NCIH1568,6.067563,2,LUNG
NCIH1623,7.1330415,2,LUNG
NCIH1648,6.7015065,2,LUNG
NCIH1650,7.60763,1,LUNG
NCIH1651,5.9918295,2,LUNG
NCIH1781,6.372109999999999,2,LUNG
NCIH1792,5.919498000000001,2,LUNG
NCIH1793,7.5977630000000005,2,LUNG
NCIH1836,5.764304,2,LUNG
NCIH1876,5.214769,2,LUNG
NCIH1915,6.9476505,2,LUNG
NCIH1944,6.7150490000000005,2,LUNG
NCIH196,6.7218634999999995,2,LUNG
NCIH1963,5.833661,1,LUNG
NCIH1975,6.3132415,2,LUNG
NCIH2009,6.380625,2,LUNG
NCIH2023,6.001237,2,LUNG
NCIH2029,5.9607405,2,LUNG
NCIH2030,6.008248,2,LUNG
NCIH2066,7.577147500000001,2,LUNG
NCIH2081,5.9793475,2,LUNG
NCIH2085,6.765407,2,LUNG
NCIH2087,6.722061500000001,2,LUNG
NCIH209,5.2220545000000005,2,LUNG
NCIH211,5.616934499999999,2,LUNG
NCIH2110,5.483454,2,LUNG
NCIH2122,5.8979645000000005,2,LUNG
NCIH2170,5.400665500000001,2,LUNG
NCIH2171,5.356459,1,LUNG
NCIH2172,6.5147755,2,LUNG
NCIH2196,5.789538,1,LUNG
NCIH2227,4.836418,2,LUNG
NCIH2228,7.64027,1,LUNG
NCIH2291,7.235568499999999,2,LUNG
NCIH23,6.0940645,2,LUNG
NCIH2342,6.685587,2,LUNG
NCIH2347,7.366124000000001,2,LUNG
NCIH2405,7.1152165,2,LUNG
NCIH2444,6.765665,2,LUNG
NCIH292,4.507862,2,LUNG
NCIH358,6.8638175,2,LUNG
NCIH441,6.975308500000001,2,LUNG
NCIH446,5.636217,2,LUNG
NCIH460,5.3029215,2,LUNG
NCIH522,6.302536,2,LUNG
NCIH524,5.654561,2,LUNG
NCIH526,6.0043334999999995,2,LUNG
NCIH596,7.0415605,2,LUNG
NCIH647,2.7396130000000003,2,LUNG
NCIH650,6.567278,2,LUNG
NCIH661,6.093579,2,LUNG
NCIH69,5.979258,2,LUNG
NCIH727,7.4552705,2,LUNG
NCIH810,5.1808465,2,LUNG
NCIH82,5.744773,2,LUNG
NCIH838,6.2224715,2,LUNG
NCIH841,6.165322,2,LUNG
NCIH929,5.515226500000001,2,LYMPH
NOMO1,5.3032145,2,LYMPH
NUDUL1,4.5287505,2,LYMPH
OCIAML2,3.6993169999999997,2,LYMPH
OCIAML3,5.6305635,2,LYMPH
OCIAML5,5.1612955,2,LYMPH
OCILY19,4.8409545,2,LYMPH
OCIM1,3.7455165,2,LYMPH
OPM2,5.1155795,2,LYMPH
P12ICHIKAWA,4.784166,2,LYMPH
P31FUJ,4.2228955,2,LYMPH
PF382,5.3645320000000005,2,LYMPH
PL21,4.809866,2,LYMPH
RAJI,5.537637,2,LYMPH
RCHACV,3.93828,2,LYMPH
REH,4.869210000000001,2,LYMPH
RERFLCKJ,6.493075,2,LUNG
RERFLCMS,6.129438,2,LUNG
RL,5.91725,2,LYMPH
RPMI8226,5.3245745,2,LYMPH
RPMI8402,4.4872455,2,LYMPH
RS411,4.3957285,2,LYMPH
SBC5,5.5000765000000005,2,LUNG
SHP77,5.788436,2,LUNG
SIGM5,4.402651,1,LYMPH
SKLU1,4.846196,3,LUNG
SKM1,3.714091,2,LYMPH
SKMES1,6.7889045,2,LUNG
SKMM2,5.849410499999999,2,LYMPH
ST486,5.313599,2,LYMPH
SUDHL1,6.075473,1,LYMPH
SUDHL10,4.7137385,2,LYMPH
SUDHL4,3.8974715,2,LYMPH
SUDHL5,4.2463325,2,LYMPH
SUDHL6,4.701321,2,LYMPH
SUDHL8,4.1225875,2,LYMPH
SUPB15,5.16813,1,LYMPH
SUPM2,3.0753250000000003,2,LYMPH
SUPT1,5.0637715,2,LYMPH
SW1271,7.191268,2,LUNG
SW1573,7.084134000000001,2,LUNG
THP1,4.8842525000000006,2,LYMPH
WSUDLCL2,4.7213165,2,LYMPH
