std,Y,n,tissue
697,0.488704,3,LYMPH
A3KAW,1.332518,3,LYMPH
A4FUK,1.028443,3,LYMPH
A549,2.901985,3,LUNG
ABC1,3.70897,3,LUNG
ALLSIL,1.429188,3,LYMPH
AMO1,1.702849,3,LYMPH
BEN,2.875397,3,LUNG
BL41,1.388241,3,LYMPH
BV173,1.999181,3,LYMPH
CA46,2.510431,3,LYMPH
CAL12T,3.0631195,4,LUNG
CALU3,3.706199,3,LUNG
CALU6,2.901713,3,LUNG
CHAGOK1,3.84163,3,LUNG
CMK,2.242483,2,LYMPH
CMLT1,1.645981,3,LYMPH
COLO668,3.306079,3,LUNG
CORL105,3.777363,3,LUNG
CORL23,2.332933,4,LUNG
CORL279,2.832199,3,LUNG
CORL311,2.407246,1,LUNG
CORL88,3.387155,3,LUNG
CORL95,4.1167745,2,LUNG
DAUDI,1.903965,3,LYMPH
DB,2.835354,3,LYMPH
DMS114,1.323169,3,LUNG
DMS273,3.148284,3,LUNG
DMS53,2.744709,3,LUNG
DMS79,2.963189,3,LUNG
DND41,1.971851,3,LYMPH
DOHH2,1.745722,1,LYMPH
EBC1,2.64965,3,LUNG
EHEB,3.48562,2,LYMPH
EJM,2.154615,3,LYMPH
EM2,1.81143,3,LYMPH
EPLC272H,2.478653,3,LUNG
GA10,2.082436,3,LYMPH
GDM1,-0.566813,3,LYMPH
GRANTA519,3.0492225,2,LYMPH
HARA,1.886725,3,LUNG
HCC15,2.931615,3,LUNG
HCC33,3.486682,1,LUNG
HCC366,3.47857818100786,4,LUNG
HCC44,2.727032,3,LUNG
HCC78,3.605844,3,LUNG
HCC827,3.055498,3,LUNG
HDLM2,1.442475,3,LYMPH
HEL,2.65982,3,LYMPH
HH,2.276553,3,LYMPH
HL60,2.500064,3,LYMPH
HT,3.629621,3,LYMPH
IALM,2.214602,3,LUNG
JEKO1,1.103243,3,LYMPH
JM1,2.43603,3,LYMPH
JURKAT,1.243167,3,LYMPH
JURLMK1,2.259745,2,LYMPH
JVM2,1.830552,3,LYMPH
JVM3,2.416225,3,LYMPH
K562,2.189567,3,LYMPH
KARPAS422,2.608871,3,LYMPH
KCL22,1.840344,3,LYMPH
KG1,-2.128365,2,LYMPH
KMH2,2.413266,6,LYMPH
KMS11,1.093749,3,LYMPH
KMS12BM,0.605437,2,LYMPH
KNS62,3.380127,3,LUNG
KOPN8,1.336182,2,LYMPH
KU812,1.923968,3,LYMPH
L1236,2.75114,3,LYMPH
L363,2.023294,3,LYMPH
L428,2.307479,3,LYMPH
L540,2.237647,3,LYMPH
LAMA84,1.966003,3,LYMPH
LCLC103H,2.774098,3,LUNG
LCLC97TM1,2.323981,3,LUNG
LOUCY,1.251943,3,LYMPH
LOUNH91,2.24323,3,LUNG
LP1,4.155787,3,LYMPH
LU65,3.475348,3,LUNG
LXF289,1.730837,3,LUNG
ME1,2.655673,3,LYMPH
MEG01,1.850921,3,LYMPH
MHHCALL2,1.447524,3,LYMPH
MM1S,1.4989810000000001,2,LYMPH
MOLM13,-0.83734,3,LYMPH
MOLM16,1.946521,3,LYMPH
MOLP8,1.95353,3,LYMPH
MOLT13,1.608489,3,LYMPH
MOLT16,1.241518,3,LYMPH
MONOMAC6,0.458887,3,LYMPH
NALM6,2.156956,3,LYMPH
NAMALWA,1.807726,3,LYMPH
NB4,1.78792,3,LYMPH
NCIH1048,1.626734,3,LUNG
NCIH1092,3.240662,3,LUNG
NCIH1105,4.1687005,2,LUNG
NCIH1155,1.661154,3,LUNG
NCIH1341,1.509944,3,LUNG
NCIH1435,2.57525,3,LUNG
NCIH1436,3.898543,3,LUNG
NCIH1437,3.6149015,2,LUNG
NCIH146,3.664446,3,LUNG
NCIH1568,2.577185,3,LUNG
NCIH1623,3.286759,3,LUNG
NCIH1648,2.903753,3,LUNG
NCIH1650,2.919972,3,LUNG
NCIH1651,3.097344,3,LUNG
NCIH1781,2.570233,3,LUNG
NCIH1792,2.102381,3,LUNG
NCIH1793,3.453971,3,LUNG
NCIH1836,4.494836,3,LUNG
NCIH1876,1.342514,3,LUNG
NCIH1915,2.927584,3,LUNG
NCIH1944,2.76947121958387,4,LUNG
NCIH196,2.331388,3,LUNG
NCIH1963,2.307019,2,LUNG
NCIH1975,2.348671,3,LUNG
NCIH2009,3.064819,3,LUNG
NCIH2023,3.180423,3,LUNG
NCIH2029,4.545313,3,LUNG
NCIH2030,2.461124,3,LUNG
NCIH2066,3.276053,3,LUNG
NCIH2081,5.025777,3,LUNG
NCIH2085,3.86199,3,LUNG
NCIH2087,3.455753,3,LUNG
NCIH209,1.984691,3,LUNG
NCIH211,1.404024,3,LUNG
NCIH2110,2.489903,3,LUNG
NCIH2122,2.439021,3,LUNG
NCIH2170,2.264174,3,LUNG
NCIH2171,2.069149,1,LUNG
NCIH2172,4.346361,3,LUNG
NCIH2196,4.469574,1,LUNG
NCIH2227,1.379015,3,LUNG
NCIH2228,4.31501380687272,4,LUNG
NCIH2291,4.597458,3,LUNG
NCIH23,2.382686,3,LUNG
NCIH2342,3.491331,3,LUNG
NCIH2347,2.912669,3,LUNG
NCIH2405,3.369962,3,LUNG
NCIH2444,5.34119,3,LUNG
NCIH292,2.511675,3,LUNG
NCIH358,3.036507,3,LUNG
NCIH441,3.232403,3,LUNG
NCIH446,1.4608885,4,LUNG
NCIH460,2.19393,3,LUNG
NCIH522,2.424303,3,LUNG
NCIH524,2.288651,3,LUNG
NCIH526,2.412531,3,LUNG
NCIH596,1.260843,3,LUNG
NCIH647,2.129676,3,LUNG
NCIH650,2.989348,3,LUNG
NCIH661,2.920167,4,LUNG
NCIH69,2.532353,3,LUNG
NCIH727,3.608275,3,LUNG
NCIH810,2.592067,3,LUNG
NCIH82,2.509509,3,LUNG
NCIH838,1.819026,4,LUNG
NCIH841,3.481773,3,LUNG
NCIH929,1.279517,3,LYMPH
NOMO1,1.562841,3,LYMPH
NUDUL1,2.516282,3,LYMPH
OCIAML2,1.002192,3,LYMPH
OCIAML3,2.661295,3,LYMPH
OCIAML5,1.608414,2,LYMPH
OCILY19,1.866147,3,LYMPH
OCIM1,1.576882,3,LYMPH
OPM2,-0.387093,3,LYMPH
P12ICHIKAWA,1.932239,3,LYMPH
P31FUJ,1.829107,3,LYMPH
PF382,2.181167,3,LYMPH
PL21,2.790665,3,LYMPH
RAJI,2.342299,3,LYMPH
RCHACV,1.429943,3,LYMPH
REH,1.819271,3,LYMPH
RERFLCKJ,2.572882,3,LUNG
RERFLCMS,2.5291734999999997,4,LUNG
RL,3.005405,3,LYMPH
RPMI8226,1.822577,3,LYMPH
