std,Y,n,tissue
697,3.172625,3,LYMPH
A3KAW,2.557089,3,LYMPH
A4FUK,3.74578,3,LYMPH
A549,2.87438,3,LUNG
ABC1,4.408861,3,LUNG
ALLSIL,2.721158,3,LYMPH
AMO1,2.821482,3,LYMPH
BEN,4.564077,2,LUNG
BL41,3.221067,3,LYMPH
BV173,3.017773,2,LYMPH
CA46,3.708974,3,LYMPH
CAL12T,2.4917949999999998,2,LUNG
CALU3,3.579507,3,LUNG
CALU6,4.015168,3,LUNG
CHAGOK1,3.2602355000000003,2,LUNG
CMK,4.180801,1,LYMPH
CMLT1,3.702349,3,LYMPH
COLO668,3.71515,3,LUNG
CORL105,3.589046,3,LUNG
CORL23,4.027101,3,LUNG
CORL279,3.0799955,2,LUNG
CORL311,4.0685065,2,LUNG
CORL88,4.232431500000001,2,LUNG
CORL95,4.426657,1,LUNG
DAUDI,3.125619,3,LYMPH
DB,4.050137,3,LYMPH
DMS114,3.96072,3,LUNG
DMS273,3.68542,3,LUNG
DMS53,3.442034,3,LUNG
DMS79,5.001733,3,LUNG
DND41,2.256414,3,LYMPH
DOHH2,1.6790135000000002,2,LYMPH
EBC1,3.708387,3,LUNG
EHEB,5.475888,1,LYMPH
EJM,3.923536,3,LYMPH
EM2,3.462037,3,LYMPH
EPLC272H,3.441345,3,LUNG
GA10,3.485456,3,LYMPH
GDM1,3.074832,3,LYMPH
GRANTA519,4.639656,3,LYMPH
HARA,2.69987,3,LUNG
HCC15,4.053172,3,LUNG
HCC33,3.222339,1,LUNG
HCC366,4.517443,3,LUNG
HCC44,3.65391,3,LUNG
HCC78,2.207426,3,LUNG
HCC827,4.165784,3,LUNG
HDLM2,2.748653,3,LYMPH
HEL,3.559429,3,LYMPH
HH,3.018792,3,LYMPH
HL60,4.173285,3,LYMPH
HT,3.7313064999999996,2,LYMPH
IALM,4.730808,3,LUNG
JEKO1,3.0836205,2,LYMPH
JM1,2.303602,2,LYMPH
JURKAT,3.320525,3,LYMPH
JURLMK1,4.192941,3,LYMPH
JVM2,2.788211,3,LYMPH
JVM3,1.959263,2,LYMPH
K562,3.328126,3,LYMPH
KARPAS422,5.035931,3,LYMPH
KCL22,2.365545,3,LYMPH
KG1,4.303512,3,LYMPH
KMH2,2.838519,5,LYMPH
KMS11,3.6861794999999997,2,LYMPH
KMS12BM,2.3176085,2,LYMPH
KNS62,5.152923,3,LUNG
KOPN8,3.002971,3,LYMPH
KU812,2.680827,3,LYMPH
L1236,3.184082,3,LYMPH
L363,3.2586,3,LYMPH
L428,4.607085,3,LYMPH
L540,2.327928,3,LYMPH
LAMA84,2.274893,3,LYMPH
LCLC103H,4.98567,3,LUNG
LCLC97TM1,3.707776,3,LUNG
LOUCY,2.740126,3,LYMPH
LOUNH91,3.512822,3,LUNG
LP1,3.168291,3,LYMPH
LU65,3.277777,3,LUNG
LXF289,2.896588,3,LUNG
ME1,5.048026,3,LYMPH
MEG01,4.329403,3,LYMPH
MHHCALL2,3.092946,3,LYMPH
MM1S,2.2726040000000003,2,LYMPH
MOLM13,2.672199,3,LYMPH
MOLM16,2.7971715,2,LYMPH
MOLP8,3.555476,3,LYMPH
MOLT13,2.571716,3,LYMPH
MOLT16,1.694933,3,LYMPH
MONOMAC6,2.296177,2,LYMPH
NALM6,3.38057,3,LYMPH
NAMALWA,3.814392,3,LYMPH
NB4,2.754358,2,LYMPH
NCIH1048,3.382919,3,LUNG
NCIH1092,5.332071,3,LUNG
NCIH1105,4.0402474999999995,2,LUNG
NCIH1155,3.340038,3,LUNG
NCIH1341,2.5993570000000004,2,LUNG
NCIH1435,4.387592,3,LUNG
NCIH1436,4.0111995,2,LUNG
NCIH1437,3.803454,2,LUNG
NCIH146,3.525396,2,LUNG
NCIH1568,3.925262,3,LUNG
NCIH1623,4.387023,3,LUNG
NCIH1648,3.7270190000000003,2,LUNG
NCIH1650,3.715855,3,LUNG
NCIH1651,3.101948,3,LUNG
NCIH1781,4.140241,3,LUNG
NCIH1792,3.038255,3,LUNG
NCIH1793,5.251371,3,LUNG
NCIH1836,3.9457185,2,LUNG
NCIH1876,4.690908,3,LUNG
NCIH1915,4.50988,3,LUNG
NCIH1944,3.431077,3,LUNG
NCIH196,4.758592,3,LUNG
NCIH1963,2.0828135,2,LUNG
NCIH1975,3.468545,3,LUNG
NCIH2009,3.6242875000000003,2,LUNG
NCIH2023,4.043109,3,LUNG
NCIH2029,3.28232,3,LUNG
NCIH2030,3.5325569999999997,2,LUNG
NCIH2066,5.142644000000001,2,LUNG
NCIH2081,4.1895135,2,LUNG
NCIH2085,4.054603,3,LUNG
NCIH2087,4.244112,3,LUNG
NCIH209,3.644705,3,LUNG
NCIH211,3.024948,3,LUNG
NCIH2110,3.231269,2,LUNG
NCIH2122,2.9005,3,LUNG
NCIH2170,3.999327,3,LUNG
NCIH2171,1.861147,1,LUNG
NCIH2172,3.127002,2,LUNG
