std,Y,n,tissue
697,-6.147263,4,LYMPH
A3KAW,-4.511025,4,LYMPH
A4FUK,-5.924182,3,LYMPH
A549,-5.515158,4,LUNG
ABC1,0.0021748806206642,5,LUNG
ALLSIL,-5.621399,2,LYMPH
AMO1,-6.063231999999999,4,LYMPH
BEN,-1.553848831995881,4,LUNG
BL41,-6.440643,3,LYMPH
BV173,-5.726984,3,LYMPH
CA46,-3.158421,3,LYMPH
CAL12T,-2.45918849464358,4,LUNG
CALU3,-1.072924,3,LUNG
CALU6,-4.177523,5,LUNG
CHAGOK1,-4.28957,3,LUNG
CMK,-3.654946,1,LYMPH
CMLT1,-4.8693325000000005,4,LYMPH
COLO668,0.0003954260895742,5,LUNG
CORL105,0.0255961237434008,5,LUNG
CORL23,-1.065925,5,LUNG
CORL279,-5.1080785,2,LUNG
CORL311,-1.5069555,2,LUNG
CORL88,-3.4543885,2,LUNG
CORL95,-3.507238,2,LUNG
DAUDI,-4.14401,3,LYMPH
DB,-5.681748,3,LYMPH
DMS114,-4.343473,3,LUNG
DMS273,-6.057018,5,LUNG
DMS53,-0.6898412474683427,4,LUNG
DMS79,-1.017376490844771,4,LUNG
DND41,-3.147542,3,LYMPH
DOHH2,-5.6818685,4,LYMPH
EBC1,-0.461191,5,LUNG
EHEB,-2.78338,1,LYMPH
EJM,-4.634497,3,LYMPH
EM2,-4.988746,3,LYMPH
EPLC272H,-5.206959,3,LUNG
GA10,-5.917718,3,LYMPH
GDM1,-4.194249,3,LYMPH
GRANTA519,-2.1767,4,LYMPH
HARA,-6.022348,5,LUNG
HCC15,-3.1492185761231792,4,LUNG
HCC33,-2.692210689880557,2,LUNG
HCC366,-2.43954,5,LUNG
HCC44,-3.913393,5,LUNG
HCC78,0.0020243945351438,5,LUNG
HCC827,-1.5100226844795805,4,LUNG
HDLM2,-3.951211,3,LYMPH
HEL,-2.2130875,4,LYMPH
HH,-0.062150582043339654,4,LYMPH
HL60,-5.078878,3,LYMPH
HT,-4.8477885,2,LYMPH
IALM,0.0019809551174264,5,LUNG
JEKO1,-4.960076,3,LYMPH
JM1,-3.659238,3,LYMPH
JURKAT,-4.2094395,4,LYMPH
JURLMK1,-5.579054,3,LYMPH
JVM2,-6.026539,3,LYMPH
JVM3,-6.204059,4,LYMPH
K562,-3.5760165,4,LYMPH
KARPAS422,-3.260792,3,LYMPH
KCL22,-4.651688999999999,4,LYMPH
KG1,-3.379825,3,LYMPH
KMH2,-4.565828,6,LYMPH
KMS11,-3.296459,3,LYMPH
KMS12BM,-5.639196500000001,4,LYMPH
KNS62,0.0038818125398421,5,LUNG
KOPN8,-5.6212245,4,LYMPH
KU812,-5.600544,3,LYMPH
L1236,-5.1466305,2,LYMPH
L363,-4.8557245,4,LYMPH
