std,Y,n,tissue
697,-5.604208,3,LYMPH
A3KAW,-5.063677,3,LYMPH
A4FUK,-3.960356,3,LYMPH
A549,-3.659731,4,LUNG
ABC1,-2.382905,4,LUNG
ALLSIL,-3.80794,3,LYMPH
AMO1,-3.246646,3,LYMPH
BEN,-1.0006265651567527,4,LUNG
BL41,-4.694701,3,LYMPH
BV173,-4.538397,2,LYMPH
CA46,-2.127093,3,LYMPH
CAL12T,-1.7635344327237408,4,LUNG
CALU3,-2.698389,3,LUNG
CALU6,-2.023819915179193,4,LUNG
CHAGOK1,-1.249881,3,LUNG
CMK,-3.505818,1,LYMPH
CMLT1,-4.5249880000000005,2,LYMPH
COLO668,-2.7572815,4,LUNG
CORL105,-0.09608,3,LUNG
CORL23,-1.771588803808236,4,LUNG
CORL279,-3.1781205,2,LUNG
CORL311,-1.667695,1,LUNG
CORL88,0.841349,3,LUNG
CORL95,0.050896,3,LUNG
DAUDI,-2.221552,3,LYMPH
DB,-4.805052,3,LYMPH
DMS114,0.905363,3,LUNG
DMS273,-2.757814,3,LUNG
DMS53,-0.345933,3,LUNG
DMS79,-1.318444,3,LUNG
DND41,-2.639199,3,LYMPH
DOHH2,-3.6980395,2,LYMPH
EBC1,-4.921037,3,LUNG
EHEB,-1.2940095,2,LYMPH
EJM,-3.146662,3,LYMPH
EM2,-2.924617,3,LYMPH
EPLC272H,-3.869805,3,LUNG
GA10,-3.1275315,2,LYMPH
GDM1,-1.783186,3,LYMPH
GRANTA519,-2.98562,3,LYMPH
HARA,-2.1865565,4,LUNG
HCC15,-1.566241,4,LUNG
HCC33,1.5660055,2,LUNG
HCC366,-3.1653525,2,LUNG
HCC44,-2.753402,4,LUNG
HCC78,-5.406407,3,LUNG
HCC827,1.1757087961261412,4,LUNG
HDLM2,-0.080383,3,LYMPH
HEL,-5.237459,3,LYMPH
HH,-2.701203,3,LYMPH
HL60,-3.004574,3,LYMPH
HT,-2.77464,3,LYMPH
IALM,-1.187201463159379,4,LUNG
JEKO1,-4.2795125,2,LYMPH
JM1,-5.490858,3,LYMPH
JURKAT,-2.4281505,2,LYMPH
