std,Y,n,tissue
697,-1.48222,3,LYMPH
A3KAW,-2.601196,3,LYMPH
A4FUK,-0.79414,3,LYMPH
A549,0.948596,3,LUNG
ABC1,3.143905,3,LUNG
ALLSIL,0.279913,3,LYMPH
AMO1,-0.392664,3,LYMPH
BEN,0.225528,3,LUNG
BL41,0.005523,3,LYMPH
BV173,-1.439443,3,LYMPH
CA46,-0.410598,3,LYMPH
CAL12T,2.535664,3,LUNG
CALU3,0.383168,3,LUNG
CALU6,2.231463,3,LUNG
CHAGOK1,2.222395,3,LUNG
CMK,-1.475781,1,LYMPH
CMLT1,0.8354775,2,LYMPH
COLO668,2.415292,3,LUNG
CORL105,2.106783,3,LUNG
CORL23,1.513097,3,LUNG
CORL279,0.8404495000000001,2,LUNG
CORL311,-0.186908,1,LUNG
CORL88,3.194275,3,LUNG
CORL95,3.654101,3,LUNG
DAUDI,1.369132,3,LYMPH
DB,0.246061,3,LYMPH
DMS114,2.249205,3,LUNG
DMS273,1.05439,3,LUNG
DMS53,2.856439,3,LUNG
DMS79,3.062126,3,LUNG
DND41,0.934396,3,LYMPH
DOHH2,-0.8010394999999999,2,LYMPH
EBC1,-0.400636,3,LUNG
EHEB,1.831447,2,LYMPH
EJM,1.603514,3,LYMPH
EM2,-0.931905,3,LYMPH
EPLC272H,2.10115,3,LUNG
GA10,-1.091094,3,LYMPH
GDM1,-1.035492,3,LYMPH
GRANTA519,1.905379,3,LYMPH
HARA,1.173365,3,LUNG
HCC15,2.200539,3,LUNG
HCC33,1.6051445,2,LUNG
HCC366,2.103929,2,LUNG
HCC44,-1.094024,3,LUNG
HCC78,2.826529,3,LUNG
HCC827,2.012851,3,LUNG
HDLM2,2.411499,3,LYMPH
HEL,-0.717011,3,LYMPH
HH,-1.579882,3,LYMPH
HL60,-1.771929,3,LYMPH
HT,-0.148374,3,LYMPH
IALM,2.342012,3,LUNG
JEKO1,-1.183197,2,LYMPH
JM1,1.485092,3,LYMPH
JURKAT,0.729633,2,LYMPH
JURLMK1,0.399712,3,LYMPH
JVM2,-1.447387,3,LYMPH
JVM3,-0.534601,3,LYMPH
K562,2.42795,3,LYMPH
KARPAS422,0.421052,3,LYMPH
