std,Y,n,tissue
697,-1.190338,3,LYMPH
A3KAW,1.219703,3,LYMPH
A4FUK,-0.712925,3,LYMPH
A549,0.096077,3,LUNG
ABC1,3.551755,3,LUNG
ALLSIL,0.112529,3,LYMPH
AMO1,0.012096,3,LYMPH
BEN,2.339902,3,LUNG
BL41,0.830103,3,LYMPH
BV173,0.653851,3,LYMPH
CA46,0.257885,3,LYMPH
CAL12T,0.974512,3,LUNG
CALU3,1.025819,3,LUNG
CALU6,2.62492,3,LUNG
CHAGOK1,1.783108,3,LUNG
CMK,1.087404,2,LYMPH
CMLT1,2.505172,3,LYMPH
COLO668,2.142177,3,LUNG
CORL105,1.079341,3,LUNG
CORL23,1.025721,3,LUNG
CORL279,0.895862,3,LUNG
CORL311,0.67965,1,LUNG
CORL88,3.765469,3,LUNG
CORL95,2.167987,3,LUNG
DAUDI,1.042413,3,LYMPH
DB,2.060612,3,LYMPH
DMS114,0.83955,3,LUNG
DMS273,0.839715,3,LUNG
DMS53,3.623775,3,LUNG
DMS79,2.899152,3,LUNG
DND41,1.888987,3,LYMPH
DOHH2,0.06606750000000006,2,LYMPH
EBC1,0.975195,3,LUNG
EHEB,-0.8656014999999999,2,LYMPH
EJM,1.331051,3,LYMPH
EM2,0.28308,3,LYMPH
EPLC272H,-0.420927,3,LUNG
GA10,-1.155,3,LYMPH
GDM1,-1.657863,3,LYMPH
GRANTA519,1.61555,2,LYMPH
HARA,0.50149,3,LUNG
HCC15,1.305208,3,LUNG
HCC33,2.463546,1,LUNG
HCC366,0.896074,3,LUNG
HCC44,-0.038926,3,LUNG
HCC78,0.317979,3,LUNG
HCC827,1.106774,3,LUNG
HDLM2,2.385868,3,LYMPH
HEL,2.435879,3,LYMPH
HH,-1.940319,3,LYMPH
HL60,0.910739,3,LYMPH
HT,0.201539,3,LYMPH
IALM,1.623523,3,LUNG
JEKO1,-1.413201,3,LYMPH
JM1,1.274594,3,LYMPH
JURKAT,1.150583,3,LYMPH
JURLMK1,2.356534,3,LYMPH
JVM2,-0.812863,3,LYMPH
JVM3,0.501138,3,LYMPH
K562,2.594101,3,LYMPH
KARPAS422,0.247725,3,LYMPH
KCL22,1.10963,3,LYMPH
KG1,2.51022,3,LYMPH
