std,Y,n,tissue
697,1.482843,2,LYMPH
A3KAW,2.518091,2,LYMPH
A4FUK,4.234107,2,LYMPH
A549,4.724678,2,LUNG
ABC1,4.922648000000001,2,LUNG
ALLSIL,2.348692,2,LYMPH
AMO1,3.8613720000000002,2,LYMPH
BEN,4.320989000000001,2,LUNG
BL41,2.2214885,2,LYMPH
BV173,1.257662,2,LYMPH
CA46,2.6954295000000004,2,LYMPH
CAL12T,4.121752,2,LUNG
CALU3,5.2059655,2,LUNG
CALU6,4.8050875,2,LUNG
CHAGOK1,4.383293500000001,2,LUNG
CMK,2.970836,1,LYMPH
CMLT1,3.4950375,2,LYMPH
COLO668,4.3103795,2,LUNG
CORL105,5.411218,2,LUNG
CORL23,4.105371,2,LUNG
CORL279,3.7776294999999998,2,LUNG
CORL311,4.408353,1,LUNG
CORL88,5.178145,2,LUNG
CORL95,4.209887,2,LUNG
DAUDI,3.4264405,2,LYMPH
DB,2.1243670000000003,2,LYMPH
DMS114,4.572563000000001,2,LUNG
DMS273,4.5334325,2,LUNG
DMS53,4.589656,2,LUNG
DMS79,4.7402975000000005,2,LUNG
DND41,2.95797,2,LYMPH
DOHH2,2.6602245,2,LYMPH
EBC1,3.7031935,2,LUNG
EHEB,4.314848,1,LYMPH
EJM,4.020414499999999,2,LYMPH
EM2,4.0402215,2,LYMPH
EPLC272H,4.063059,2,LUNG
GA10,2.961983,2,LYMPH
GDM1,3.9763295,2,LYMPH
GRANTA519,4.5306165,2,LYMPH
HARA,4.098246,2,LUNG
HCC15,4.0495605,2,LUNG
HCC33,3.46316,1,LUNG
HCC366,5.343612,2,LUNG
HCC44,3.260985,1,LUNG
HCC78,4.728655,2,LUNG
HCC827,4.7775805,2,LUNG
HDLM2,4.5571855,2,LYMPH
HEL,3.51849,2,LYMPH
HH,4.386677,2,LYMPH
HL60,3.1374375,2,LYMPH
HT,4.0676695,2,LYMPH
IALM,4.3404245,2,LUNG
JEKO1,2.5901795,2,LYMPH
JM1,2.4095085000000003,2,LYMPH
JURKAT,3.0299405,2,LYMPH
JURLMK1,3.9970205,2,LYMPH
JVM2,2.757777,2,LYMPH
JVM3,3.5540345,2,LYMPH
K562,4.5771225,2,LYMPH
KARPAS422,4.3583915,2,LYMPH
KCL22,3.7018645,2,LYMPH
KG1,3.30741,2,LYMPH
KMH2,2.9009590000000003,4,LYMPH
