std,Y,n,tissue
697,0.445007,3,LYMPH
A3KAW,1.122441,3,LYMPH
A4FUK,-0.13293349999999998,2,LYMPH
A549,2.845138,3,LUNG
ABC1,1.5819085,2,LUNG
ALLSIL,-1.043999,2,LYMPH
AMO1,3.5675512993588026,2,LYMPH
BEN,2.5028495830493,2,LUNG
BL41,0.1671675,2,LYMPH
BV173,-1.320653,2,LYMPH
CA46,2.8784845,2,LYMPH
CAL12T,2.7561940000000003,2,LUNG
CALU3,3.7428485,2,LUNG
CALU6,3.456625,2,LUNG
CHAGOK1,3.4925075000000003,2,LUNG
CMK,2.394116,1,LYMPH
CMLT1,-0.764055,3,LYMPH
COLO668,3.0678075,2,LUNG
CORL105,1.96779,2,LUNG
CORL23,3.478729,3,LUNG
CORL279,1.139524,3,LUNG
CORL311,1.677021,1,LUNG
CORL88,2.829132,2,LUNG
CORL95,3.4131650000000002,2,LUNG
DAUDI,2.4508615000000002,2,LYMPH
DB,2.7209965,2,LYMPH
DMS114,2.132363,2,LUNG
DMS273,1.51644829808867,4,LUNG
DMS53,3.216116222422841,3,LUNG
DMS79,4.1001355,2,LUNG
DND41,2.2117465,2,LYMPH
DOHH2,1.611667,3,LYMPH
EBC1,3.861997,3,LUNG
EHEB,3.68725,1,LYMPH
EJM,2.9037265000000003,2,LYMPH
EM2,-1.4406825,2,LYMPH
EPLC272H,2.457256,2,LUNG
GA10,2.063992,2,LYMPH
GDM1,-0.3650215,2,LYMPH
GRANTA519,3.253937,3,LYMPH
HARA,2.216509,3,LUNG
HCC15,2.9293915015879497,4,LUNG
HCC33,1.76572,1,LUNG
HCC366,3.0338445,2,LUNG
HCC44,2.2425665,4,LUNG
HCC78,2.474123,3,LUNG
HCC827,4.4500918224496,3,LUNG
HDLM2,1.9808279999999998,2,LYMPH
HEL,2.38073,3,LYMPH
HH,2.9216405,2,LYMPH
HL60,1.381341,2,LYMPH
HT,3.308597,2,LYMPH
IALM,3.0790105,2,LUNG
JEKO1,0.690037,3,LYMPH
JM1,2.079123,3,LYMPH
JURKAT,2.2966745,2,LYMPH
JURLMK1,-2.1777854999999997,2,LYMPH
JVM2,2.7971335,2,LYMPH
JVM3,0.787934,3,LYMPH
K562,-0.105219,3,LYMPH
KARPAS422,3.0220575,2,LYMPH
KCL22,-0.640064,3,LYMPH
KG1,-0.41346000000000005,2,LYMPH
KMH2,1.993907,5,LYMPH
KMS11,1.3895374999999999,2,LYMPH
KMS12BM,1.421104,2,LYMPH
KNS62,3.752684,2,LUNG
KOPN8,1.036773,3,LYMPH
KU812,-2.1162855,2,LYMPH
L1236,2.7644409999999997,2,LYMPH
L363,2.638242611720872,3,LYMPH
L428,2.219624,2,LYMPH
L540,1.4353120000000001,2,LYMPH
LAMA84,-1.872653,3,LYMPH
LCLC103H,2.986548,4,LUNG
LCLC97TM1,2.1258365,2,LUNG
LOUCY,1.3167285,2,LYMPH
LOUNH91,2.7640075,2,LUNG
LP1,3.0922625000000004,2,LYMPH
LU65,4.3783785,2,LUNG
LXF289,1.656361018715387,4,LUNG
ME1,3.0665815,2,LYMPH
MEG01,-1.332452,3,LYMPH
MHHCALL2,1.4884875,2,LYMPH
MM1S,2.697962,2,LYMPH
MOLM13,0.870549,3,LYMPH
MOLM16,0.8278915,2,LYMPH
MOLP8,1.635527,2,LYMPH
MOLT13,1.0644475,2,LYMPH
MOLT16,0.3542635,2,LYMPH
MONOMAC6,2.1346665,2,LYMPH
NALM6,-0.057645,3,LYMPH
NAMALWA,1.4816075,2,LYMPH
NB4,0.689219,3,LYMPH
NCIH1048,1.66578261818481,4,LUNG
NCIH1092,3.5067000000000004,2,LUNG
NCIH1105,1.5012915,2,LUNG
NCIH1155,0.967616,2,LUNG
NCIH1341,1.6950375,2,LUNG
NCIH1435,3.5785285,2,LUNG
NCIH1436,2.2099855,2,LUNG
NCIH1437,2.8038879999999997,4,LUNG
NCIH146,2.3355955,2,LUNG
NCIH1568,3.745049,2,LUNG
NCIH1623,3.611126,3,LUNG
NCIH1648,3.35714541212361,3,LUNG
NCIH1650,4.7537505,4,LUNG
NCIH1651,3.6765245,2,LUNG
NCIH1781,2.5954655,2,LUNG
NCIH1792,3.481407,3,LUNG
NCIH1793,4.76351,2,LUNG
NCIH1836,3.606099,2,LUNG
NCIH1876,1.2842349999999998,2,LUNG
NCIH1915,3.75639,3,LUNG
NCIH1944,3.2265574541551265,3,LUNG
NCIH196,3.9726875,2,LUNG
NCIH1963,0.9062055,2,LUNG
NCIH1975,3.1004495,4,LUNG
NCIH2009,2.0941333724007216,4,LUNG
NCIH2023,3.63538,1,LUNG
NCIH2029,2.3273435,2,LUNG
NCIH2030,3.399084,4,LUNG
NCIH2066,3.9610119999999998,2,LUNG
NCIH2081,1.275954,2,LUNG
NCIH2085,2.0927475,2,LUNG
NCIH2087,3.406689,3,LUNG
NCIH209,1.2799385,2,LUNG
NCIH211,1.18115,3,LUNG
NCIH2110,2.6420615,2,LUNG
