std,Y,n,tissue
697,0.983197,2,LYMPH
A3KAW,1.9094635,2,LYMPH
A4FUK,3.9079695,2,LYMPH
A549,1.3714875000000002,2,LUNG
ABC1,3.6768910000000004,2,LUNG
ALLSIL,2.5370395,2,LYMPH
AMO1,2.8062435,2,LYMPH
BEN,2.6498850000000003,2,LUNG
BL41,1.761264,2,LYMPH
BV173,1.0015935,2,LYMPH
CA46,2.5948605000000002,2,LYMPH
CAL12T,1.546066,2,LUNG
CALU3,4.0637954999999994,2,LUNG
CALU6,4.179657,2,LUNG
CHAGOK1,3.1114249999999997,2,LUNG
CMK,1.908301,1,LYMPH
CMLT1,1.86909,2,LYMPH
COLO668,4.031673,2,LUNG
CORL105,3.90551,2,LUNG
CORL23,3.3943995,2,LUNG
CORL279,2.4109629999999997,2,LUNG
CORL311,2.565274,1,LUNG
CORL88,4.132624,2,LUNG
CORL95,3.7921650000000002,2,LUNG
DAUDI,2.5639495,2,LYMPH
DB,1.9581425000000001,2,LYMPH
DMS114,2.825508,2,LUNG
DMS273,2.1391545,2,LUNG
DMS53,4.705128,2,LUNG
DMS79,4.009805999999999,2,LUNG
DND41,1.589884,2,LYMPH
DOHH2,1.6632615,2,LYMPH
EBC1,2.087434,2,LUNG
EHEB,1.996282,1,LYMPH
EJM,2.7227935,2,LYMPH
EM2,2.0970880000000003,2,LYMPH
EPLC272H,1.3322455,2,LUNG
GA10,1.4746885,2,LYMPH
GDM1,1.5239310000000001,2,LYMPH
GRANTA519,2.9339535000000003,2,LYMPH
HARA,2.9625285000000003,2,LUNG
HCC15,2.6898465,2,LUNG
HCC33,4.111092,1,LUNG
HCC366,2.1146085,2,LUNG
HCC44,0.603725,1,LUNG
HCC78,3.3468109999999998,2,LUNG
HCC827,2.4348685,2,LUNG
HDLM2,3.3182650000000002,2,LYMPH
HEL,2.1187139999999998,2,LYMPH
HH,1.4877875,2,LYMPH
HL60,0.4357935,2,LYMPH
HT,1.888926,2,LYMPH
IALM,2.332218,2,LUNG
JEKO1,0.5403104999999999,2,LYMPH
JM1,2.2543040000000003,2,LYMPH
JURKAT,2.1124389999999997,2,LYMPH
JURLMK1,2.235808,2,LYMPH
