std,Y,n,tissue
697,0.5054065,2,LYMPH
A3KAW,0.8924974999999999,2,LYMPH
A4FUK,3.5671929999999996,2,LYMPH
A549,1.686107,2,LUNG
ABC1,3.9812339999999997,2,LUNG
ALLSIL,3.3851465000000003,2,LYMPH
AMO1,1.048412,2,LYMPH
BEN,3.8209575000000005,2,LUNG
BL41,3.511749,2,LYMPH
BV173,0.28306749999999997,2,LYMPH
CA46,4.780208,2,LYMPH
CAL12T,3.9083385,2,LUNG
CALU3,5.22048,2,LUNG
CALU6,4.7797695000000004,2,LUNG
CHAGOK1,3.9926705,2,LUNG
CMK,3.399378,1,LYMPH
CMLT1,1.6271935000000002,2,LYMPH
COLO668,5.021295,2,LUNG
CORL105,3.1813205,2,LUNG
CORL23,3.738491,2,LUNG
CORL279,4.6758025,2,LUNG
CORL311,5.337561,1,LUNG
CORL88,5.322666,2,LUNG
CORL95,5.280206,2,LUNG
DAUDI,2.451792,2,LYMPH
DB,3.1492825,2,LYMPH
DMS114,4.795529,2,LUNG
DMS273,4.724743,2,LUNG
DMS53,5.222583,2,LUNG
DMS79,5.0077625,2,LUNG
DND41,4.008326,2,LYMPH
DOHH2,0.31648050000000005,2,LYMPH
EBC1,4.7200585,2,LUNG
EHEB,2.880024,1,LYMPH
EJM,4.380341,2,LYMPH
EM2,4.061418,2,LYMPH
EPLC272H,5.0482569999999996,2,LUNG
GA10,4.2770399999999995,2,LYMPH
GDM1,1.2768819999999999,2,LYMPH
GRANTA519,1.9221374999999998,2,LYMPH
HARA,3.8675705000000002,2,LUNG
HCC15,5.056121,2,LUNG
HCC33,5.32168,1,LUNG
HCC366,5.344211,2,LUNG
HCC44,4.355451,2,LUNG
HCC78,4.564343,2,LUNG
HCC827,4.587244999999999,2,LUNG
HDLM2,4.4556135,2,LYMPH
HEL,3.970392,2,LYMPH
HH,4.67277,2,LYMPH
HL60,3.1890545,2,LYMPH
HT,4.8398185,2,LYMPH
IALM,4.744051499999999,2,LUNG
JEKO1,3.3357155,2,LYMPH
JM1,1.920334,2,LYMPH
JURKAT,3.5106254999999997,2,LYMPH
JURLMK1,3.6165295,2,LYMPH
JVM2,1.6130985,2,LYMPH
JVM3,0.2420255,2,LYMPH
K562,4.4603465,2,LYMPH
KARPAS422,4.69256,2,LYMPH
KCL22,3.8882085,2,LYMPH
KG1,3.6511525,2,LYMPH
KMH2,3.184423,4,LYMPH
KMS11,3.9431439999999998,2,LYMPH
KMS12BM,3.553001,1,LYMPH
KNS62,4.933337,2,LUNG
KOPN8,1.6607675,2,LYMPH
KU812,3.138103,2,LYMPH
L1236,4.1838675,2,LYMPH
L363,3.74521,2,LYMPH
L428,4.638935999999999,2,LYMPH
L540,1.079269,2,LYMPH
LAMA84,3.0180059999999997,2,LYMPH
LCLC103H,3.9293635,2,LUNG
LCLC97TM1,5.0461855,2,LUNG
LOUCY,2.92523,2,LYMPH
LOUNH91,5.5069975,2,LUNG
LP1,4.3539505,2,LYMPH
LU65,4.8481965,2,LUNG
LXF289,4.2922765,2,LUNG
ME1,4.6690995,2,LYMPH
MEG01,4.081717,2,LYMPH
MHHCALL2,2.5323315,2,LYMPH
MM1S,1.4574465,2,LYMPH
MOLM13,0.87836,2,LYMPH
MOLM16,3.9316414999999996,2,LYMPH
MOLP8,2.1637775,2,LYMPH
MOLT13,2.9342755,2,LYMPH
MOLT16,0.005297000000000003,2,LYMPH
MONOMAC6,4.314247,2,LYMPH
NALM6,0.696204,2,LYMPH
NAMALWA,3.990573,2,LYMPH
NB4,3.9046655,2,LYMPH
NCIH1048,4.483079999999999,2,LUNG
NCIH1092,5.184531,2,LUNG
NCIH1105,4.8259405,2,LUNG
NCIH1155,4.010498,2,LUNG
NCIH1341,4.833114,2,LUNG
NCIH1435,4.8987235,2,LUNG
NCIH1436,4.7877615,2,LUNG
NCIH1437,3.7866429999999998,2,LUNG
NCIH146,4.1934025,2,LUNG
NCIH1568,5.7510069999999995,2,LUNG
NCIH1623,5.3295715,2,LUNG
NCIH1648,3.9469695,2,LUNG
NCIH1650,3.957586,2,LUNG
NCIH1651,4.880058,2,LUNG
NCIH1781,5.041546,2,LUNG
NCIH1792,4.525945,2,LUNG
NCIH1793,5.018095499999999,2,LUNG
NCIH1836,5.988602,2,LUNG
NCIH1876,4.823703,2,LUNG
NCIH1915,4.747992,2,LUNG
NCIH1944,2.8199319999999997,2,LUNG
NCIH196,3.8881105000000002,2,LUNG
NCIH1963,4.5778,1,LUNG
NCIH1975,5.1270225,2,LUNG
NCIH2009,5.1064545,2,LUNG
NCIH2023,4.1766495,2,LUNG
NCIH2029,5.137491000000001,2,LUNG
NCIH2030,4.1915785,2,LUNG
NCIH2066,5.5869805,2,LUNG
NCIH2081,4.9932324999999995,2,LUNG
NCIH2085,4.0917275,2,LUNG
NCIH2087,3.9286145,2,LUNG
NCIH209,4.395961,2,LUNG
NCIH211,3.7420985,2,LUNG
NCIH2110,3.9287954999999997,2,LUNG
NCIH2122,2.8311830000000002,2,LUNG
NCIH2170,4.7452995,2,LUNG
NCIH2171,3.731449,1,LUNG
NCIH2172,4.9435195,2,LUNG
NCIH2196,5.876129,1,LUNG
NCIH2227,5.650783499999999,2,LUNG
NCIH2228,5.177238,2,LUNG
NCIH2291,6.2328355,2,LUNG
NCIH23,4.00042,2,LUNG
NCIH2342,5.5662845,2,LUNG
NCIH2347,5.897537,2,LUNG
NCIH2405,6.070629500000001,2,LUNG
NCIH2444,5.8636565,2,LUNG
NCIH292,1.7120525,2,LUNG
NCIH358,4.0294799999999995,2,LUNG
NCIH441,5.5591015,2,LUNG
NCIH446,5.0275495,2,LUNG
NCIH460,1.172301,2,LUNG
NCIH522,4.521843499999999,2,LUNG
NCIH524,3.3821965,2,LUNG
NCIH526,4.55274,2,LUNG
NCIH596,5.8518445,2,LUNG
NCIH647,4.745839999999999,2,LUNG
NCIH650,5.3552795,2,LUNG
NCIH661,3.8634815,2,LUNG
NCIH69,5.5072565,2,LUNG
NCIH727,5.6423765,2,LUNG
NCIH810,4.927453,2,LUNG
NCIH82,4.3781704999999995,2,LUNG
NCIH838,4.8024935,2,LUNG
NCIH841,4.800591,2,LUNG
NCIH929,1.035707,2,LYMPH
NOMO1,3.866078,2,LYMPH
NUDUL1,2.4308975,2,LYMPH
OCIAML2,1.099125,2,LYMPH
OCIAML3,1.1853975,2,LYMPH
OCIAML5,0.573049,2,LYMPH
OCILY19,0.03525149999999999,2,LYMPH
OCIM1,3.8338975,2,LYMPH
OPM2,4.041545,2,LYMPH
P12ICHIKAWA,3.446532,2,LYMPH
P31FUJ,3.7372825,2,LYMPH
PF382,3.53927,2,LYMPH
PL21,3.4625135,2,LYMPH
RAJI,4.160659,2,LYMPH
RCHACV,0.58274,2,LYMPH
REH,1.7734715,2,LYMPH
RERFLCKJ,4.4566965,2,LUNG
RERFLCMS,4.1342065,2,LUNG
RL,4.7310525000000005,2,LYMPH
RPMI8226,3.9001335,2,LYMPH
RPMI8402,3.302108,2,LYMPH
RS411,0.5840805,2,LYMPH
SBC5,4.1339775,2,LUNG
SHP77,3.005535,2,LUNG
SIGM5,3.347913,1,LYMPH
SKLU1,4.680829,2,LUNG
SKM1,3.804437,2,LYMPH
SKMES1,4.7212819999999995,2,LUNG
SKMM2,5.470673,2,LYMPH
ST486,3.803185,2,LYMPH
SUDHL1,4.976861,1,LYMPH
SUDHL10,3.224089,2,LYMPH
SUDHL4,3.6931805,2,LYMPH
SUDHL5,0.7758225000000001,2,LYMPH
SUDHL6,2.9289820000000004,2,LYMPH
SUDHL8,4.314574,2,LYMPH
SUPB15,-0.213287,2,LYMPH
SUPM2,0.7092510000000001,2,LYMPH
SUPT1,4.6441795,2,LYMPH
SW1271,6.044585,2,LUNG
SW1573,4.107855,2,LUNG
THP1,4.7103225,2,LYMPH
WSUDLCL2,3.6845299999999996,2,LYMPH
