std,Y,n,tissue
697,-0.393443,3,LYMPH
A3KAW,-1.100738,3,LYMPH
A4FUK,-1.033722,2,LYMPH
A549,-0.051746212129001753,4,LUNG
ABC1,0.0281010363783541,3,LUNG
ALLSIL,-0.619348,3,LYMPH
AMO1,0.051271,3,LYMPH
BEN,1.313792,3,LUNG
BL41,-1.5717979999999998,2,LYMPH
BV173,-1.565056,3,LYMPH
CA46,0.7210219999999999,2,LYMPH
CAL12T,2.581792,3,LUNG
CALU3,0.940187,2,LUNG
CALU6,0.0127659985948953,3,LUNG
CHAGOK1,0.559239,3,LUNG
CMK,-0.829506,1,LYMPH
CMLT1,-0.889292,3,LYMPH
COLO668,0.0244626792034872,3,LUNG
CORL105,0.5819555341336845,4,LUNG
CORL23,0.8084460158717948,4,LUNG
CORL279,-0.9388895756805191,2,LUNG
CORL311,-2.615421,1,LUNG
CORL88,1.714593,3,LUNG
CORL95,1.373176,1,LUNG
DAUDI,-0.765564,1,LYMPH
DB,1.570919,2,LYMPH
DMS114,-0.188836,1,LUNG
DMS273,0.971902555941945,3,LUNG
DMS53,1.924334,3,LUNG
DMS79,2.330972,2,LUNG
DND41,-0.284384,3,LYMPH
DOHH2,-0.7421062122525853,2,LYMPH
EBC1,-0.6952029822183499,4,LUNG
EHEB,2.359498,1,LYMPH
EJM,2.285215,2,LYMPH
EM2,-2.3557930000000002,2,LYMPH
EPLC272H,-1.559738,1,LUNG
GA10,-0.510532,2,LYMPH
GDM1,-0.47482499999999994,2,LYMPH
GRANTA519,-0.8056798125598423,2,LYMPH
HARA,-0.021050571920564254,4,LUNG
HCC15,0.252138890325671,3,LUNG
HCC33,1.1904150427180507,2,LUNG
HCC366,0.990202049763428,4,LUNG
HCC44,0.07430702956607285,4,LUNG
HCC78,-0.4720413101189533,4,LUNG
HCC827,2.320675,3,LUNG
HDLM2,0.8143275,2,LYMPH
HEL,-1.712346,3,LYMPH
HH,0.7034976637658898,3,LYMPH
HL60,-0.903291,2,LYMPH
HT,0.414716,3,LYMPH
IALM,1.28173524703548,4,LUNG
JEKO1,0.4265207793686096,3,LYMPH
JM1,-0.952903,3,LYMPH
JURKAT,-1.197258,3,LYMPH
JURLMK1,-0.25159143959738217,2,LYMPH
JVM2,-1.1097875,2,LYMPH
JVM3,-1.595292,3,LYMPH
K562,0.545139,3,LYMPH
KARPAS422,1.662741,2,LYMPH
KCL22,-0.76382,3,LYMPH
KG1,0.42033450000000006,2,LYMPH
KMH2,1.273653,5,LYMPH
KMS11,-0.607663,3,LYMPH
KMS12BM,0.004123112105055143,2,LYMPH
KNS62,0.2954372236807317,4,LUNG
KOPN8,0.087633,3,LYMPH
KU812,-0.092304,3,LYMPH
L1236,0.178073,2,LYMPH
L363,-0.802421,3,LYMPH
L428,0.620114,1,LYMPH
L540,-0.3108105,2,LYMPH
LAMA84,0.1703781492208545,3,LYMPH
LCLC103H,0.1053202995039557,3,LUNG
LCLC97TM1,2.453329,1,LUNG
LOUCY,0.32823749999999996,2,LYMPH
LOUNH91,0.33222465015144237,4,LUNG
LP1,0.8071042447534575,3,LYMPH
LU65,1.221673,2,LUNG
LXF289,0.50332621898836,3,LUNG
ME1,2.185073,2,LYMPH
MEG01,0.140964804877661,3,LYMPH
MHHCALL2,0.10172399999999993,2,LYMPH
MM1S,0.3791234390195885,2,LYMPH
MOLM13,-1.511103023282925,2,LYMPH
MOLM16,0.674874,3,LYMPH
MOLP8,-0.831037,2,LYMPH
MOLT13,-1.1499915,2,LYMPH
MOLT16,-1.445999,3,LYMPH
MONOMAC6,-2.041555,3,LYMPH
NALM6,0.133593,3,LYMPH
NAMALWA,-1.0774975,2,LYMPH
NB4,-2.375559,3,LYMPH
NCIH1048,0.2708423233762266,4,LUNG
