std,Y,n,tissue
697,1.4546455,2,LYMPH
A3KAW,2.0087145,2,LYMPH
A4FUK,1.4207875,2,LYMPH
A549,2.187315,2,LUNG
ABC1,2.7620645,2,LUNG
ALLSIL,2.487237,2,LYMPH
AMO1,2.9064745,2,LYMPH
BEN,3.0331345,2,LUNG
BL41,2.0863735,2,LYMPH
BV173,1.920695,2,LYMPH
CA46,3.9589730000000003,2,LYMPH
CAL12T,2.7763970000000002,2,LUNG
CALU3,4.5482305,2,LUNG
CALU6,3.388614,2,LUNG
CHAGOK1,3.090915,2,LUNG
CMK,3.377757,1,LYMPH
CMLT1,3.2261480000000002,2,LYMPH
COLO668,4.7517305,2,LUNG
CORL105,4.893443,2,LUNG
CORL23,3.171089,2,LUNG
CORL279,2.6206690000000004,2,LUNG
CORL311,2.538773,1,LUNG
CORL88,3.4722090000000003,2,LUNG
CORL95,4.0194145,2,LUNG
DAUDI,2.9630625,2,LYMPH
DB,1.8128060000000001,2,LYMPH
DMS114,4.3495574999999995,2,LUNG
DMS273,3.0349215000000003,2,LUNG
DMS53,5.1708955,2,LUNG
DMS79,3.99057,2,LUNG
DND41,3.5284009999999997,2,LYMPH
DOHH2,2.1679155000000003,2,LYMPH
EBC1,4.4905305,2,LUNG
EHEB,4.176016,1,LYMPH
EJM,4.017889,2,LYMPH
EM2,3.196911,2,LYMPH
EPLC272H,2.6048904999999998,2,LUNG
GA10,2.040688,2,LYMPH
GDM1,2.7163899999999996,2,LYMPH
GRANTA519,3.580642,2,LYMPH
HARA,3.0445355,2,LUNG
HCC15,2.82631,2,LUNG
HCC33,2.712832,1,LUNG
HCC366,3.679232,2,LUNG
HCC44,3.3661060000000003,2,LUNG
HCC78,4.124534,2,LUNG
HCC827,4.942662,2,LUNG
HDLM2,2.9902555,2,LYMPH
HEL,2.4577265,2,LYMPH
HH,4.495928,2,LYMPH
HL60,4.1614059999999995,2,LYMPH
HT,3.51832,2,LYMPH
IALM,4.3115195,2,LUNG
JEKO1,1.965811,2,LYMPH
JM1,2.3770165,2,LYMPH
JURKAT,2.8857825000000004,2,LYMPH
JURLMK1,2.895285,2,LYMPH
JVM2,3.3386614999999997,2,LYMPH
JVM3,2.545791,1,LYMPH
K562,3.644561,2,LYMPH
KARPAS422,3.5270850000000005,2,LYMPH
KCL22,2.8841415,2,LYMPH
KG1,2.9593125000000002,2,LYMPH
KMH2,1.5801065,4,LYMPH
KMS11,2.6291175,2,LYMPH
KMS12BM,0.708668,1,LYMPH
KNS62,4.4022065,2,LUNG
KOPN8,2.2607485,2,LYMPH
KU812,3.2755265,2,LYMPH
L1236,2.247911,2,LYMPH
L363,2.731891,2,LYMPH
L428,3.0294605,2,LYMPH
L540,2.4014115,2,LYMPH
LAMA84,2.5913035,2,LYMPH
LCLC103H,3.8982720000000004,2,LUNG
LCLC97TM1,3.1096885,2,LUNG
LOUCY,2.8242279999999997,2,LYMPH
LOUNH91,3.799442,2,LUNG
LP1,3.707199,2,LYMPH
LU65,4.944787,2,LUNG
LXF289,1.8377265,2,LUNG
ME1,4.1475645,2,LYMPH
MEG01,2.9752875000000003,2,LYMPH
MHHCALL2,2.657007,2,LYMPH
MM1S,3.023233,2,LYMPH
MOLM13,1.608522,2,LYMPH
MOLM16,1.0291165,2,LYMPH
MOLP8,2.9567575,2,LYMPH
MOLT13,2.4759665,2,LYMPH
MOLT16,1.7039149999999998,2,LYMPH
MONOMAC6,3.1839614999999997,2,LYMPH
NALM6,2.4104885,2,LYMPH
NAMALWA,2.718851,2,LYMPH
NB4,1.678927,2,LYMPH
