std,Y,n,tissue
697,1.0376379999999998,2,LYMPH
A3KAW,0.6175805,2,LYMPH
A4FUK,1.868255,2,LYMPH
A549,2.4490610000000004,2,LUNG
ABC1,3.288692,3,LUNG
ALLSIL,2.6081895,2,LYMPH
AMO1,1.9860200000000001,2,LYMPH
BEN,2.156833,3,LUNG
BL41,1.5862985,2,LYMPH
BV173,2.166957,2,LYMPH
CA46,2.3033035,2,LYMPH
CAL12T,2.759691,3,LUNG
CALU3,3.6335625,2,LUNG
CALU6,4.538899,3,LUNG
CHAGOK1,4.282499,2,LUNG
CMK,1.124476,1,LYMPH
CMLT1,3.7088080000000003,2,LYMPH
COLO668,3.994058,3,LUNG
CORL105,2.47041724027687,3,LUNG
CORL23,3.324864,3,LUNG
CORL279,2.7511405,2,LUNG
CORL311,4.802606,1,LUNG
CORL88,4.7443685,2,LUNG
CORL95,4.991484,2,LUNG
DAUDI,1.8723025,2,LYMPH
DB,2.518835,2,LYMPH
DMS114,2.9078150000000003,2,LUNG
DMS273,3.51919,3,LUNG
DMS53,3.8804264999999996,2,LUNG
DMS79,4.5460709999999995,2,LUNG
DND41,2.649264,2,LYMPH
DOHH2,2.567075,1,LYMPH
EBC1,1.0924978127101,3,LUNG
EHEB,5.086563,1,LYMPH
EJM,3.0003095,2,LYMPH
EM2,2.136275,2,LYMPH
EPLC272H,2.1243785,2,LUNG
GA10,1.7492079999999999,2,LYMPH
GDM1,2.343647,2,LYMPH
GRANTA519,4.555982,2,LYMPH
HARA,1.948245,3,LUNG
HCC15,2.230704,3,LUNG
HCC33,4.152022,1,LUNG
HCC366,3.038783,3,LUNG
HCC44,1.555199993729325,2,LUNG
HCC78,1.93454454295728,3,LUNG
HCC827,4.053022,3,LUNG
HDLM2,2.8207880000000003,2,LYMPH
HEL,1.801632,2,LYMPH
HH,1.686389,2,LYMPH
HL60,2.1486945,2,LYMPH
HT,2.773225,2,LYMPH
IALM,2.61334582702048,3,LUNG
JEKO1,2.4595325,2,LYMPH
JM1,2.0173645000000002,2,LYMPH
JURKAT,2.60951,2,LYMPH
JURLMK1,3.1401995,2,LYMPH
JVM2,1.6062675,2,LYMPH
JVM3,1.9196719999999998,2,LYMPH
K562,3.012224,2,LYMPH
KARPAS422,2.744367,2,LYMPH
KCL22,2.9875785,2,LYMPH
KG1,2.1202235,2,LYMPH
KMH2,3.657126,4,LYMPH
KMS11,1.633817,2,LYMPH
KMS12BM,1.673449,1,LYMPH
KNS62,2.4875475,2,LUNG
KOPN8,2.136021,2,LYMPH
KU812,2.012235,2,LYMPH
L1236,2.261313,2,LYMPH
L363,2.208926,2,LYMPH
L428,3.6949245,2,LYMPH
L540,2.028295,2,LYMPH
LAMA84,3.923335,2,LYMPH
LCLC103H,3.658807,3,LUNG
LCLC97TM1,2.6778485,2,LUNG
LOUCY,2.2958765,2,LYMPH
LOUNH91,2.667952,3,LUNG
LP1,3.0009025,2,LYMPH
LU65,5.412847,2,LUNG
LXF289,2.574511,3,LUNG
ME1,3.507953,2,LYMPH
MEG01,1.9993905,2,LYMPH
MHHCALL2,3.772916,2,LYMPH
MM1S,2.584178,1,LYMPH
MOLM13,1.6035665,2,LYMPH
MOLM16,1.082962,2,LYMPH
MOLP8,1.8346,2,LYMPH
MOLT13,1.3452055,2,LYMPH
MOLT16,1.6529205,2,LYMPH
MONOMAC6,1.5459765,2,LYMPH
NALM6,2.0551399999999997,2,LYMPH
NAMALWA,1.884873,2,LYMPH
NB4,0.9370115,2,LYMPH
NCIH1048,4.083115,2,LUNG
NCIH1092,5.4825895,2,LUNG
NCIH1105,3.5464525,2,LUNG
NCIH1155,3.6002,2,LUNG
NCIH1341,2.918497,2,LUNG
NCIH1435,3.3208435,2,LUNG
NCIH1436,4.112109,2,LUNG
NCIH1437,3.09012,3,LUNG
NCIH146,3.3646529999999997,2,LUNG
NCIH1568,2.259608,3,LUNG
NCIH1623,5.251211,2,LUNG
NCIH1648,3.853156,3,LUNG
NCIH1650,3.593589,3,LUNG
NCIH1651,3.922622,3,LUNG
NCIH1781,4.512916499999999,2,LUNG
NCIH1792,2.284806,3,LUNG
NCIH1793,5.9927675,2,LUNG
NCIH1836,4.591366000000001,2,LUNG
NCIH1876,3.7459795000000002,2,LUNG
NCIH1915,3.477117,3,LUNG
NCIH1944,1.560322,3,LUNG
NCIH196,4.6546585,2,LUNG
NCIH1963,3.143389,1,LUNG
NCIH1975,3.285974,3,LUNG
NCIH2009,3.118281,3,LUNG
NCIH2023,3.012328,3,LUNG
NCIH2029,4.981089,2,LUNG
NCIH2030,2.832569,3,LUNG
NCIH2066,5.0098955,2,LUNG
NCIH2081,3.69251,2,LUNG
NCIH2085,4.5984525000000005,2,LUNG
NCIH2087,2.546115,3,LUNG
NCIH209,3.43983,2,LUNG
NCIH211,2.162381,1,LUNG
NCIH2110,3.131207,3,LUNG
NCIH2122,3.259209,3,LUNG
