std,Y,n,tissue
697,2.139685,3,LYMPH
A3KAW,2.658135,3,LYMPH
A4FUK,2.983397,3,LYMPH
A549,3.442151,4,LUNG
ABC1,4.865682,4,LUNG
ALLSIL,3.146002,3,LYMPH
AMO1,4.220817,3,LYMPH
BEN,5.7432735,4,LUNG
BL41,3.527897,3,LYMPH
BV173,2.994426,3,LYMPH
CA46,4.129933,3,LYMPH
CAL12T,2.460552,4,LUNG
CALU3,5.307162,3,LUNG
CALU6,3.0373395,4,LUNG
CHAGOK1,3.772551,3,LUNG
CMK,3.4318225,2,LYMPH
CMLT1,2.526235,3,LYMPH
COLO668,4.922051,3,LUNG
CORL105,4.1535779999999995,4,LUNG
CORL23,3.4418215,4,LUNG
CORL279,3.687553,3,LUNG
CORL311,4.752856,1,LUNG
CORL88,5.168891,3,LUNG
CORL95,5.2715815,2,LUNG
DAUDI,4.408512,3,LYMPH
DB,2.667481,3,LYMPH
DMS114,5.150367,3,LUNG
DMS273,4.269549,3,LUNG
DMS53,4.870926,3,LUNG
DMS79,4.954064,3,LUNG
DND41,4.329945,3,LYMPH
DOHH2,2.6095680000000003,2,LYMPH
EBC1,2.5418695,4,LUNG
EHEB,4.388335,2,LYMPH
EJM,4.521432,3,LYMPH
EM2,3.408915,3,LYMPH
EPLC272H,4.301421,3,LUNG
GA10,3.570586,3,LYMPH
GDM1,4.377754,3,LYMPH
GRANTA519,4.547577,3,LYMPH
HARA,3.869886,4,LUNG
HCC15,3.0177055,4,LUNG
HCC33,3.918038,1,LUNG
HCC366,4.159909,4,LUNG
HCC44,3.6734055000000003,4,LUNG
HCC78,5.034547,4,LUNG
HCC827,2.747434,4,LUNG
HDLM2,3.367599,3,LYMPH
HEL,3.14501,3,LYMPH
HH,3.750872,3,LYMPH
HL60,4.560888,3,LYMPH
HT,3.80064,3,LYMPH
IALM,3.536983,4,LUNG
JEKO1,3.049386,3,LYMPH
JM1,4.074923,3,LYMPH
JURKAT,3.134162,3,LYMPH
JURLMK1,3.341876,3,LYMPH
JVM2,2.829667,3,LYMPH
JVM3,2.008537,3,LYMPH
K562,3.887322,3,LYMPH
KARPAS422,4.828166,3,LYMPH
KCL22,3.884513,3,LYMPH
KG1,2.719265,3,LYMPH
KMH2,4.073491499999999,6,LYMPH
KMS11,4.175826,3,LYMPH
KMS12BM,3.197517,1,LYMPH
KNS62,2.751845,3,LUNG
KOPN8,3.649302,3,LYMPH
KU812,2.961408,3,LYMPH
L1236,4.006654,3,LYMPH
L363,3.313212,3,LYMPH
L428,3.865488,3,LYMPH
L540,3.361045,3,LYMPH
LAMA84,2.339748,3,LYMPH
LCLC103H,3.8862455000000002,4,LUNG
LCLC97TM1,2.779907,3,LUNG
LOUCY,3.229541,3,LYMPH
LOUNH91,4.7792325,4,LUNG
LP1,3.340819,3,LYMPH
LU65,5.194915,3,LUNG
LXF289,3.2282935000000004,4,LUNG
ME1,4.941098,3,LYMPH
MEG01,3.11098,3,LYMPH
MHHCALL2,3.29576,3,LYMPH
MM1S,4.443118,2,LYMPH
MOLM13,3.592493,3,LYMPH
MOLM16,1.835544,3,LYMPH
MOLP8,4.931414,3,LYMPH
MOLT13,3.92373,3,LYMPH
MOLT16,2.561105,3,LYMPH
MONOMAC6,2.738747,3,LYMPH
NALM6,3.485868,3,LYMPH
NAMALWA,3.424791,3,LYMPH
NB4,3.312396,3,LYMPH
NCIH1048,3.5517364999999996,4,LUNG
NCIH1092,5.131643,3,LUNG
NCIH1105,4.735437,3,LUNG
NCIH1155,4.583544,3,LUNG
NCIH1341,4.162496,3,LUNG
NCIH1435,4.542120000000001,4,LUNG
NCIH1436,4.293839,3,LUNG
NCIH1437,4.3909585,4,LUNG
NCIH146,3.484514,3,LUNG
NCIH1568,4.315633,4,LUNG
NCIH1623,5.529329000000001,4,LUNG
NCIH1648,2.7097775,4,LUNG
NCIH1650,5.378776,3,LUNG
NCIH1651,4.4579825,4,LUNG
NCIH1781,4.435152,3,LUNG
NCIH1792,3.383398,4,LUNG
NCIH1793,5.533648,3,LUNG
NCIH1836,5.2066,3,LUNG
NCIH1876,3.944298,3,LUNG
NCIH1915,3.426775,4,LUNG
NCIH1944,4.441686499999999,4,LUNG
NCIH196,5.000897,3,LUNG
NCIH1963,4.953087,1,LUNG
NCIH1975,4.0414544999999995,4,LUNG
NCIH2009,3.259212864992185,4,LUNG
NCIH2023,4.1007925,4,LUNG
NCIH2029,5.073337,3,LUNG
NCIH2030,3.2761325,4,LUNG
NCIH2066,5.790405,3,LUNG
NCIH2081,4.953409,3,LUNG
NCIH2085,5.086943,3,LUNG
NCIH2087,4.001265500000001,4,LUNG
NCIH209,2.746475,3,LUNG
NCIH211,4.251676,3,LUNG
NCIH2110,3.6461215,4,LUNG
NCIH2122,2.5458024999999997,4,LUNG
NCIH2170,4.121221,4,LUNG
NCIH2171,3.459335,1,LUNG
NCIH2172,5.112327499999999,4,LUNG
NCIH2196,4.593579,1,LUNG
NCIH2227,4.458782,3,LUNG
NCIH2228,3.9101615,4,LUNG
NCIH2291,5.816342,3,LUNG
NCIH23,4.5468185000000005,4,LUNG
NCIH2342,4.251834,3,LUNG
NCIH2347,5.0825344999999995,4,LUNG
NCIH2405,4.74744,3,LUNG
NCIH2444,5.2954725,4,LUNG
NCIH292,4.228258,4,LUNG
NCIH358,2.8613185000000003,4,LUNG
NCIH441,5.169406,3,LUNG
NCIH446,3.2311765,4,LUNG
NCIH460,3.5067225,4,LUNG
NCIH522,4.1307575,4,LUNG
NCIH524,3.587607,3,LUNG
NCIH526,3.484472,3,LUNG
NCIH596,4.952596,4,LUNG
NCIH647,2.5096,3,LUNG
NCIH650,4.195916,4,LUNG
NCIH661,4.4278495,4,LUNG
NCIH69,4.38155,3,LUNG
NCIH727,4.65702,3,LUNG
NCIH810,4.483374,3,LUNG
NCIH82,2.810835,3,LUNG
NCIH838,4.847987,3,LUNG
NCIH841,4.4076265,4,LUNG
NCIH929,3.894149,3,LYMPH
NOMO1,4.885145,3,LYMPH
NUDUL1,3.23021,3,LYMPH
OCIAML2,3.4396,3,LYMPH
OCIAML3,4.458111,3,LYMPH
OCIAML5,4.490587,3,LYMPH
OCILY19,2.919956,3,LYMPH
OCIM1,3.709339,3,LYMPH
OPM2,4.549157,3,LYMPH
P12ICHIKAWA,3.412353,3,LYMPH
P31FUJ,3.872775,3,LYMPH
PF382,3.843293,3,LYMPH
PL21,3.84927,3,LYMPH
RAJI,4.242185,3,LYMPH
RCHACV,2.978438,3,LYMPH
REH,3.61206,3,LYMPH
RERFLCKJ,4.575979500000001,4,LUNG
RERFLCMS,3.466059,3,LUNG
RL,3.788437,3,LYMPH
RPMI8226,4.244241,3,LYMPH
RPMI8402,3.848788,3,LYMPH
RS411,2.998746,3,LYMPH
SBC5,4.8065845,4,LUNG
SHP77,4.374702,3,LUNG
SIGM5,2.205389,1,LYMPH
SKLU1,3.0650494999999998,4,LUNG
SKM1,4.670437,3,LYMPH
SKMES1,2.8900965,4,LUNG
SKMM2,5.174737,3,LYMPH
ST486,3.598838,3,LYMPH
SUDHL1,3.81273,1,LYMPH
SUDHL10,2.678574,3,LYMPH
SUDHL4,3.664966,3,LYMPH
SUDHL5,3.349768,3,LYMPH
SUDHL6,2.893712,3,LYMPH
SUDHL8,4.197164,3,LYMPH
SUPB15,4.241667,2,LYMPH
SUPM2,3.304878,3,LYMPH
SUPT1,3.807848,3,LYMPH
SW1271,3.729392,4,LUNG
SW1573,4.599558,4,LUNG
THP1,4.307587,3,LYMPH
WSUDLCL2,3.2134375,2,LYMPH
