std,Y,n,tissue
697,-3.48781,3,LYMPH
A3KAW,0.0630934165526373,3,LYMPH
A4FUK,1.743175,2,LYMPH
A549,1.18074862791117,5,LUNG
ABC1,3.531963,4,LUNG
ALLSIL,0.6905895,2,LYMPH
AMO1,3.5991025,2,LYMPH
BEN,3.547071,3,LUNG
BL41,0.2167115,2,LYMPH
BV173,-1.735235,3,LYMPH
CA46,3.7910325,2,LYMPH
CAL12T,4.74101689886806,3,LUNG
CALU3,3.188421,2,LUNG
CALU6,0.0078187173073364,5,LUNG
CHAGOK1,3.599873,2,LUNG
CMK,0.525712,1,LYMPH
CMLT1,-1.695514,3,LYMPH
COLO668,0.156428576889482,4,LUNG
CORL105,4.641374,2,LUNG
CORL23,0.597638829151856,5,LUNG
CORL279,-1.032977,2,LUNG
CORL311,0.631793,1,LUNG
CORL88,4.287562,2,LUNG
CORL95,3.271356,1,LUNG
DAUDI,1.311829,2,LYMPH
DB,2.355109,2,LYMPH
DMS114,2.8425995,2,LUNG
DMS273,0.0572863585986916,5,LUNG
DMS53,1.268716,3,LUNG
DMS79,0.735422,2,LUNG
DND41,0.8253024700209366,3,LYMPH
DOHH2,-2.402887371600222,2,LYMPH
EBC1,2.114865,5,LUNG
EHEB,2.515966,1,LYMPH
EJM,4.647781999999999,2,LYMPH
EM2,1.8864595,2,LYMPH
EPLC272H,3.0663145,2,LUNG
GA10,1.706461,2,LYMPH
GDM1,3.0527889999999998,2,LYMPH
GRANTA519,0.1938588479406712,3,LYMPH
HARA,0.8372720341332015,4,LUNG
HCC15,1.781953145975393,4,LUNG
HCC33,4.639098,1,LUNG
HCC366,0.846905409539143,5,LUNG
HCC44,0.1308181559672925,5,LUNG
HCC78,0.3043714030235184,5,LUNG
HCC827,2.054583095003127,4,LUNG
HDLM2,3.3904985,2,LYMPH
HEL,0.2155987884324017,3,LYMPH
HH,4.841253289381759,3,LYMPH
HL60,1.9510955,2,LYMPH
HT,0.0220731314612242,3,LYMPH
IALM,4.84232888416936,5,LUNG
JEKO1,0.941055,3,LYMPH
JM1,0.055935,3,LYMPH
JURKAT,0.5473105645688748,3,LYMPH
JURLMK1,0.4437456249932094,2,LYMPH
JVM2,-0.244806,2,LYMPH
JVM3,0.0767811402935873,3,LYMPH
K562,3.606635,3,LYMPH
KARPAS422,4.5327395,2,LYMPH
KCL22,2.196708,3,LYMPH
KG1,2.5875280000000003,2,LYMPH
KMH2,1.512183,5,LYMPH
KMS11,3.2543189999999997,2,LYMPH
KMS12BM,2.0370677344108423,2,LYMPH
KNS62,2.842182266258718,4,LUNG
KOPN8,-0.667081,3,LYMPH
KU812,1.2809665,2,LYMPH
L1236,3.667045,2,LYMPH
L363,3.450499,3,LYMPH
L428,2.367985,2,LYMPH
L540,-0.0033155000000000268,2,LYMPH
LAMA84,2.288695,3,LYMPH
LCLC103H,0.5925946216008843,5,LUNG
LCLC97TM1,3.4009765,2,LUNG
LOUCY,4.058651,2,LYMPH
LOUNH91,1.3762776890304675,5,LUNG
LP1,4.301326,3,LYMPH
LU65,4.2231335,2,LUNG
LXF289,0.0564528009399927,5,LUNG
ME1,4.016728,2,LYMPH
MEG01,1.899343,3,LYMPH
MHHCALL2,1.9194375,2,LYMPH
MM1S,1.330904,1,LYMPH
MOLM13,0.1364264752551409,3,LYMPH
MOLM16,1.7782780000000002,2,LYMPH
MOLP8,1.296351,2,LYMPH
MOLT13,1.717268,2,LYMPH
MOLT16,-1.5258090000000002,2,LYMPH
MONOMAC6,0.862382,2,LYMPH
NALM6,0.0227344930151589,3,LYMPH
NAMALWA,-0.5117675,2,LYMPH
NB4,0.0365527499970085,3,LYMPH
NCIH1048,0.0030440805336855,5,LUNG
NCIH1092,3.619221,3,LUNG
NCIH1105,0.8031665000000001,2,LUNG
NCIH1155,0.5743524999999999,2,LUNG
NCIH1341,1.251911,3,LUNG
NCIH1435,5.136663,2,LUNG
NCIH1436,4.5051955,2,LUNG
NCIH1437,0.0932568227992242,5,LUNG
NCIH146,2.612655,2,LUNG
NCIH1568,2.640388,5,LUNG
NCIH1623,0.0045585462889419,5,LUNG
NCIH1648,1.5593921880977717,4,LUNG
NCIH1650,2.311863921768114,2,LUNG
NCIH1651,0.002497681643705,5,LUNG
NCIH1781,-1.893034,2,LUNG
NCIH1792,0.0071937893110481,5,LUNG
NCIH1793,4.036349,3,LUNG
NCIH1836,5.052521499999999,2,LUNG
NCIH1876,-2.687088,3,LUNG
NCIH1915,1.565671,5,LUNG
NCIH1944,0.131554113724582,5,LUNG
NCIH196,3.15800389131061,2,LUNG
NCIH1963,3.405869,1,LUNG
NCIH1975,0.205306012761794,5,LUNG
NCIH2009,0.0333387589352325,5,LUNG
NCIH2023,0.554441750111179,5,LUNG
NCIH2029,4.2852654999999995,2,LUNG
NCIH2030,1.391653,5,LUNG
NCIH2066,5.0406865,2,LUNG
NCIH2081,2.535559,2,LUNG
NCIH2085,4.397261,2,LUNG
