std,Y,n,tissue
697,0.510099,1,LYMPH
A3KAW,-0.0835125757023249,2,LYMPH
A4FUK,-2.676455,2,LYMPH
A549,-1.5725112006360291,4,LUNG
ABC1,2.69663315283335,3,LUNG
ALLSIL,1.439883,3,LYMPH
AMO1,-0.181003,3,LYMPH
BEN,2.781388,2,LUNG
BL41,1.1942775,2,LYMPH
BV173,-1.840033,3,LYMPH
CA46,2.0720655,2,LYMPH
CAL12T,-0.102578,3,LUNG
CALU3,-0.343497,2,LUNG
CALU6,-1.69224196341593,4,LUNG
CHAGOK1,2.612658,2,LUNG
CMK,0.723431,1,LYMPH
CMLT1,-0.517146,3,LYMPH
COLO668,2.6884080846420746,4,LUNG
CORL105,-0.8996324909948542,4,LUNG
CORL23,0.11571499885383024,4,LUNG
CORL279,1.9259715000000002,2,LUNG
CORL311,3.006348,1,LUNG
CORL88,2.8718705,2,LUNG
CORL95,2.869375,2,LUNG
DAUDI,1.914541,2,LYMPH
DB,1.4635500000000001,2,LYMPH
DMS114,1.0139035,2,LUNG
DMS273,1.916787,2,LUNG
DMS53,0.338859,3,LUNG
DMS79,2.6327949999999998,2,LUNG
DND41,-0.7975399999999999,2,LYMPH
DOHH2,0.8057878337163458,2,LYMPH
EBC1,-1.8755230740934634,4,LUNG
EHEB,0.026814,1,LYMPH
EJM,2.04012,2,LYMPH
EM2,-0.975435,3,LYMPH
EPLC272H,-2.8177719999999997,2,LUNG
GA10,1.556638,2,LYMPH
GDM1,0.5748665,2,LYMPH
GRANTA519,2.060421469018637,3,LYMPH
HARA,-0.10663184209220675,4,LUNG
HCC15,-2.9562855,2,LUNG
HCC33,2.858551,1,LUNG
HCC366,1.7084789999999999,2,LUNG
HCC44,-2.292492,3,LUNG
HCC78,0.5355073925644622,4,LUNG
HCC827,1.12587449541802,4,LUNG
HDLM2,2.1646004999999997,2,LYMPH
HEL,1.6351740000000001,2,LYMPH
HH,2.7754839999999996,2,LYMPH
HL60,-3.320144,1,LYMPH
HT,0.914332,3,LYMPH
IALM,0.9863875,2,LUNG
JEKO1,2.258939,2,LYMPH
JM1,1.381173,2,LYMPH
JURKAT,1.751179,2,LYMPH
JURLMK1,-4.589414,3,LYMPH
JVM2,0.6348975,2,LYMPH
JVM3,-0.240665,3,LYMPH
K562,0.0295096967060806,3,LYMPH
KARPAS422,2.1994594999999997,2,LYMPH
KCL22,-1.12057,3,LYMPH
KG1,0.24519449999999998,2,LYMPH
KMH2,-0.959387,4,LYMPH
KMS11,0.678658,2,LYMPH
KMS12BM,1.768844,1,LYMPH
KNS62,-0.7239575359692989,4,LUNG
KOPN8,0.0255948749190218,3,LYMPH
KU812,-5.54359,2,LYMPH
L1236,2.1967239999999997,2,LYMPH
L363,1.511912,3,LYMPH
L428,2.4244060000000003,2,LYMPH
L540,2.555146,2,LYMPH
LAMA84,0.0153165030700863,3,LYMPH
LCLC103H,3.35270566213792,3,LUNG
LCLC97TM1,-3.3901019999999997,2,LUNG
LOUCY,0.7244065,2,LYMPH
LOUNH91,0.8181126936528494,4,LUNG
LP1,1.942341,3,LYMPH
LU65,-1.752045,2,LUNG
LXF289,0.24665189708978552,4,LUNG
ME1,0.1157485,2,LYMPH
MEG01,-3.189586,3,LYMPH
MHHCALL2,1.5755755,2,LYMPH
MM1S,0.737846,1,LYMPH
MOLM13,-2.907633,3,LYMPH
MOLM16,-0.639743,2,LYMPH
MOLP8,-0.464498,1,LYMPH
MOLT13,-3.0445475,2,LYMPH
MOLT16,0.462486,2,LYMPH
MONOMAC6,-0.8785495,2,LYMPH
NALM6,0.930572,2,LYMPH
NAMALWA,2.061216,2,LYMPH
NB4,-5.629967,3,LYMPH
NCIH1048,0.9158180970712521,4,LUNG
NCIH1092,2.583422,3,LUNG
NCIH1105,2.267303,2,LUNG
NCIH1155,1.8234765,2,LUNG
NCIH1341,0.8696050000000001,2,LUNG
NCIH1435,2.067578,3,LUNG
NCIH1436,2.5155495,2,LUNG
NCIH1437,-3.142928,3,LUNG
NCIH146,2.1562210000000004,2,LUNG
NCIH1568,1.724279339274385,4,LUNG
NCIH1623,-0.234914,3,LUNG
NCIH1648,-0.49318114278838027,4,LUNG
NCIH1650,2.7059227744788,2,LUNG
NCIH1651,1.6300605,2,LUNG
NCIH1781,0.3275055,2,LUNG
NCIH1792,-1.1644765108500603,4,LUNG
NCIH1793,0.097927244927593,3,LUNG
NCIH1836,3.1611494999999996,2,LUNG
NCIH1876,1.9129395,2,LUNG
NCIH1915,-1.0567555888622817,4,LUNG
NCIH1944,-0.18420151265715465,4,LUNG
NCIH196,2.7592860000000003,2,LUNG
NCIH1963,1.759634,1,LUNG
NCIH1975,-0.830559,3,LUNG
NCIH2009,-0.952856955442352,4,LUNG
NCIH2023,0.429118,3,LUNG
NCIH2029,2.042407,2,LUNG
NCIH2030,-0.24724833702956533,4,LUNG
NCIH2066,2.3952785,2,LUNG
NCIH2081,2.7859735,2,LUNG
NCIH2085,1.244098,2,LUNG
NCIH2087,-0.8508210645580819,4,LUNG
NCIH209,1.404227,2,LUNG
NCIH211,0.697494,3,LUNG
NCIH2110,-0.223175035465848,4,LUNG
NCIH2122,-1.965911543311211,4,LUNG
NCIH2170,3.914326,3,LUNG
NCIH2171,2.126234,1,LUNG
NCIH2172,1.032149,3,LUNG
NCIH2196,2.796905,1,LUNG
NCIH2227,0.571707,2,LUNG
NCIH2228,0.273401776063477,3,LUNG
NCIH2291,-4.616305499999999,2,LUNG
NCIH23,0.26336121984081756,4,LUNG
NCIH2342,1.9375835000000001,2,LUNG
NCIH2347,0.02816766122807735,4,LUNG
NCIH2405,-2.0289165000000002,2,LUNG
NCIH2444,0.313879013639375,4,LUNG
NCIH292,-1.8810019837916352,4,LUNG
NCIH358,-1.087430288441725,4,LUNG
NCIH441,0.8095871638373376,3,LUNG
NCIH446,1.5607405,2,LUNG
NCIH460,-0.13415867845795962,4,LUNG
NCIH522,1.331201,2,LUNG
NCIH524,2.288459,3,LUNG
NCIH526,2.572064,2,LUNG
NCIH596,0.3021567264647145,4,LUNG
NCIH647,0.765838,3,LUNG
NCIH650,0.3148573345340653,3,LUNG
NCIH661,1.1344625000000002,2,LUNG
NCIH69,2.864203,2,LUNG
NCIH727,-3.868489,3,LUNG
NCIH810,2.5014915,2,LUNG
NCIH82,2.6035335,2,LUNG
NCIH838,0.14695,3,LUNG
NCIH841,1.1651500000000001,2,LUNG
NCIH929,-3.8262485,2,LYMPH
NOMO1,-2.000136486353272,2,LYMPH
NUDUL1,1.2304055,2,LYMPH
OCIAML2,-6.62275,3,LYMPH
OCIAML3,-5.920936,2,LYMPH
OCIAML5,-2.639715,3,LYMPH
OCILY19,-0.209097,3,LYMPH
OCIM1,0.190993,3,LYMPH
OPM2,0.5325915,2,LYMPH
P12ICHIKAWA,0.501687,3,LYMPH
P31FUJ,-1.286109,1,LYMPH
PF382,0.89383,3,LYMPH
PL21,-2.008627,3,LYMPH
RAJI,1.679262,2,LYMPH
RCHACV,1.426761,2,LYMPH
REH,1.427396,2,LYMPH
RERFLCKJ,1.4702785,2,LUNG
RERFLCMS,-1.860748,3,LUNG
RL,1.7791515,2,LYMPH
RPMI8226,-0.111238,2,LYMPH
RPMI8402,1.668996,2,LYMPH
RS411,1.6200235,2,LYMPH
SBC5,0.781977,3,LUNG
SHP77,1.445027,3,LUNG
SIGM5,1.701799,1,LYMPH
SKLU1,-0.21268146014898365,4,LUNG
SKM1,-4.869623,3,LYMPH
SKMES1,-1.170242,3,LUNG
SKMM2,3.3202745,2,LYMPH
ST486,1.4234035,2,LYMPH
SUDHL1,-0.5083430965420479,2,LYMPH
SUDHL10,1.003066,2,LYMPH
SUDHL4,1.2602855,2,LYMPH
SUDHL5,0.459576,1,LYMPH
SUDHL6,1.0246255,2,LYMPH
SUDHL8,0.9102595,2,LYMPH
SUPB15,-0.395416,1,LYMPH
SUPM2,0.18683349999999999,2,LYMPH
SUPT1,2.7225795,2,LYMPH
SW1271,0.3447138072557046,4,LUNG
SW1573,0.818493569831585,3,LUNG
THP1,0.729762,3,LYMPH
WSUDLCL2,0.0257325221406636,3,LYMPH
