std,Y,n,tissue
697,-0.9059385,2,LYMPH
A3KAW,-0.7043225,2,LYMPH
A4FUK,0.7652465,2,LYMPH
A549,1.5073015,2,LUNG
ABC1,2.6261894999999997,2,LUNG
ALLSIL,0.17643749999999997,2,LYMPH
AMO1,1.618187,2,LYMPH
BEN,2.209288,2,LUNG
BL41,0.021542,2,LYMPH
BV173,-0.704731,2,LYMPH
CA46,1.8508205000000002,2,LYMPH
CAL12T,1.0045645,2,LUNG
CALU3,3.375629,2,LUNG
CALU6,1.3668605,2,LUNG
CHAGOK1,3.1852345,2,LUNG
CMK,0.06447,1,LYMPH
CMLT1,-0.077557,2,LYMPH
COLO668,2.6630385,2,LUNG
CORL105,2.9416789999999997,2,LUNG
CORL23,0.795536,2,LUNG
CORL279,2.0183530000000003,2,LUNG
CORL311,2.838896,1,LUNG
CORL88,3.3494345,2,LUNG
CORL95,4.325371,1,LUNG
DAUDI,1.314819,2,LYMPH
DB,1.677797,2,LYMPH
DMS114,2.2965,2,LUNG
DMS273,1.524842,2,LUNG
DMS53,3.5647840000000004,2,LUNG
DMS79,2.8477875,2,LUNG
DND41,-0.0034109999999999974,2,LYMPH
DOHH2,0.457182,1,LYMPH
EBC1,2.152796,2,LUNG
EHEB,-0.319512,1,LYMPH
EJM,1.1156139999999999,2,LYMPH
EM2,0.5577495,2,LYMPH
EPLC272H,-0.117309,2,LUNG
GA10,0.343582,2,LYMPH
GDM1,1.8261854999999998,2,LYMPH
GRANTA519,0.6172195,2,LYMPH
HARA,0.6425505,2,LUNG
HCC15,3.767382,2,LUNG
HCC33,1.150012,1,LUNG
HCC366,2.6134585,2,LUNG
HCC44,2.4202630000000003,2,LUNG
HCC78,0.9330620000000001,2,LUNG
HCC827,2.727293,2,LUNG
HDLM2,1.884477,2,LYMPH
HEL,-0.36108700000000005,2,LYMPH
HH,3.4469045,2,LYMPH
HL60,2.237495,2,LYMPH
HT,1.1944325,2,LYMPH
IALM,4.3142125,2,LUNG
JEKO1,-0.5105795,2,LYMPH
JM1,0.11236400000000002,2,LYMPH
JURKAT,0.486041,2,LYMPH
JURLMK1,-0.587122,1,LYMPH
JVM2,1.0393715000000001,2,LYMPH
JVM3,0.5164675,2,LYMPH
K562,0.7380895,2,LYMPH
KARPAS422,2.3133215,2,LYMPH
KCL22,-0.0008330000000000004,2,LYMPH
KG1,1.533108,1,LYMPH
KMH2,1.4845105,4,LYMPH
KMS11,1.323677,2,LYMPH
KMS12BM,0.66603,1,LYMPH
KNS62,1.86689,2,LUNG
KOPN8,-0.22894249999999997,2,LYMPH
KU812,0.445979,2,LYMPH
L1236,1.093957,2,LYMPH
L363,0.7225105,2,LYMPH
L428,1.698881,2,LYMPH
L540,-0.0560215,2,LYMPH
LAMA84,1.4872065,2,LYMPH
LCLC103H,3.514479,2,LUNG
LCLC97TM1,0.8756744999999999,2,LUNG
LOUCY,0.1024745,2,LYMPH
LOUNH91,2.9820715,2,LUNG
LP1,3.515302,2,LYMPH
LU65,2.6283630000000002,2,LUNG
LXF289,2.0582095000000002,2,LUNG
ME1,2.8849335,2,LYMPH
MEG01,0.11302200000000001,2,LYMPH
MHHCALL2,0.9302435,2,LYMPH
MM1S,1.288649,1,LYMPH
MOLM13,-0.49896300000000005,2,LYMPH
MOLM16,0.1828685,2,LYMPH
MOLP8,1.0979714999999999,2,LYMPH
MOLT13,0.8692175,2,LYMPH
MOLT16,-0.722494,2,LYMPH
MONOMAC6,0.7173255,2,LYMPH
NALM6,1.0749369999999998,2,LYMPH
NAMALWA,0.335366,2,LYMPH
NB4,-0.8817155,2,LYMPH
NCIH1048,2.310953,2,LUNG
NCIH1092,4.164103,2,LUNG
NCIH1105,2.777606,2,LUNG
NCIH1155,1.0366275,2,LUNG
NCIH1341,1.257893,2,LUNG
NCIH1435,4.370844,2,LUNG
NCIH1436,1.598463,2,LUNG
NCIH1437,2.1165345,2,LUNG
NCIH146,2.303585,2,LUNG
NCIH1568,1.006921,2,LUNG
NCIH1623,2.2654945,2,LUNG
