std,Y,n,tissue
697,2.5597494999999997,2,LYMPH
A3KAW,2.835359,2,LYMPH
A4FUK,3.70314,2,LYMPH
A549,3.0857235,2,LUNG
ABC1,3.1551235,2,LUNG
ALLSIL,3.1289735,2,LYMPH
AMO1,2.6625225,2,LYMPH
BEN,2.369448,2,LUNG
BL41,2.895188,2,LYMPH
BV173,2.5134175,2,LYMPH
CA46,3.5184604999999998,2,LYMPH
CAL12T,3.7095835,2,LUNG
CALU3,3.8547960000000003,2,LUNG
CALU6,3.3741895,2,LUNG
CHAGOK1,3.796658,2,LUNG
CMK,2.595147,1,LYMPH
CMLT1,3.214339,2,LYMPH
COLO668,3.6302905,2,LUNG
CORL105,3.8263815,2,LUNG
CORL23,3.693394,2,LUNG
CORL279,3.0513044999999996,2,LUNG
CORL311,2.679927,1,LUNG
CORL88,3.7320770000000003,2,LUNG
CORL95,3.164768,2,LUNG
DAUDI,3.140396,2,LYMPH
DB,3.809553,1,LYMPH
DMS114,3.0838165,2,LUNG
DMS273,2.9625655,2,LUNG
DMS53,2.0849655,2,LUNG
DMS79,3.6862035,2,LUNG
DND41,3.6541185,2,LYMPH
DOHH2,2.134955,1,LYMPH
EBC1,4.0764485,2,LUNG
EHEB,5.661728,1,LYMPH
EJM,3.097747,2,LYMPH
EM2,3.5176179999999997,2,LYMPH
EPLC272H,3.659712,2,LUNG
GA10,3.8989955,2,LYMPH
GDM1,3.4417935,2,LYMPH
GRANTA519,3.9098285,2,LYMPH
HARA,3.5924175,2,LUNG
HCC15,3.43039,2,LUNG
HCC33,4.312881,1,LUNG
HCC366,3.90357,2,LUNG
HCC44,4.3101,1,LUNG
HCC78,3.3221565,2,LUNG
HCC827,4.2295715000000005,2,LUNG
HDLM2,3.534709,2,LYMPH
HEL,3.222957,2,LYMPH
HH,3.535237,2,LYMPH
HL60,3.1537865,2,LYMPH
HT,4.540229500000001,2,LYMPH
IALM,4.009009,2,LUNG
JEKO1,2.825908,2,LYMPH
JM1,2.770294,2,LYMPH
JURKAT,2.0953365,2,LYMPH
JURLMK1,2.5479705,2,LYMPH
JVM2,5.361701500000001,2,LYMPH
JVM3,3.18432,2,LYMPH
K562,2.991048,2,LYMPH
KARPAS422,4.0516035,2,LYMPH
KCL22,3.327776,2,LYMPH
KG1,3.1118445,2,LYMPH
KMH2,3.251401,4,LYMPH
KMS11,2.941081,2,LYMPH
KMS12BM,2.398834,2,LYMPH
KNS62,4.030754,2,LUNG
KOPN8,3.0924810000000003,2,LYMPH
KU812,1.9059964999999999,2,LYMPH
L1236,3.5960915,2,LYMPH
L363,2.4655565,2,LYMPH
L428,3.1756785,2,LYMPH
L540,3.4250555,2,LYMPH
LAMA84,2.676324,2,LYMPH
LCLC103H,3.6081760000000003,2,LUNG
LCLC97TM1,4.0382415,2,LUNG
LOUCY,2.8404945,2,LYMPH
LOUNH91,5.360905000000001,2,LUNG
LP1,2.4046645,2,LYMPH
LU65,4.248813999999999,2,LUNG
LXF289,3.6631470000000004,2,LUNG
ME1,3.8769885,2,LYMPH
MEG01,3.7903525,2,LYMPH
MHHCALL2,2.885831,1,LYMPH
MM1S,2.334393,2,LYMPH
MOLM13,3.31007,2,LYMPH
MOLM16,1.824179,1,LYMPH
MOLP8,3.9071100000000003,2,LYMPH
MOLT13,3.0849694999999997,2,LYMPH
MOLT16,1.881557,2,LYMPH
MONOMAC6,2.5094950000000003,2,LYMPH
NALM6,2.9618365,2,LYMPH
NAMALWA,3.5121555,2,LYMPH
NB4,3.4366785,2,LYMPH
NCIH1048,2.0186605,2,LUNG
NCIH1092,5.1566814999999995,2,LUNG
NCIH1105,3.610528,2,LUNG
NCIH1155,3.0188625,2,LUNG
NCIH1341,3.240458,2,LUNG
NCIH1435,3.6828915,2,LUNG
NCIH1436,3.7259184999999997,2,LUNG
NCIH1437,3.401894,2,LUNG
NCIH146,3.5259590000000003,2,LUNG
NCIH1568,3.9347345000000002,2,LUNG
NCIH1623,3.424401,2,LUNG
NCIH1648,3.6621345,2,LUNG
NCIH1650,4.403752,2,LUNG
NCIH1651,2.558917,2,LUNG
NCIH1781,3.722107,2,LUNG
NCIH1792,4.0911875,2,LUNG
NCIH1793,4.655307,2,LUNG
NCIH1836,4.823658,2,LUNG
NCIH1876,3.0901085,2,LUNG
NCIH1915,4.5992705,2,LUNG
NCIH1944,3.3545990000000003,2,LUNG
NCIH196,4.75183,2,LUNG
NCIH1963,3.400411,2,LUNG
NCIH1975,3.6018790000000003,2,LUNG
NCIH2009,4.3483935,2,LUNG
NCIH2023,4.380888,2,LUNG
NCIH2029,3.763861,2,LUNG
NCIH2030,4.2930095,2,LUNG
NCIH2066,5.029684,2,LUNG
NCIH2081,3.0808340000000003,2,LUNG
NCIH2085,4.4082685,2,LUNG
NCIH2087,3.9375545,2,LUNG
NCIH209,3.656903,2,LUNG
NCIH211,3.477574,1,LUNG
NCIH2110,4.3953549999999995,2,LUNG
NCIH2122,3.8358285,2,LUNG
NCIH2170,4.433429500000001,2,LUNG
NCIH2171,2.883856,1,LUNG
NCIH2172,3.0906029999999998,2,LUNG
NCIH2196,3.359519,1,LUNG
NCIH2227,5.2897855,2,LUNG
NCIH2228,4.2815395,2,LUNG
NCIH2291,5.4623740000000005,2,LUNG
NCIH23,2.6212235,2,LUNG
NCIH2342,3.90015,1,LUNG
NCIH2347,4.83099,2,LUNG
NCIH2405,5.0752815,2,LUNG
NCIH2444,4.7106535,2,LUNG
NCIH292,2.932816,2,LUNG
NCIH358,4.3960385,2,LUNG
NCIH441,5.717316,2,LUNG
NCIH446,4.1979524999999995,2,LUNG
NCIH460,3.5452025000000003,2,LUNG
NCIH522,3.7819439999999998,2,LUNG
NCIH524,4.2815175,2,LUNG
NCIH526,3.433112,2,LUNG
NCIH596,4.3895345,2,LUNG
NCIH647,3.9626345,2,LUNG
NCIH650,4.3568904999999996,2,LUNG
NCIH661,2.5345425,2,LUNG
NCIH69,3.5573335000000004,2,LUNG
NCIH727,3.4041735,2,LUNG
NCIH810,3.8766964999999995,2,LUNG
NCIH82,4.0230120000000005,2,LUNG
NCIH838,4.024367,2,LUNG
NCIH841,2.447306,1,LUNG
NCIH929,2.965963,2,LYMPH
NOMO1,3.5343925,2,LYMPH
NUDUL1,3.2233384999999997,2,LYMPH
OCIAML2,2.464277,2,LYMPH
OCIAML3,3.54328,1,LYMPH
OCIAML5,3.549295,2,LYMPH
OCILY19,3.146702,2,LYMPH
OCIM1,2.669662,2,LYMPH
OPM2,3.024098,2,LYMPH
P12ICHIKAWA,2.170886,1,LYMPH
P31FUJ,2.9082485,2,LYMPH
PF382,3.1976205,2,LYMPH
PL21,3.455873,1,LYMPH
RAJI,3.560701,2,LYMPH
RCHACV,2.750638,2,LYMPH
REH,3.9085845,2,LYMPH
RERFLCKJ,4.0904075,2,LUNG
RERFLCMS,3.689904,2,LUNG
RL,3.9520945000000003,2,LYMPH
RPMI8226,3.672098,2,LYMPH
RPMI8402,2.32689,2,LYMPH
RS411,3.576821,2,LYMPH
SBC5,3.015914,2,LUNG
SHP77,2.6826545,2,LUNG
SIGM5,2.438503,1,LYMPH
SKLU1,4.318948,1,LUNG
SKM1,2.3757455,2,LYMPH
SKMES1,4.3054475,2,LUNG
SKMM2,4.730684,2,LYMPH
ST486,3.740191,2,LYMPH
SUDHL1,3.418867,1,LYMPH
SUDHL10,3.7830855,2,LYMPH
SUDHL4,3.1285815,2,LYMPH
SUDHL5,2.9680210000000002,2,LYMPH
SUDHL6,2.5555630000000003,2,LYMPH
SUDHL8,3.765225,2,LYMPH
SUPB15,3.3672155000000004,2,LYMPH
SUPM2,2.875789,2,LYMPH
SUPT1,3.0431755000000003,2,LYMPH
SW1271,5.019947,2,LUNG
SW1573,4.1345615,2,LUNG
THP1,3.34336,2,LYMPH
WSUDLCL2,3.5910595,2,LYMPH
