std,Y,n,tissue
697,2.2471655,2,LYMPH
A3KAW,2.080013,2,LYMPH
A4FUK,2.7342125,2,LYMPH
A549,2.3789345,2,LUNG
ABC1,2.3060125,2,LUNG
ALLSIL,2.452203,2,LYMPH
AMO1,1.2803849999999999,2,LYMPH
BEN,3.7804260000000003,2,LUNG
BL41,2.0154275,2,LYMPH
BV173,2.0566155,2,LYMPH
CA46,3.180331,2,LYMPH
CAL12T,2.9511985,2,LUNG
CALU3,4.0110685,2,LUNG
CALU6,3.5650505,2,LUNG
CHAGOK1,3.1258195,2,LUNG
CMK,2.613579,1,LYMPH
CMLT1,2.9106185,2,LYMPH
COLO668,2.9914065,2,LUNG
CORL105,1.908305,2,LUNG
CORL23,3.513401,2,LUNG
CORL279,2.8476975,2,LUNG
CORL311,3.06635,1,LUNG
CORL88,3.850321,2,LUNG
CORL95,2.797121,2,LUNG
DAUDI,2.833016,2,LYMPH
DB,3.6778525,2,LYMPH
DMS114,3.0126684999999997,2,LUNG
DMS273,3.107152,2,LUNG
DMS53,2.1276965,2,LUNG
DMS79,3.8793445,2,LUNG
DND41,0.07428800000000013,2,LYMPH
DOHH2,2.2283280000000003,2,LYMPH
EBC1,3.2787110000000004,2,LUNG
EHEB,2.931963,1,LYMPH
EJM,1.044533,2,LYMPH
EM2,2.167277,2,LYMPH
EPLC272H,2.4328045,2,LUNG
GA10,2.0987964999999997,2,LYMPH
GDM1,2.8978330000000003,2,LYMPH
GRANTA519,0.9486465,2,LYMPH
HARA,2.7026835,2,LUNG
HCC15,2.1106854999999998,2,LUNG
HCC33,3.842866,1,LUNG
HCC366,3.6362995,2,LUNG
HCC44,2.78278,2,LUNG
HCC78,3.97812,2,LUNG
HCC827,3.4233375,2,LUNG
HDLM2,2.2152570000000003,2,LYMPH
HEL,2.6442354999999997,2,LYMPH
HH,3.821599,2,LYMPH
HL60,2.6367965,2,LYMPH
HT,3.636369,2,LYMPH
IALM,2.6486799999999997,2,LUNG
JEKO1,3.0011574999999997,2,LYMPH
JM1,-0.8535925,2,LYMPH
JURKAT,2.5269015,2,LYMPH
JURLMK1,2.6631515,2,LYMPH
JVM2,3.8010785,2,LYMPH
JVM3,3.017702,1,LYMPH
K562,3.1204665,2,LYMPH
KARPAS422,3.2250889999999997,2,LYMPH
KCL22,2.7490765,2,LYMPH
KG1,2.795514,2,LYMPH
KMH2,2.2086805,4,LYMPH
KMS11,3.1026175,2,LYMPH
KMS12BM,2.444216,2,LYMPH
KNS62,3.0270585,2,LUNG
KOPN8,2.62868,2,LYMPH
KU812,2.4476985,2,LYMPH
L1236,2.288767,2,LYMPH
L363,2.4763705,2,LYMPH
L428,2.6462165,2,LYMPH
L540,2.620695,2,LYMPH
LAMA84,2.530012,2,LYMPH
LCLC103H,3.6329020000000005,2,LUNG
LCLC97TM1,3.2038475,2,LUNG
LOUCY,3.097032,2,LYMPH
LOUNH91,2.444487,2,LUNG
LP1,3.1483185000000002,2,LYMPH
LU65,4.7633785,2,LUNG
LXF289,2.006158,2,LUNG
ME1,3.5369225,2,LYMPH
MEG01,3.2207305,2,LYMPH
MHHCALL2,1.7192785,2,LYMPH
MM1S,2.3071194999999998,2,LYMPH
MOLM13,-0.022594500000000003,2,LYMPH
MOLM16,2.2512844999999997,2,LYMPH
MOLP8,2.3397515,2,LYMPH
MOLT13,2.4971395000000003,2,LYMPH
MOLT16,2.3211114999999998,2,LYMPH
MONOMAC6,1.638217,2,LYMPH
NALM6,2.7933975,2,LYMPH
NAMALWA,2.8170545000000002,2,LYMPH
NB4,2.438111,2,LYMPH
NCIH1048,2.6649135,2,LUNG
NCIH1092,3.5629975,2,LUNG
NCIH1105,3.3676425,2,LUNG
NCIH1155,2.918793,2,LUNG
NCIH1341,1.2692584999999998,2,LUNG
NCIH1435,3.0450915,2,LUNG
NCIH1436,3.5924880000000003,2,LUNG
NCIH1437,1.926159,2,LUNG
NCIH146,3.22558,2,LUNG
NCIH1568,2.8776725,2,LUNG
NCIH1623,2.0697865,2,LUNG
NCIH1648,3.2540769999999997,2,LUNG
NCIH1650,3.7802345,2,LUNG
NCIH1651,3.473093,2,LUNG
NCIH1781,1.887298,2,LUNG
NCIH1792,2.8119705,2,LUNG
NCIH1793,3.3657005,2,LUNG
NCIH1836,4.4894525000000005,2,LUNG
NCIH1876,3.0168039999999996,2,LUNG
NCIH1915,3.3796055000000003,2,LUNG
NCIH1944,1.8114365,2,LUNG
NCIH196,2.98297,2,LUNG
NCIH1963,2.55128,2,LUNG
