std,Y,n,tissue
697,2.9175805,2,LYMPH
A3KAW,3.3311159999999997,2,LYMPH
A4FUK,3.7856864999999997,2,LYMPH
A549,4.46022985623571,3,LUNG
ABC1,2.511135,3,LUNG
ALLSIL,3.31117,2,LYMPH
AMO1,3.7414759999999996,2,LYMPH
BEN,5.98277743566818,3,LUNG
BL41,3.3667125,2,LYMPH
BV173,3.2107539999999997,2,LYMPH
CA46,4.1924045,2,LYMPH
CAL12T,4.313711,3,LUNG
CALU3,5.664819,2,LUNG
CALU6,4.42566,3,LUNG
CHAGOK1,4.9086704999999995,2,LUNG
CMK,3.48616,1,LYMPH
CMLT1,3.956689,2,LYMPH
COLO668,3.530402,3,LUNG
CORL105,4.655524,2,LUNG
CORL23,4.116019,3,LUNG
CORL279,4.150971500000001,2,LUNG
CORL311,4.141266,1,LUNG
CORL88,4.7219735,2,LUNG
CORL95,5.336199000000001,2,LUNG
DAUDI,3.537156,2,LYMPH
DB,4.8302625,2,LYMPH
DMS114,5.1396275,2,LUNG
DMS273,4.6831405,2,LUNG
DMS53,5.1047755,2,LUNG
DMS79,4.9020235,2,LUNG
DND41,3.4205300000000003,2,LYMPH
DOHH2,3.2774665,2,LYMPH
EBC1,4.354943,3,LUNG
EHEB,4.894658,1,LYMPH
EJM,3.8469474999999997,2,LYMPH
EM2,2.9905720000000002,2,LYMPH
EPLC272H,4.591656,2,LUNG
GA10,3.7252335,2,LYMPH
GDM1,3.6270480000000003,2,LYMPH
GRANTA519,4.282468,2,LYMPH
HARA,3.6329684999999996,2,LUNG
HCC15,5.876318,3,LUNG
HCC33,5.126998,1,LUNG
HCC366,5.275653500000001,2,LUNG
HCC44,3.606476,3,LUNG
HCC78,4.288753,3,LUNG
HCC827,4.383155,3,LUNG
HDLM2,4.654090500000001,2,LYMPH
HEL,3.382236,2,LYMPH
HH,4.362166,2,LYMPH
HL60,3.2019954999999998,2,LYMPH
HT,4.4490465,2,LYMPH
IALM,4.817679,2,LUNG
JEKO1,3.0165239999999995,2,LYMPH
JM1,3.2731185,2,LYMPH
JURKAT,3.8278584999999996,2,LYMPH
JURLMK1,2.7928230000000003,2,LYMPH
JVM2,4.1434805,2,LYMPH
JVM3,4.1288325,2,LYMPH
K562,4.303443,2,LYMPH
KARPAS422,3.8730634999999998,2,LYMPH
KCL22,3.597237,2,LYMPH
KG1,3.742512,2,LYMPH
KMH2,4.1532,4,LYMPH
KMS11,3.8938370000000004,2,LYMPH
KMS12BM,1.0718895000000002,2,LYMPH
KNS62,4.721707,2,LUNG
KOPN8,3.514145,2,LYMPH
KU812,3.7975950000000003,2,LYMPH
L1236,4.175484,2,LYMPH
L363,1.895629,2,LYMPH
L428,4.017369,2,LYMPH
L540,3.7084529999999996,2,LYMPH
LAMA84,3.1656715,2,LYMPH
LCLC103H,3.129969,3,LUNG
LCLC97TM1,4.6659515,2,LUNG
LOUCY,3.739019,2,LYMPH
LOUNH91,4.924979,2,LUNG
LP1,4.5652345,2,LYMPH
LU65,5.436064,2,LUNG
LXF289,4.282436,3,LUNG
ME1,4.583550499999999,2,LYMPH
MEG01,4.274406,2,LYMPH
MHHCALL2,2.808264,1,LYMPH
MM1S,1.23757,2,LYMPH
MOLM13,3.0052405,2,LYMPH
MOLM16,1.856242,2,LYMPH
MOLP8,3.433301,2,LYMPH
MOLT13,2.696736,2,LYMPH
MOLT16,3.0862670000000003,2,LYMPH
MONOMAC6,3.5632140000000003,2,LYMPH
NALM6,3.8158760000000003,2,LYMPH
NAMALWA,3.774359,2,LYMPH
NB4,2.9821595,2,LYMPH
NCIH1048,3.659998,3,LUNG
NCIH1092,4.5079315,2,LUNG
NCIH1105,4.5640285,2,LUNG
NCIH1155,3.603243,2,LUNG
NCIH1341,4.1367645,2,LUNG
NCIH1435,4.6053435,2,LUNG
NCIH1436,4.24718,2,LUNG
NCIH1437,3.769081,3,LUNG
NCIH146,4.5807855,2,LUNG
NCIH1568,5.562668,3,LUNG
NCIH1623,4.73396,3,LUNG
NCIH1648,5.0940585,2,LUNG
NCIH1650,5.95949906639241,3,LUNG
NCIH1651,4.324333,3,LUNG
NCIH1781,5.019319,2,LUNG
NCIH1792,5.123305,3,LUNG
NCIH1793,4.952616,3,LUNG
NCIH1836,5.374366,2,LUNG
NCIH1876,4.730792,2,LUNG
NCIH1915,3.49208,3,LUNG
NCIH1944,6.039752,3,LUNG
NCIH196,4.536093,2,LUNG
NCIH1963,4.5927750000000005,2,LUNG
NCIH1975,4.9905965000000005,2,LUNG
NCIH2009,5.0555215,2,LUNG
NCIH2023,4.81874179030916,3,LUNG
NCIH2029,3.9809605,2,LUNG
NCIH2030,6.02207624797519,3,LUNG
NCIH2066,5.0711565,2,LUNG
NCIH2081,4.2254435,2,LUNG
NCIH2085,4.4152835,2,LUNG
NCIH2087,4.5388975,2,LUNG
NCIH209,4.3796855,2,LUNG
NCIH211,3.6332430000000002,2,LUNG
NCIH2110,4.13517,3,LUNG
NCIH2122,3.612928,3,LUNG
NCIH2170,4.197579,3,LUNG
NCIH2171,4.338325,1,LUNG
NCIH2172,5.743796,3,LUNG
NCIH2196,6.231803,1,LUNG
NCIH2227,5.4151095,2,LUNG
NCIH2228,5.800798,2,LUNG
NCIH2291,6.2271965,2,LUNG
NCIH23,4.6358235,2,LUNG
NCIH2342,4.5745225,2,LUNG
NCIH2347,4.62048729451963,3,LUNG
NCIH2405,5.878465,2,LUNG
NCIH2444,5.627392,2,LUNG
NCIH292,3.864706,3,LUNG
NCIH358,4.429362,3,LUNG
NCIH441,6.3981525,2,LUNG
NCIH446,4.302747,3,LUNG
NCIH460,3.80071390533902,3,LUNG
NCIH522,5.683421,1,LUNG
NCIH524,3.8217585,2,LUNG
NCIH526,4.00639,2,LUNG
NCIH596,5.3987625,2,LUNG
NCIH647,4.956654,2,LUNG
NCIH650,5.11626350107471,3,LUNG
NCIH661,4.8071015,2,LUNG
NCIH69,5.0178465,2,LUNG
NCIH727,5.836987000000001,2,LUNG
NCIH810,4.8811375,2,LUNG
NCIH82,3.925564,2,LUNG
NCIH838,4.912299000000001,2,LUNG
NCIH841,4.161776,3,LUNG
NCIH929,2.2199875000000002,2,LYMPH
NOMO1,4.0421645,2,LYMPH
NUDUL1,3.9184089999999996,2,LYMPH
OCIAML2,3.412501,2,LYMPH
OCIAML3,3.726272,2,LYMPH
OCIAML5,3.447826,2,LYMPH
OCILY19,4.1152725,2,LYMPH
OCIM1,3.4526955,2,LYMPH
OPM2,3.0993675,2,LYMPH
P12ICHIKAWA,3.465848,1,LYMPH
P31FUJ,3.2391170000000002,2,LYMPH
PF382,3.043172,2,LYMPH
PL21,4.1484365,2,LYMPH
RAJI,3.7971435,2,LYMPH
RCHACV,2.9221715,2,LYMPH
REH,3.1120565,2,LYMPH
RERFLCKJ,4.481041,3,LUNG
RERFLCMS,4.570979,3,LUNG
RL,4.1032210000000005,2,LYMPH
RPMI8226,3.1987175,2,LYMPH
RPMI8402,3.4538295,2,LYMPH
RS411,2.7315755,2,LYMPH
SBC5,5.108804,3,LUNG
SHP77,4.5029265,2,LUNG
SIGM5,2.73484,1,LYMPH
SKLU1,2.1493461101725555,2,LUNG
SKM1,3.2861635,2,LYMPH
SKMES1,5.102369,3,LUNG
SKMM2,4.890765,2,LYMPH
ST486,3.877959,1,LYMPH
SUDHL1,1.970703,1,LYMPH
SUDHL10,3.574871,1,LYMPH
SUDHL4,3.5285659999999996,2,LYMPH
SUDHL5,2.941307,2,LYMPH
SUDHL6,3.5922625,2,LYMPH
SUDHL8,4.03974,1,LYMPH
SUPB15,3.7267989999999998,2,LYMPH
SUPM2,3.387682,2,LYMPH
SUPT1,4.056677,2,LYMPH
SW1271,5.142279,3,LUNG
SW1573,5.825412,2,LUNG
THP1,4.4884129999999995,2,LYMPH
WSUDLCL2,3.554074,2,LYMPH
