std,Y,n,tissue
697,3.1988245,2,LYMPH
A3KAW,2.6241120000000002,2,LYMPH
A4FUK,3.4405704999999998,2,LYMPH
A549,4.4696665,2,LUNG
ABC1,5.5079720000000005,2,LUNG
ALLSIL,4.1448955,2,LYMPH
AMO1,4.074571499999999,2,LYMPH
BEN,4.33038,2,LUNG
BL41,2.771053,2,LYMPH
BV173,3.256818,2,LYMPH
CA46,3.5457035,2,LYMPH
CAL12T,6.059827,2,LUNG
CALU3,5.3258265,2,LUNG
CALU6,5.5306435,2,LUNG
CHAGOK1,4.6434765,2,LUNG
CMK,4.788829,1,LYMPH
CMLT1,3.456319,2,LYMPH
COLO668,4.960015,2,LUNG
CORL105,5.525714499999999,2,LUNG
CORL23,5.358188,2,LUNG
CORL279,4.224495,1,LUNG
CORL311,5.465742,1,LUNG
CORL88,6.08175,1,LUNG
CORL95,5.914445,1,LUNG
DAUDI,3.688666,2,LYMPH
DB,3.5908835000000003,2,LYMPH
DMS114,6.148883,2,LUNG
DMS273,4.7002655,2,LUNG
DMS53,4.9930775,2,LUNG
DMS79,4.9790645,2,LUNG
DND41,4.239369,2,LYMPH
DOHH2,3.22973,1,LYMPH
EBC1,4.601875,2,LUNG
EHEB,5.158253,1,LYMPH
EJM,3.5988445000000002,2,LYMPH
EM2,3.3048925000000002,2,LYMPH
EPLC272H,5.048896,2,LUNG
GA10,2.84692,2,LYMPH
GDM1,3.572216,2,LYMPH
GRANTA519,5.403453,1,LYMPH
HARA,5.242746,2,LUNG
HCC15,5.445235,2,LUNG
HCC33,4.623265,1,LUNG
HCC366,6.078087,2,LUNG
HCC44,4.0366555,2,LUNG
HCC78,5.8641974999999995,2,LUNG
HCC827,5.392056999999999,2,LUNG
HDLM2,4.8619965,2,LYMPH
HEL,3.4474270000000002,2,LYMPH
HH,3.7805910000000003,2,LYMPH
HL60,4.777229,2,LYMPH
HT,4.4845325,2,LYMPH
IALM,5.4894575,2,LUNG
JEKO1,2.020414,2,LYMPH
JM1,2.991368,2,LYMPH
JURKAT,4.472742500000001,2,LYMPH
JURLMK1,5.5447679999999995,2,LYMPH
JVM2,3.408909,2,LYMPH
JVM3,2.8368865000000003,2,LYMPH
K562,4.6252845,2,LYMPH
KARPAS422,4.8640335,2,LYMPH
KCL22,4.6274045,2,LYMPH
KG1,3.4984504999999997,2,LYMPH
KMH2,4.3202355,4,LYMPH
KMS11,3.8522525,2,LYMPH
KMS12BM,3.137982,1,LYMPH
KNS62,4.7131865,2,LUNG
KOPN8,3.4961795,2,LYMPH
KU812,4.4673675,2,LYMPH
L1236,3.5309774999999997,2,LYMPH
L363,3.7674304999999997,2,LYMPH
L428,5.1754305,2,LYMPH
L540,2.4044845,2,LYMPH
LAMA84,5.492738,2,LYMPH
LCLC103H,4.730627,2,LUNG
LCLC97TM1,4.164876,2,LUNG
LOUCY,3.149465,2,LYMPH
LOUNH91,5.655319,2,LUNG
LP1,4.930427,2,LYMPH
LU65,5.262149,2,LUNG
LXF289,4.519741,2,LUNG
ME1,5.908051,2,LYMPH
MEG01,5.4288215,2,LYMPH
MHHCALL2,3.811414,2,LYMPH
MM1S,3.869961,1,LYMPH
MOLM13,2.224601,2,LYMPH
MOLM16,2.6896305,2,LYMPH
MOLP8,2.6526205,2,LYMPH
MOLT13,3.978516,2,LYMPH
MOLT16,2.8420094999999996,2,LYMPH
MONOMAC6,2.591355,1,LYMPH
NALM6,4.0010455,2,LYMPH
NAMALWA,3.6315105,2,LYMPH
NB4,2.6112755,2,LYMPH
NCIH1048,4.3843555,2,LUNG
NCIH1092,5.3490135,2,LUNG
NCIH1105,4.4632784999999995,2,LUNG
NCIH1155,3.6622315,2,LUNG
NCIH1341,3.251692,1,LUNG
NCIH1435,6.423458,2,LUNG
NCIH1436,4.2696179999999995,2,LUNG
NCIH1437,3.434294,1,LUNG
NCIH146,3.6270435,2,LUNG
NCIH1568,6.616619999999999,2,LUNG
NCIH1623,3.9052375,2,LUNG
NCIH1648,3.506042,1,LUNG
NCIH1650,5.1478845,2,LUNG
NCIH1651,5.3555005,2,LUNG
NCIH1781,6.0838105,2,LUNG
NCIH1792,5.396914499999999,2,LUNG
NCIH1793,8.04245,2,LUNG
NCIH1836,4.893096,2,LUNG
NCIH1876,3.7121125,2,LUNG
NCIH1915,4.812659,2,LUNG
NCIH1944,4.146234,1,LUNG
NCIH196,6.6775375,2,LUNG
NCIH1963,6.589557,1,LUNG
NCIH1975,6.3137255,2,LUNG
NCIH2009,4.27369,1,LUNG
NCIH2023,4.6105575000000005,2,LUNG
NCIH2029,4.965136,2,LUNG
NCIH2030,4.583486499999999,2,LUNG
NCIH2066,8.09299,1,LUNG
NCIH2081,5.245699,2,LUNG
NCIH2085,6.2646295,2,LUNG
NCIH2087,5.6098040000000005,2,LUNG
NCIH209,3.586979,2,LUNG
NCIH211,4.671697999999999,2,LUNG
NCIH2110,4.6621725000000005,2,LUNG
NCIH2122,4.4356860000000005,2,LUNG
NCIH2170,4.8007405,2,LUNG
NCIH2171,3.455408,1,LUNG
NCIH2172,7.032852,2,LUNG
NCIH2196,5.564576,1,LUNG
NCIH2227,4.1980735,2,LUNG
NCIH2228,6.4871795,2,LUNG
NCIH2291,6.9258995,2,LUNG
NCIH23,5.3341495000000005,2,LUNG
NCIH2342,5.075053,1,LUNG
NCIH2347,4.507569,1,LUNG
NCIH2405,8.501784,2,LUNG
NCIH2444,7.1521805,2,LUNG
NCIH292,3.0245105,2,LUNG
NCIH358,5.252936500000001,2,LUNG
NCIH441,6.673922,2,LUNG
NCIH446,4.19542,2,LUNG
NCIH460,5.739874,2,LUNG
NCIH522,4.392841,2,LUNG
NCIH524,3.837724,2,LUNG
NCIH526,6.043896999999999,2,LUNG
NCIH596,6.304474,2,LUNG
NCIH647,3.585346,1,LUNG
NCIH650,6.4184985,2,LUNG
NCIH661,4.8391655,2,LUNG
NCIH69,2.474985,1,LUNG
NCIH727,6.778612,2,LUNG
NCIH810,3.7422255,2,LUNG
NCIH82,3.7620855,2,LUNG
NCIH838,3.852106,2,LUNG
NCIH841,5.2483830000000005,2,LUNG
NCIH929,3.8139529999999997,2,LYMPH
NOMO1,4.1296475,2,LYMPH
NUDUL1,2.8007955,2,LYMPH
OCIAML2,3.5863005,2,LYMPH
OCIAML3,3.3804195000000004,2,LYMPH
OCIAML5,4.2723635,2,LYMPH
OCILY19,3.352344,2,LYMPH
OCIM1,5.8251495,2,LYMPH
OPM2,4.669247,2,LYMPH
P12ICHIKAWA,4.2181385,2,LYMPH
P31FUJ,4.068518,1,LYMPH
PF382,5.0375825,2,LYMPH
PL21,4.335155,2,LYMPH
RAJI,2.8039370000000003,2,LYMPH
RCHACV,3.8293660000000003,2,LYMPH
REH,3.8128349999999998,2,LYMPH
RERFLCKJ,5.850118500000001,2,LUNG
RERFLCMS,5.6304,2,LUNG
RL,3.975495,2,LYMPH
RPMI8226,4.251583999999999,2,LYMPH
RPMI8402,4.303424,1,LYMPH
RS411,3.9771315,2,LYMPH
SBC5,4.3307325,2,LUNG
SHP77,4.9035615,2,LUNG
SIGM5,2.766338,1,LYMPH
SKLU1,4.7412015,2,LUNG
SKM1,3.6952565,2,LYMPH
SKMES1,6.4323255,2,LUNG
SKMM2,4.424424,1,LYMPH
ST486,3.2375815,2,LYMPH
SUDHL1,3.733629,1,LYMPH
SUDHL10,3.5556535,2,LYMPH
SUDHL4,4.0481045,2,LYMPH
SUDHL5,2.784262,2,LYMPH
SUDHL6,3.439022,2,LYMPH
SUDHL8,3.861776,2,LYMPH
SUPB15,4.10101,1,LYMPH
SUPM2,3.2146135,2,LYMPH
SUPT1,4.0090845,2,LYMPH
SW1271,5.791417,2,LUNG
SW1573,6.8440555,2,LUNG
THP1,5.2321124999999995,2,LYMPH
WSUDLCL2,6.718716,1,LYMPH
