std,Y,n,tissue
697,0.360419,2,LYMPH
A3KAW,-0.7778475,2,LYMPH
A4FUK,-1.0676655,2,LYMPH
A549,-3.0224765,2,LUNG
ABC1,0.4146415000000001,2,LUNG
ALLSIL,1.287786,2,LYMPH
AMO1,-0.6095714999999999,2,LYMPH
BEN,2.108435,2,LUNG
BL41,1.1161905,2,LYMPH
BV173,-1.374908,2,LYMPH
CA46,2.615682,2,LYMPH
CAL12T,-0.37115899999999996,2,LUNG
CALU3,1.322532,2,LUNG
CALU6,-0.7083579999999999,2,LUNG
CHAGOK1,1.6254715000000002,2,LUNG
CMK,1.103013,1,LYMPH
CMLT1,-0.480062,2,LYMPH
COLO668,0.288476,2,LUNG
CORL105,-1.635588,2,LUNG
CORL23,-0.04751099999999997,2,LUNG
CORL279,2.114795,2,LUNG
CORL311,2.601304,1,LUNG
CORL88,2.8445855,2,LUNG
CORL95,1.9406355000000002,2,LUNG
DAUDI,1.8725975000000001,2,LYMPH
DB,2.3821585,2,LYMPH
DMS114,1.4167915,2,LUNG
DMS273,1.4184430000000001,2,LUNG
DMS53,1.2261490000000002,2,LUNG
DMS79,3.4059844999999997,2,LUNG
DND41,-0.09599849999999999,2,LYMPH
DOHH2,1.4946425,2,LYMPH
EBC1,-2.84351,2,LUNG
EHEB,-0.625193,1,LYMPH
EJM,1.976568,2,LYMPH
EM2,-2.3625655,2,LYMPH
EPLC272H,-1.1166654999999999,2,LUNG
GA10,1.9116875,2,LYMPH
GDM1,1.1804345,2,LYMPH
GRANTA519,2.172461,2,LYMPH
HARA,0.43476050000000005,2,LUNG
HCC15,-1.7001015000000002,2,LUNG
HCC33,3.803775,1,LUNG
HCC366,0.9454679999999999,2,LUNG
HCC44,-2.1290005,2,LUNG
HCC78,0.7499439999999999,2,LUNG
HCC827,2.0442055,2,LUNG
HDLM2,1.9016160000000002,2,LYMPH
HEL,1.8254445000000001,2,LYMPH
HH,2.3099895,2,LYMPH
HL60,-4.1529905,2,LYMPH
HT,2.809284,2,LYMPH
IALM,0.17741550000000017,2,LUNG
JEKO1,2.318508,2,LYMPH
JM1,1.596497,2,LYMPH
JURKAT,1.8869580000000001,2,LYMPH
JURLMK1,-4.110526999999999,2,LYMPH
JVM2,1.5698845000000001,2,LYMPH
JVM3,-1.325091,2,LYMPH
K562,-0.03719800000000001,2,LYMPH
KARPAS422,2.04107,2,LYMPH
KCL22,-0.9065219999999999,2,LYMPH
KG1,0.14118399999999998,2,LYMPH
KMH2,-1.0599184999999998,4,LYMPH
KMS11,1.3451510000000002,2,LYMPH
KMS12BM,3.050678,1,LYMPH
KNS62,-1.3972795,2,LUNG
KOPN8,-1.9252685,2,LYMPH
KU812,-3.2254614999999998,2,LYMPH
L1236,2.0526585,2,LYMPH
L363,1.829453,2,LYMPH
L428,2.2052035,2,LYMPH
L540,1.8540665,2,LYMPH
LAMA84,-2.5971935,2,LYMPH
LCLC103H,2.6538955,2,LUNG
LCLC97TM1,-1.544169,2,LUNG
LOUCY,1.389424,2,LYMPH
LOUNH91,-0.001806999999999892,2,LUNG
LP1,2.972584,2,LYMPH
LU65,0.3183155,2,LUNG
LXF289,0.07433699999999999,2,LUNG
ME1,-1.3676685,2,LYMPH
MEG01,-2.01672,2,LYMPH
MHHCALL2,0.2373155,2,LYMPH
MM1S,0.07331200000000004,2,LYMPH
MOLM13,-0.6590055,2,LYMPH
MOLM16,-0.820982,2,LYMPH
MOLP8,-0.265961,2,LYMPH
MOLT13,-1.0275435,2,LYMPH
MOLT16,0.847056,2,LYMPH
MONOMAC6,0.8418490000000001,2,LYMPH
NALM6,1.0500965,2,LYMPH
NAMALWA,1.717873,2,LYMPH
NB4,-5.2213015,2,LYMPH
NCIH1048,1.1880355,2,LUNG
NCIH1092,3.223071,2,LUNG
NCIH1105,2.836857,2,LUNG
NCIH1155,0.7669064999999999,2,LUNG
NCIH1341,0.7586790000000001,2,LUNG
NCIH1435,2.4340755,2,LUNG
NCIH1436,2.6357695000000003,2,LUNG
NCIH1437,-2.5684075,2,LUNG
NCIH146,2.3689,2,LUNG
NCIH1568,0.5854404999999999,2,LUNG
NCIH1623,-0.38683500000000004,2,LUNG
NCIH1648,0.9831235,2,LUNG
NCIH1650,1.961891,2,LUNG
NCIH1651,2.3218875,2,LUNG
NCIH1781,1.292604,2,LUNG
NCIH1792,-0.829054,2,LUNG
NCIH1793,1.3518385,2,LUNG
NCIH1836,4.1221155,2,LUNG
NCIH1876,2.1344585,2,LUNG
NCIH1915,-1.904107,2,LUNG
NCIH1944,-1.7628155,2,LUNG
NCIH196,3.0530155,2,LUNG
NCIH1963,2.290049,1,LUNG
NCIH1975,-0.8042965,2,LUNG
NCIH2009,-1.8045465,2,LUNG
NCIH2023,0.795576,2,LUNG
NCIH2029,2.601554,2,LUNG
NCIH2030,0.7923055,2,LUNG
NCIH2066,0.7575455,2,LUNG
NCIH2081,3.377524,2,LUNG
NCIH2085,0.9580520000000001,2,LUNG
NCIH2087,-1.588587,2,LUNG
NCIH209,2.490216,2,LUNG
NCIH211,0.469959,2,LUNG
NCIH2110,0.06890400000000002,2,LUNG
NCIH2122,-1.6554514999999999,2,LUNG
NCIH2170,3.356712,2,LUNG
NCIH2171,2.22301,1,LUNG
NCIH2172,3.009455,2,LUNG
NCIH2196,2.54989,1,LUNG
NCIH2227,0.8720325,2,LUNG
NCIH2228,0.593537,2,LUNG
NCIH2291,-2.9845990000000002,2,LUNG
NCIH23,-0.4913219999999999,2,LUNG
NCIH2342,1.8335145,2,LUNG
NCIH2347,-0.5931639999999999,2,LUNG
NCIH2405,-0.196162,2,LUNG
NCIH2444,2.0978255,2,LUNG
NCIH292,-2.348602,2,LUNG
NCIH358,-1.0404405,2,LUNG
NCIH441,1.8220915,2,LUNG
NCIH446,1.947149,2,LUNG
NCIH460,-1.8176145,2,LUNG
NCIH522,2.4134405,2,LUNG
NCIH524,2.1219615000000003,2,LUNG
NCIH526,2.382039,2,LUNG
NCIH596,1.451273,2,LUNG
NCIH647,1.298625,2,LUNG
NCIH650,2.0152740000000002,2,LUNG
NCIH661,1.5864634999999998,2,LUNG
NCIH69,2.9529940000000003,2,LUNG
NCIH727,-1.441027,2,LUNG
NCIH810,2.9469395,2,LUNG
NCIH82,2.7105025,2,LUNG
NCIH838,-0.8340205,2,LUNG
NCIH841,0.9386915,2,LUNG
NCIH929,-1.7109839999999998,2,LYMPH
NOMO1,-4.530108,2,LYMPH
NUDUL1,0.466445,2,LYMPH
OCIAML2,-5.95427,1,LYMPH
OCIAML3,-4.8395985,2,LYMPH
OCIAML5,-2.1597185000000003,2,LYMPH
OCILY19,-0.447048,2,LYMPH
OCIM1,-1.2057820000000001,2,LYMPH
OPM2,1.2488130000000002,2,LYMPH
P12ICHIKAWA,-0.3493435,2,LYMPH
P31FUJ,-1.029582,2,LYMPH
PF382,1.6735255,2,LYMPH
PL21,-2.649307,2,LYMPH
RAJI,2.3023205,2,LYMPH
RCHACV,1.8680005000000002,2,LYMPH
REH,1.9017845000000002,2,LYMPH
RERFLCKJ,0.6597114999999999,2,LUNG
RERFLCMS,-1.1916435,2,LUNG
RL,2.6425145,2,LYMPH
RPMI8226,-0.21450649999999993,2,LYMPH
RPMI8402,1.933172,2,LYMPH
RS411,1.8949500000000001,2,LYMPH
SBC5,1.5268765000000002,2,LUNG
SHP77,0.4480425,2,LUNG
SIGM5,1.734474,1,LYMPH
SKLU1,-0.31420899999999996,2,LUNG
SKM1,-4.8847475,2,LYMPH
SKMES1,-0.979746,2,LUNG
SKMM2,2.143932,2,LYMPH
ST486,0.5545295,2,LYMPH
SUDHL1,0.5339,1,LYMPH
SUDHL10,1.119748,2,LYMPH
SUDHL4,1.7174625000000001,2,LYMPH
SUDHL5,0.218126,2,LYMPH
SUDHL6,0.572115,2,LYMPH
SUDHL8,2.2447025,2,LYMPH
SUPB15,-0.063554,2,LYMPH
SUPM2,1.3233785,2,LYMPH
SUPT1,2.627814,2,LYMPH
SW1271,-1.332227,2,LUNG
SW1573,2.5599274999999997,2,LUNG
THP1,-0.42046150000000004,2,LYMPH
WSUDLCL2,2.2959075,2,LYMPH
