std,Y,n,tissue
697,-3.933157,3,LYMPH
A3KAW,-3.74087,3,LYMPH
A4FUK,-3.581945,1,LYMPH
A549,0.666294262995604,3,LUNG
ABC1,1.368964,3,LUNG
ALLSIL,-2.3810055,2,LYMPH
AMO1,-3.741619,3,LYMPH
BEN,0.823607471915589,4,LUNG
BL41,-4.696279,1,LYMPH
BV173,-2.297361010776335,2,LYMPH
CA46,-2.160297,2,LYMPH
CAL12T,1.6202465,2,LUNG
CALU3,2.3429105,2,LUNG
CALU6,0.18406927188854,3,LUNG
CHAGOK1,1.1292965,2,LUNG
CMK,-2.801994,1,LYMPH
CMLT1,-2.906056,3,LYMPH
COLO668,-1.088197,3,LUNG
CORL105,0.469733598233976,3,LUNG
CORL23,-1.2416837931944733,4,LUNG
CORL279,-1.316462953091318,2,LUNG
CORL311,-3.733188,1,LUNG
CORL88,0.991789,2,LUNG
CORL95,2.1779045,2,LUNG
DAUDI,-2.2139345,2,LYMPH
DB,-3.2722005000000003,2,LYMPH
DMS114,0.5158125,2,LUNG
DMS273,1.0910805,2,LUNG
DMS53,1.370631,3,LUNG
DMS79,0.442899,2,LUNG
DND41,-2.404976,3,LYMPH
DOHH2,0.0023922461810931,3,LYMPH
EBC1,0.22132213731304862,4,LUNG
EHEB,-0.446476,1,LYMPH
EJM,1.0539145,2,LYMPH
EM2,-3.597898,2,LYMPH
EPLC272H,-0.6049715,2,LUNG
GA10,-2.6169965,2,LYMPH
GDM1,-0.022533000000000025,2,LYMPH
GRANTA519,-1.8152225,2,LYMPH
HARA,-0.9830264581506079,4,LUNG
HCC15,0.509240524081516,4,LUNG
HCC33,2.762097,1,LUNG
HCC366,0.0096782627022433,3,LUNG
HCC44,-0.423391,3,LUNG
HCC78,-0.6047140623301476,4,LUNG
HCC827,-0.06475902539639805,4,LUNG
HDLM2,-0.876347,2,LYMPH
HEL,-3.4775815,2,LYMPH
HH,-2.9576985,2,LYMPH
HL60,-3.3286545,2,LYMPH
HT,0.0057592472308158,3,LYMPH
IALM,1.3030295,2,LUNG
JEKO1,-1.5671249999999999,2,LYMPH
JM1,0.0029955396020226,3,LYMPH
JURKAT,-2.560441,3,LYMPH
JURLMK1,-2.671698,3,LYMPH
JVM2,-2.613875,2,LYMPH
JVM3,-3.977681,1,LYMPH
K562,0.0052206419040577,3,LYMPH
KARPAS422,-0.7927625,2,LYMPH
KCL22,-3.290387,3,LYMPH
KG1,-0.853295,2,LYMPH
KMH2,-1.4750904999999999,4,LYMPH
