std,Y,n,tissue
697,1.1792634999999998,2,LYMPH
A3KAW,1.2665605000000002,2,LYMPH
A4FUK,1.8749135,2,LYMPH
A549,1.67099,2,LUNG
ABC1,2.463156,2,LUNG
ALLSIL,1.474991,2,LYMPH
AMO1,1.079617,2,LYMPH
BEN,2.920208,2,LUNG
BL41,0.499498,2,LYMPH
BV173,1.5632480000000002,2,LYMPH
CA46,2.0154635,2,LYMPH
CAL12T,2.168044,2,LUNG
CALU3,2.76225,2,LUNG
CALU6,2.1745735,2,LUNG
CHAGOK1,2.2181555,2,LUNG
CMK,1.185405,1,LYMPH
CMLT1,1.289562,2,LYMPH
COLO668,2.231982,2,LUNG
CORL105,2.8991685,2,LUNG
CORL23,1.9366984999999999,2,LUNG
CORL279,1.291218,2,LUNG
CORL311,2.093196,1,LUNG
CORL88,2.6757025,2,LUNG
CORL95,1.9653070000000001,2,LUNG
DAUDI,1.347367,2,LYMPH
DB,1.74474,2,LYMPH
DMS114,2.3179675,2,LUNG
DMS273,2.0446765,2,LUNG
DMS53,1.5900395,2,LUNG
DMS79,2.3430324999999996,2,LUNG
DND41,1.3299064999999999,2,LYMPH
DOHH2,0.365787,1,LYMPH
EBC1,1.760639,2,LUNG
EHEB,2.539376,1,LYMPH
EJM,1.652746,2,LYMPH
EM2,1.8007659999999999,2,LYMPH
EPLC272H,1.408778,2,LUNG
GA10,1.41336,2,LYMPH
GDM1,1.7342165,2,LYMPH
GRANTA519,2.183135,2,LYMPH
HARA,1.1811850000000002,2,LUNG
HCC15,2.2721340000000003,2,LUNG
HCC33,1.633509,1,LUNG
HCC366,2.7295585,2,LUNG
HCC44,1.471066,1,LUNG
HCC78,1.6673195,2,LUNG
HCC827,2.4106585000000003,2,LUNG
HDLM2,1.890164,2,LYMPH
HEL,1.1403555,2,LYMPH
HH,2.2991495,2,LYMPH
HL60,1.86608,2,LYMPH
HT,2.032569,2,LYMPH
IALM,1.8713075000000001,2,LUNG
JEKO1,1.4861564999999999,2,LYMPH
JM1,0.9286435000000001,2,LYMPH
JURKAT,1.3737015,2,LYMPH
JURLMK1,1.6638915,2,LYMPH
JVM2,2.397105,2,LYMPH
JVM3,1.5169735,2,LYMPH
K562,1.8360794999999999,2,LYMPH
KARPAS422,1.862779,2,LYMPH
KCL22,1.6349515000000001,2,LYMPH
KG1,1.7484955,2,LYMPH
KMH2,1.343827,4,LYMPH
KMS11,1.1350704999999999,2,LYMPH
KMS12BM,1.3807,1,LYMPH
KNS62,1.8465965,2,LUNG
KOPN8,1.3819795,2,LYMPH
KU812,1.681514,2,LYMPH
L1236,1.693173,2,LYMPH
L363,1.398321,2,LYMPH
L428,1.5914165,2,LYMPH
L540,1.505599,2,LYMPH
LAMA84,1.7581365,2,LYMPH
LCLC103H,2.378615,2,LUNG
LCLC97TM1,1.133482,2,LUNG
LOUCY,1.206971,2,LYMPH
LOUNH91,1.4252385,2,LUNG
LP1,1.892846,2,LYMPH
LU65,2.854538,2,LUNG
LXF289,1.396935,2,LUNG
ME1,2.081701,2,LYMPH
MEG01,1.6206939999999999,2,LYMPH
MHHCALL2,1.1561255,2,LYMPH
MM1S,1.443477,1,LYMPH
MOLM13,1.1699905,2,LYMPH
MOLM16,1.2036785,2,LYMPH
MOLP8,1.341203,2,LYMPH
MOLT13,1.4863979999999999,2,LYMPH
MOLT16,0.945499,2,LYMPH
MONOMAC6,1.5991775000000001,2,LYMPH
NALM6,1.2075635,2,LYMPH
NAMALWA,1.409683,2,LYMPH
NB4,0.38994,2,LYMPH
NCIH1048,1.5598725,2,LUNG
NCIH1092,2.4995995,2,LUNG
NCIH1105,1.8609185,2,LUNG
NCIH1155,1.879918,2,LUNG
NCIH1341,1.6589684999999998,2,LUNG
NCIH1435,1.936215,2,LUNG
NCIH1436,1.4751185000000002,2,LUNG
NCIH1437,2.010678,2,LUNG
NCIH146,1.7577005,2,LUNG
NCIH1568,2.333177,2,LUNG
NCIH1623,1.8494175,2,LUNG
NCIH1648,2.986702,2,LUNG
NCIH1650,3.029798,1,LUNG
NCIH1651,1.817847,2,LUNG
NCIH1781,2.195913,2,LUNG
NCIH1792,1.446552,2,LUNG
NCIH1793,3.2263830000000002,2,LUNG
NCIH1836,1.8254744999999999,2,LUNG
NCIH1876,1.5173025,2,LUNG
NCIH1915,2.306967,2,LUNG
NCIH1944,1.754117,2,LUNG
NCIH196,1.0817835,2,LUNG
NCIH1963,2.164279,1,LUNG
NCIH1975,1.7010625,2,LUNG
NCIH2009,2.388237,2,LUNG
NCIH2023,2.044868,2,LUNG
NCIH2029,1.5856979999999998,2,LUNG
NCIH2030,2.325523,2,LUNG
NCIH2066,2.0922644999999997,2,LUNG
NCIH2081,2.2641295,2,LUNG
NCIH2085,2.1401215,2,LUNG
NCIH2087,2.044409,2,LUNG
NCIH209,1.5663755,2,LUNG
NCIH211,1.271079,1,LUNG
NCIH2110,1.872495,2,LUNG
NCIH2122,1.518073,2,LUNG
NCIH2170,2.07536,2,LUNG
NCIH2171,0.792609,1,LUNG
NCIH2172,2.61454,2,LUNG
NCIH2196,1.953174,1,LUNG
NCIH2227,1.4804760000000001,2,LUNG
NCIH2228,3.344938,1,LUNG
NCIH2291,1.795099,2,LUNG
NCIH23,1.7011795,2,LUNG
NCIH2342,2.1805055,2,LUNG
NCIH2347,2.66277,2,LUNG
NCIH2405,2.7756795,2,LUNG
NCIH2444,1.661783,2,LUNG
NCIH292,1.7120035,2,LUNG
NCIH358,2.09029,2,LUNG
NCIH441,2.7316965,2,LUNG
NCIH446,1.7857034999999999,2,LUNG
NCIH460,1.7412845,2,LUNG
NCIH522,2.0970285,2,LUNG
NCIH524,1.6143675,2,LUNG
NCIH526,1.9020415,2,LUNG
NCIH596,2.169954,2,LUNG
NCIH647,1.035779,2,LUNG
NCIH650,2.0946914999999997,2,LUNG
NCIH661,1.9405225000000002,2,LUNG
NCIH69,2.0389,2,LUNG
NCIH727,2.5999030000000003,2,LUNG
