std,Y,n,tissue
697,0.1566784847642862,3,LYMPH
A3KAW,-0.259558,3,LYMPH
A4FUK,2.479848,2,LYMPH
A549,-3.217094,3,LUNG
ABC1,2.978402,3,LUNG
ALLSIL,1.195743,2,LYMPH
AMO1,-1.57072,3,LYMPH
BEN,0.570490963229451,4,LUNG
BL41,0.8225615,2,LYMPH
BV173,-0.637875,3,LYMPH
CA46,1.657645,2,LYMPH
CAL12T,-0.425612,3,LUNG
CALU3,0.693148,2,LUNG
CALU6,0.05488931112025655,4,LUNG
CHAGOK1,0.0702266960840966,3,LUNG
CMK,0.868821,1,LYMPH
CMLT1,0.751084,3,LYMPH
COLO668,0.03667464387792875,4,LUNG
CORL105,3.270516,3,LUNG
CORL23,0.3507912019226387,4,LUNG
CORL279,0.515913,3,LUNG
CORL311,-0.039247,1,LUNG
CORL88,0.1370635,2,LUNG
CORL95,0.67468,2,LUNG
DAUDI,1.126962,2,LYMPH
DB,0.696877,2,LYMPH
DMS114,1.562202,2,LUNG
DMS273,-0.132417682034144,4,LUNG
DMS53,1.720899,3,LUNG
DMS79,0.1064868697710781,3,LUNG
DND41,0.859311,3,LYMPH
DOHH2,0.0734069766528418,3,LYMPH
EBC1,-0.2439852871882017,4,LUNG
EHEB,1.000977,1,LYMPH
EJM,0.528095,2,LYMPH
EM2,0.3457116222832797,3,LYMPH
EPLC272H,-2.6061135,2,LUNG
GA10,-0.184467,2,LYMPH
GDM1,0.18588249999999995,2,LYMPH
GRANTA519,1.787967,3,LYMPH
HARA,-0.5699005993719785,4,LUNG
HCC15,-0.5072070109768267,4,LUNG
HCC33,0.811928,1,LUNG
HCC366,0.13254387307847035,4,LUNG
HCC44,-1.4790395740298339,4,LUNG
HCC78,0.123381093404479,3,LUNG
HCC827,0.3109254206054717,4,LUNG
HDLM2,-0.6247375000000001,2,LYMPH
HEL,0.217191,3,LYMPH
HH,0.750642,3,LYMPH
HL60,-0.188788,2,LYMPH
HT,0.0885290158125505,3,LYMPH
IALM,1.2864773714673512,4,LUNG
JEKO1,0.127124,3,LYMPH
JM1,1.128168,3,LYMPH
JURKAT,1.0202065,2,LYMPH
JURLMK1,-0.779716,3,LYMPH
JVM2,-0.4047394999999999,2,LYMPH
JVM3,-0.680527,3,LYMPH
K562,-0.481901,3,LYMPH
KARPAS422,-0.4768085,2,LYMPH
KCL22,0.1318907678175091,3,LYMPH
KG1,1.725526,2,LYMPH
KMH2,0.2234924494662065,5,LYMPH
KMS11,-0.406354,3,LYMPH
KMS12BM,-0.4377653257730032,2,LYMPH
KNS62,-0.15704972038674747,4,LUNG
KOPN8,-1.325315,3,LYMPH
KU812,-0.664758,3,LYMPH
L1236,-1.4092004999999999,2,LYMPH
L363,-1.485829,3,LYMPH
L428,1.5924550000000002,2,LYMPH
L540,-0.4052525,2,LYMPH
LAMA84,-0.546994,3,LYMPH
LCLC103H,0.815714,3,LUNG
LCLC97TM1,-1.3217005,2,LUNG
LOUCY,0.458064,2,LYMPH
LOUNH91,-0.534931,3,LUNG
LP1,2.045314,3,LYMPH
LU65,-0.29515499999999995,2,LUNG
LXF289,-0.843812167031997,4,LUNG
ME1,2.11945,2,LYMPH
MEG01,0.979157,3,LYMPH
MHHCALL2,-0.060921,1,LYMPH
MM1S,0.599313,2,LYMPH
MOLM13,-0.063,3,LYMPH
