std,Y,n,tissue
697,-0.2528055,2,LYMPH
A3KAW,0.08577600000000002,2,LYMPH
A4FUK,0.7214565000000001,2,LYMPH
A549,2.2117795,2,LUNG
ABC1,2.5689599999999997,2,LUNG
ALLSIL,1.14852,2,LYMPH
AMO1,1.885292,2,LYMPH
BEN,1.5060595,2,LUNG
BL41,0.744328,2,LYMPH
BV173,0.015232999999999997,2,LYMPH
CA46,2.464009,2,LYMPH
CAL12T,1.0844605,2,LUNG
CALU3,4.623143,2,LUNG
CALU6,1.877585,2,LUNG
CHAGOK1,2.056654,2,LUNG
CMK,1.485512,1,LYMPH
CMLT1,0.4725155,2,LYMPH
COLO668,1.9424324999999998,2,LUNG
CORL105,3.1218945,2,LUNG
CORL23,0.6102805,2,LUNG
CORL279,2.2360255,2,LUNG
CORL311,2.054704,1,LUNG
CORL88,1.635983,2,LUNG
CORL95,3.722794,1,LUNG
DAUDI,1.9577545,2,LYMPH
DB,0.232602,2,LYMPH
DMS114,3.2154214999999997,2,LUNG
DMS273,2.3600445,2,LUNG
DMS53,3.063439,2,LUNG
DMS79,2.9542764999999997,2,LUNG
DND41,0.9080315000000001,2,LYMPH
DOHH2,0.37428049999999996,2,LYMPH
EBC1,2.7624165,2,LUNG
EHEB,2.828142,1,LYMPH
EJM,1.488074,2,LYMPH
EM2,0.7978005,2,LYMPH
EPLC272H,0.9779085000000001,2,LUNG
GA10,1.0981955,2,LYMPH
GDM1,1.8098020000000001,2,LYMPH
GRANTA519,1.1851194999999999,2,LYMPH
HARA,0.034414,1,LUNG
HCC15,2.594472,1,LUNG
HCC33,1.094869,1,LUNG
HCC366,2.9270945,2,LUNG
HCC44,1.8470775000000001,2,LUNG
HCC78,1.9593034999999999,2,LUNG
HCC827,2.7343085,2,LUNG
HDLM2,1.3326085,2,LYMPH
HEL,0.027957500000000003,2,LYMPH
HH,2.0719115,2,LYMPH
HL60,1.216678,2,LYMPH
HT,-0.09738250000000004,2,LYMPH
IALM,3.7860185,2,LUNG
JEKO1,0.24408450000000004,2,LYMPH
JM1,0.57478,2,LYMPH
JURKAT,1.174415,2,LYMPH
JURLMK1,0.857652,1,LYMPH
JVM2,1.0697985,2,LYMPH
JVM3,-0.239016,2,LYMPH
K562,1.7560090000000002,2,LYMPH
KARPAS422,1.5428565,2,LYMPH
KCL22,2.0522665,2,LYMPH
KG1,0.924828,2,LYMPH
KMH2,0.9814975,4,LYMPH
KMS11,1.1711165000000001,2,LYMPH
KMS12BM,0.690742,1,LYMPH
KNS62,2.404545,1,LUNG
KOPN8,0.872624,2,LYMPH
KU812,1.578163,2,LYMPH
L1236,1.2124804999999999,2,LYMPH
L363,0.465283,2,LYMPH
L428,0.617425,2,LYMPH
L540,0.117744,2,LYMPH
LAMA84,0.823475,2,LYMPH
LCLC103H,2.1425775,2,LUNG
LCLC97TM1,1.3445415,2,LUNG
LOUCY,0.49102100000000004,2,LYMPH
LOUNH91,2.5348525000000004,2,LUNG
LP1,2.098058,2,LYMPH
LU65,2.7785085,2,LUNG
LXF289,2.2168704999999997,2,LUNG
ME1,2.235252,2,LYMPH
MEG01,1.265062,2,LYMPH
MHHCALL2,1.2728899999999999,2,LYMPH
MM1S,2.1324115,2,LYMPH
MOLM13,0.6574414999999999,2,LYMPH
MOLM16,-0.1851285,2,LYMPH
MOLP8,1.3520165,2,LYMPH
MOLT13,1.8173314999999999,2,LYMPH
MOLT16,-0.4711225,2,LYMPH
MONOMAC6,0.518957,2,LYMPH
NALM6,1.018477,2,LYMPH
NAMALWA,1.3740695,2,LYMPH
NB4,0.48267699999999997,2,LYMPH
NCIH1048,1.6258169999999998,2,LUNG
NCIH1092,2.9622425000000003,2,LUNG
NCIH1105,1.6928465,2,LUNG
NCIH1155,1.533768,2,LUNG
NCIH1341,2.0805215,2,LUNG
NCIH1435,4.3528445,2,LUNG
NCIH1436,2.298051,2,LUNG
NCIH1437,2.364257,2,LUNG
NCIH146,1.0221185,2,LUNG
NCIH1568,2.0416605,2,LUNG
NCIH1623,3.6561280000000003,2,LUNG
NCIH1648,2.4318795,2,LUNG
NCIH1650,4.169185,2,LUNG
NCIH1651,1.671246,2,LUNG
NCIH1781,3.923152,2,LUNG
NCIH1792,1.4814895,2,LUNG
NCIH1793,2.4440195,2,LUNG
NCIH1836,2.925884,2,LUNG
NCIH1876,1.4308105,2,LUNG
NCIH1915,1.8888985000000003,2,LUNG
NCIH1944,4.082351,1,LUNG
NCIH196,2.1519250000000003,2,LUNG
NCIH1963,1.546999,1,LUNG
NCIH1975,3.110592,2,LUNG
NCIH2009,1.7478815,2,LUNG
NCIH2023,2.0749015,2,LUNG
NCIH2029,1.738347,2,LUNG
NCIH2030,1.2148375,2,LUNG
NCIH2066,4.440131,2,LUNG
NCIH2081,2.3700535,2,LUNG
NCIH2085,1.3342315,2,LUNG
NCIH2087,2.301772,2,LUNG
NCIH209,-0.2559005,2,LUNG
NCIH211,1.3246945,2,LUNG
NCIH2110,0.5822,1,LUNG
NCIH2122,1.4161755,2,LUNG
NCIH2170,1.1350090000000002,2,LUNG
NCIH2171,0.377069,1,LUNG
NCIH2172,2.7787215,2,LUNG
NCIH2196,2.053974,1,LUNG
NCIH2227,3.7900575,2,LUNG
NCIH2228,3.207308,2,LUNG
NCIH2291,4.190893,2,LUNG
NCIH23,0.8268705,2,LUNG
NCIH2342,4.193866,2,LUNG
NCIH2347,4.1611775,2,LUNG
NCIH2405,4.1660635,2,LUNG
NCIH2444,4.1745635,2,LUNG
NCIH292,-0.248072,2,LUNG
NCIH358,2.6681014999999997,2,LUNG
NCIH441,5.2814595,2,LUNG
NCIH446,1.598019,2,LUNG
NCIH460,1.6565884999999998,2,LUNG
NCIH522,2.6836785,2,LUNG
NCIH524,1.835414,2,LUNG
NCIH526,2.097706,1,LUNG
NCIH596,4.083513,2,LUNG
NCIH647,1.2594135,2,LUNG
NCIH650,2.541902,2,LUNG
NCIH661,2.6301745,2,LUNG
NCIH69,2.58852,2,LUNG
NCIH727,2.1429535,2,LUNG
NCIH810,1.4467724999999998,2,LUNG
NCIH82,0.847221,2,LUNG
NCIH838,1.17889,1,LUNG
NCIH841,2.152712,1,LUNG
NCIH929,1.250896,2,LYMPH
NOMO1,1.030214,2,LYMPH
NUDUL1,0.5604115000000001,2,LYMPH
OCIAML2,1.3477990000000002,2,LYMPH
OCIAML3,0.8664465000000001,2,LYMPH
OCIAML5,1.800847,1,LYMPH
OCILY19,0.29612499999999997,2,LYMPH
OCIM1,1.111671,2,LYMPH
OPM2,1.0149955,2,LYMPH
P12ICHIKAWA,0.31477550000000004,2,LYMPH
P31FUJ,1.9474645000000002,2,LYMPH
PF382,1.2397805,2,LYMPH
PL21,0.843404,2,LYMPH
RAJI,1.9087475,2,LYMPH
RCHACV,0.5486354999999999,2,LYMPH
REH,1.1177245,2,LYMPH
RERFLCKJ,2.977914,1,LUNG
RERFLCMS,1.283104,2,LUNG
RL,0.5173885,2,LYMPH
RPMI8226,1.324605,2,LYMPH
RPMI8402,1.3511549999999999,2,LYMPH
RS411,0.7478735000000001,2,LYMPH
SBC5,2.1330555,2,LUNG
SHP77,1.7772375,2,LUNG
SIGM5,0.30165,1,LYMPH
SKLU1,1.6503290000000002,2,LUNG
SKM1,0.249346,2,LYMPH
SKMES1,2.0772310000000003,2,LUNG
SKMM2,4.027483999999999,2,LYMPH
ST486,0.5724530000000001,2,LYMPH
SUDHL1,-1.333388,1,LYMPH
SUDHL10,1.4342635,2,LYMPH
SUDHL4,1.1676769999999999,2,LYMPH
SUDHL5,0.6469925,2,LYMPH
SUDHL6,0.6977795,2,LYMPH
SUDHL8,1.2369139999999998,2,LYMPH
SUPB15,0.8882840000000001,2,LYMPH
SUPM2,1.0760984999999998,2,LYMPH
SUPT1,1.0797240000000001,2,LYMPH
SW1271,3.33588,1,LUNG
SW1573,3.5599955,2,LUNG
THP1,2.179534,2,LYMPH
WSUDLCL2,1.248602,2,LYMPH
